ATTRIBUTE_ADDGroup	filename	MS_4223	MS_569	MS_5174	MS_602	MS_1099	MS_944	MS_2438	MS_1992	MS_1857	MS_1776	MS_5220	MS_7669	MS_3586	MS_1249	MS_6447	MS_563	MS_6132	MS_11854	MS_7368	MS_10884	MS_7580	MS_9949	MS_11407	MS_7462	MS_11555	MS_11946	MS_12030	MS_7689	MS_10207	MS_12333	MS_10629	MS_7416	MS_11211	MS_11734	MS_7467	MS_10199	MS_10900	MS_10614	MS_10821	MS_7822	MS_9690	MS_11436	MS_8804	MS_9006	MS_11849	MS_12229	MS_7924	MS_10549	MS_11193	MS_11322	MS_8509	MS_11711	MS_10811	MS_10857	MS_6956	MS_9150	MS_9355	MS_10074	MS_11153
-	compound	Amylamine-C5:0	Tyramine-C2:0	Amylamine-C6:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	5.64E-07	3.78E-09	3.63E-06	0.00519697	0.001875244	0.451680924	0.002126132	0.012379675	4.07E-11	1.21E-09	2.62E-22	2.58E-14	6.14E-09	0.040800707	0.003877416	4.67E-07	1.65E-05	6.68E-30	3.77E-15	1.37E-22	4.19E-13	4.56E-09	6.39E-14	6.13E-06	1.46E-13	1.03E-41	1.39E-18	1.23E-12	0.000137909	1.17E-09	1.25E-07	9.39E-09	5.10E-19	3.70E-33	4.36E-10	5.42E-18	2.43E-11	5.87E-11	8.24E-13	5.50E-19	2.90E-11	1.87E-06	1.05E-18	0.003567047	1.69E-42	4.85E-21	7.26E-12	6.39E-07	1.35E-14	8.77E-08	0.000123968	5.45E-06	9.09E-19	2.77E-09	3.23E-06	7.00E-29	1.69E-05	1.96E-06	3.58E-09
-	adjusted p-value	8.32E-07	6.77E-09	4.75E-06	0.005475379	0.002127681	0.451680924	0.002366827	0.01281405	9.23E-11	2.38E-09	2.21E-21	8.95E-14	1.04E-08	0.041504168	0.00415941	7.07E-07	2.03E-05	9.85E-29	1.48E-14	1.34E-21	1.24E-12	7.91E-09	2.10E-13	7.70E-06	4.54E-13	3.04E-40	6.32E-18	3.30E-12	0.000159541	2.37E-09	1.94E-07	1.54E-08	3.25E-18	7.27E-32	9.18E-10	2.28E-17	5.97E-11	1.28E-10	2.32E-12	3.25E-18	6.85E-11	2.63E-06	5.16E-18	0.00389733	9.97E-41	3.57E-20	1.86E-11	9.19E-07	4.96E-14	1.40E-07	0.000146282	6.99E-06	4.88E-18	5.27E-09	4.33E-06	8.26E-28	2.04E-05	2.69E-06	6.60E-09
Day0	Plate12_64368_Soil_GD9_01_28081	3.794204	0	14.297727	0	3.8829823	0	5.0993986	17.22202	0	3.4520593	0	0	0	41.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8053946	1.3370132	0	0	0	0	0	0	0	0	0	0	0	0	0	4.182994	0	0	0	0	0	0	0	0	0	0	0	0	0	6.600013	0
Day0	Plate13_55188_Soil_GE3_01_27528	55.85948	4.632781	168.76575	0	6.246583	0	15.684193	22.131771	16.437033	24.97278	0	3.7351677	0	99.98663	4.3991747	3.218352	0	12.5984	0	0	0	9.329486	0	0	0	0	0	0	5.349646	27.249716	5.4169817	6.135607	4.0270147	0	3.2103496	3.322908	8.526769	0	0	0	0	3.9465923	26.93156	3.4927797	0	0	3.3147054	0	5.9219913	3.782151	7.7060404	5.569624	0	0	3.450815	21.370022	21.213423	75.74514	5.3789806
Day0	Plate13_43814_Soil_GE5_01_27530	50.74374	0	144.94159	0	9.152006	3.6712203	3.6895132	38.89216	6.9301777	12.714226	0	0	3.3736212	38.153557	3.4630466	0	0	4.449925	0	0	0	0	0	0	0	0	0	0	14.810534	18.259426	0	3.501495	0	3.7209053	4.9760494	0	0	4.560612	0	4.436762	0	4.589002	55.55729	8.622344	0	3.4026213	0	4.5371037	0	0	7.52206	0	0	0	0	8.062961	3.3298855	70.82995	4.451001
Day0	Plate10_25812_Soil_BC8_01_27744	0	0	4.287625	0	3.4569483	0	0	9.796006	6.4929	6.4929	0	0	0	48.13239	0	0	0	0	0	0	0	4.1933913	0	0	0	0	0	0	4.0483713	9.389551	0	0	0	0	0	0	0	0	0	0	0	0	21.196056	0	0	0	0	0	4.6715117	0	0	0	0	0	0	0	0	30.55839	0
Day0	Plate17_54636_Soil_BE4_01_28407	0	0	0	0	0	0	0	0	0	3.492815	0	0	0	5.3611274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3418233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.213831	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6835682	0
Day0	Plate13_45524_Soil_GC10_01_27509	28.024876	5.151988	85.01411	0	16.01218	0	10.502544	26.132994	4.500801	12.055288	0	0	0	52.23282	0	0	0	19.273113	0	0	0	3.827813	0	4.5759845	0	3.2464528	0	0	10.786594	22.456509	3.5262465	4.025588	0	4.4118567	5.359949	0	5.51326	0	0	0	4.436819	0	33.75923	4.730185	0	0	0	0	5.9517646	5.1193542	22.452312	0	3.5200238	0	3.6082256	5.617853	0	68.3025	0
Day0	Plate14_64930_Soil_BH10_01_27945	0	4.421131	8.213917	0	3.274278	0	3.4018185	25.692482	5.485027	3.9652443	0	0	0	33.971928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5214577	0	0	0	1.7811823	0	0	0	0	0	0	0	0	11.048322	0	0	0	0	0	0	0	3.653655	0	0	0	0	0	0	27.275713	0
Day0	Plate13_44014_Soil_GB6_01_27490	76.61695	3.360495	175.0481	0	4.9655104	0	5.3929577	32.74514	16.188007	3.515154	0	0	0	21.497963	0	4.388274	0	8.870045	0	0	0	0	0	0	0	3.9410248	0	0	6.3919907	20.21361	7.1255465	3.8829625	0	0	0	0	0	0	0	0	0	0	0	0	4.0099325	0	3.2452984	4.562231	0	0	11.480534	0	0	0	0	3.411125	3.9203534	0	0
Day0	Plate18_61958_Soil_GB6_01_28519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5139344	0
Day0	Plate11_43452_Soil_GF9_01_27671	0	0	6.0074463	0	8.292796	3.4679883	3.552275	16.6203	3.5745497	0	0	0	0	6.220888	0	0	0	12.104824	0	0	0	0	0	0	0	0	0	0	5.941269	28.14439	3.532505	0	6.237736	0	0	0	0	0	0	0	0	0	41.92144	3.6151395	0	0	0	0	0	4.0982857	8.353472	0	0	0	0	7.0518484	0	60.774136	4.7651024
Day0	Plate15_61094_Soil_BF11_01_28172	0	0	0	0	0	0	0	9.671091	0	0	0	0	0	26.076088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0241802	0	0	0	0	0	3.7011662	0	0	0	3.2080958	0	0	0	4.5322723	0	0	0	0	0	0	9.48755	0
Day0	Plate14_60896_Soil_BC6_01_27869	0	0	5.2894235	0	0	4.2224836	0	28.810272	11.739372	0	0	0	3.4706025	64.349014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3843875	2.5297642	0	0	0	0	0	0	0	0	0	0	0	0	12.284292	3.3158484	0	0	0	0	0	0	0	0	0	0	0	5.547961	0	16.076862	0
Day0	Plate10_64730_Soil_BF5_01_27783	0	0	0	0	3.2384055	0	3.9245143	5.320449	0	0	0	0	0	22.550167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7044663	2.8746223	3.223989	19.008633	0	0	0	0	0	0	0	0	0	0	3.4532683	0	0	0	0	0	0	0	7.070978	0	0	0	0	0	0	35.960976	0
Day0	Plate10_61452_Soil_BH7_01_27818	0	0	5.7692385	0	0	0	0	44.684105	3.288517	0	0	0	0	56.92592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.799578	3.3984575	3.5437346	0	0	2.0658512	0	0	0	0	0	0	0	0	21.940994	0	0	0	0	0	4.8380947	0	3.9648676	0	0	0	0	0	0	35.436832	3.995428
Day0	Plate10_64568_Soil_BF3_01_27781	0	0	0	0	0	4.239006	7.376668	18.87849	0	0	0	0	0	19.163273	0	0	0	0	0	3.284216	0	0	0	0	0	0	0	0	0	8.539194	0	25.731947	0	0	0	0	0	0	0	0	0	0	9.090855	0	0	0	0	0	3.4007692	0	4.287625	0	0	0	0	0	0	44.322006	0
Day0	Plate18_45170_Soil_GA10_01_28510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0	Plate11_43272_Soil_GC7_01_27626	0	0	8.452068	0	0	0	3.3393466	7.3681045	7.801419	7.801419	0	0	0	15.840804	0	0	0	6.4393597	0	0	0	0	0	0	3.8645325	2.4734197	2.4734197	0	7.8713174	17.05406	5.674038	4.225912	5.510708	0	0	0	0	27.98073	0	0	0	0	40.838333	7.899077	0	0	0	0	0	2.4977996	8.082569	0	0	0	0	11.423743	0	66.25702	0
Day0	Plate12_61814_Soil_GB5_01_27976	0	0	11.650061	0	0	0	7.785671	3.5337389	0	0	0	0	0	12.345171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2196126	2.9037743	0	0	0	0	0	0	0	0	0	0	0	0	5.095871	4.428975	0	0	0	0	0	0	0	0	0	0	0	0	0	12.623106	0
Day0	Plate16_64174_Soil_GB11_01_28238	0	0	2.5059645	0	0	0	0	3.9338615	0	0	0	0	0	12.388195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3159976	0	0	0	0	1.1804533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77991	0
Day0	Plate13_60502_Soil_GD4_01_27515	22.896015	0	146.827	0	8.30727	0	6.2846045	40.662098	3.4346673	3.7754335	0	0	0	31.332098	0	0	0	3.1607733	0	0	0	0	0	0	0	4.0410533	0	0	14.9721155	31.084175	0	8.531461	0	0	0	0	4.7929554	0	3.3569152	3.9300287	0	0	53.55514	22.303234	0	0	0	0	5.0379725	0	3.9672232	0	0	3.3686337	0	27.74194	3.4371214	47.711746	5.5362015
Day0	Plate16_61652_Soil_GB6_01_28232	0	0	0	0	0	0	0	2.6954463	0	0	0	0	0	3.7797437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4913404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8785925	0
Day0	Plate15_61258_Soil_BG6_01_28180	0	0	18.050915	0	3.9912176	0	0	5.0990877	4.0764203	4.0764203	0	0	0	37.652145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7970314	0	0	0	0	0	0	0	0	0	0	0	0	3.736689	3.736689	0	0	0	0	0	0	3.5909843	0	0	0	0	0	0	13.723661	0
Day0	Plate11_45828_Soil_Rerun_GE10_01_27667	0	0	0	0	11.617113	0	0	30.183989	4.203768	0	0	0	0	9.043277	0	0	0	3.4053416	0	0	0	0	0	0	0	0	0	0	0	19.931519	3.2267144	0	0	0	0	0	0	0	0	0	3.8581	1.8353548	14.198706	5.117549	0	0	0	0	2.0502505	2.0502505	3.248753	0	0	0	0	0	0	49.28237	0
Day0	Plate15_63668_Soil_BG1_01_28175	0	0	3.8311076	0	0	0	0	7.7108293	3.6031551	0	0	0	0	14.884827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.172409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5225964	0	0	0	3.9675808	0	0	0	0	0	0	10.851485	0
Day0	Plate17_45400_Soil_BD6_01_28394	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6750884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1751428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5775013	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9797974	0
Day0	Plate17_54794_Soil_BA10_01_28356	0	0	0	0	0	0	0	0	0	0	0	0	0	18.947643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1716843	9.88295	0	0	0	0	0	0	2.7904873	0	0	0	0	0	0	2.3740947	0
Day0	Plate13_54994_Soil_GF4_01_27543	39.801605	3.2520595	83.454865	0	3.7520218	0	3.6386144	27.130085	0	0	0	0	0	22.242374	0	0	0	7.8672237	0	0	0	0	0	0	0	2.4876833	0	0	6.087092	18.07532	3.7142754	0	0	0	0	0	0	0	0	0	0	6.1220727	35.70725	8.829979	0	0	0	0	0	0	6.695112	0	0	0	0	13.319215	0	49.60163	3.3876
Day0	Plate14_60696_Soil_BE4_01_27895	0	0	3.43287	0	3.6567223	0	3.583722	10.313192	4.4159603	7.3685126	0	0	0	13.231007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4212964	1.9868588	0	0	3.8785887	0	0	0	0	0	0	0	0	2.311265	4.5014143	9.615334	0	0	0	0	0	0	0	0	0	0	0	3.9203477	0	41.18217	0
Day0	Plate14_45686_Soil_BB3_01_27853	0	0	0	0	4.1609707	0	4.82436	34.758766	6.3629827	6.3629827	0	0	0	48.246754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.77089	0	2.6484604	0	0	0	0	0	0	0	0	0	0	1.6351929	11.539024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.506886	0
Day0	Plate13_43652_Soil_GE9_01_27535	45.300674	0	139.02547	0	11.146037	0	0	19.789072	0	0	0	0	0	20.053469	0	0	0	7.4858093	0	0	0	0	0	0	0	0	0	0	0	27.450905	5.3738484	0	0	0	0	0	6.133004	0	0	0	0	6.1443806	54.321224	12.756851	0	0	4.9036636	4.061163	0	0	10.87444	0	3.3182015	0	0	0	3.3476596	88.808975	6.413213
Day0	Plate12_55550_Soil_GG2_01_28041	59.572952	0	76.76366	0	0	0	31.54706	49.58322	8.047594	8.047594	0	0	0	19.758827	0	0	0	0	0	0	0	0	0	0	0	1.3402643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.914566	0	0	0	0	0	0	1.2914686	0	0	0	0	0	0	0	10.798684	0
Day0	Plate14_65124_Soil_BD7_01_27885	0	0	0	0	0	0	6.782939	32.515038	3.6049185	3.6049185	0	0	0	28.972355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2393637	1.5137787	3.828535	13.739752	0	0	0	0	0	0	0	0	0	0	3.3382037	4.0119767	0	0	0	0	0	0	3.5610592	0	0	0	0	0	0	40.615158	0
Day0	Plate18_62064_Soil_GE9_01_28565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0	Plate10_25416_Soil_BA6_01_27713	0	3.6657393	0	0	0	0	3.3086705	19.23204	0	0	0	0	0	11.604498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.213348	5.2839437	0	0	0	0	0	0	0	0	0	0	0	0	15.006609	7.4331374	0	0	0	0	0	0	0	0	0	0	0	3.2908533	0	38.255104	3.3935008
Day0	Plate10_25724_Soil_BB3_01_27724	0	0	4.777334	0	3.3867133	3.6670327	3.9912176	5.1173973	3.980218	6.205027	0	0	0	47.617832	3.3405569	3.690691	0	2.5538054	0	0	0	0	0	0	0	0	0	0	3.7893295	11.304142	2.742342	0	0	0	0	0	0	0	0	3.5350654	0	0	23.712116	9.596948	0	0	0	0	5.5753384	5.5753384	11.441944	0	0	0	0	0	0	60.10136	0
Day0	Plate12_25222_Soil_Rerun_GH3_01_28085	0	0	12.196715	0	3.48135	0	0	0	0	0	0	0	0	12.661285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6804366	1.3204708	0	0	0	0	0	0	0	0	3.6266708	0	0	0	8.199205	16.028172	0	0	0	0	0	0	0	0	0	0	0	0	0	17.214725	0
early	Plate16_55008_Soil_GH3_01_28315	0	0	0	0	0	0	0	0	0	0	0	0	0	10.572479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5691614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.954026	0	0	0	0	0	0	0	0	0	0	0	0	0	5.289016	0
early	Plate11_64406_Soil_GD6_01_27638	4.283658	0	10.063782	0	0	0	0	31.381565	3.5732632	7.898406	0	0	0	50.781837	0	0	0	8.22646	0	0	0	5.551602	0	0	0	6.146649	0	0	0	24.424265	8.304781	6.90897	0	0	3.9771352	0	0	0	0	0	0	0	9.677662	0	0	0	0	0	7.38422	7.38422	6.262809	0	0	0	0	5.397892	3.3747804	49.59903	0
early	Plate12_61976_Soil_GA3_01_27961	0	0	3.7808075	0	0	0	8.3798275	0	4.047735	4.047735	0	0	0	10.051332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3014774	2.345848	0	0	1.9193573	0	3.2697515	0	0	0	0	0	0	0	3.5487413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.681752	3.5792732
early	Plate17_63595_Soil_BC5_01_28379	0	0	0	0	0	0	3.8218646	0	0	0	0	0	0	4.6612544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4316788	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2653046	4.0077615	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1657622	0
early	Plate12_60516_Soil_GA1_01_27959	0	0	3.8009834	0	0	0	0	13.216563	0	0	0	0	0	22.532635	3.0913668	0	0	0	0	0	0	0	0	0	0	0	0	0	4.171777	0	0	0	0	0	0	2.564311	0	0	0	0	0	0	0	3.43827	0	0	0	0	0	0	0	0	0	0	4.5014143	0	0	8.348444	0
early	Plate14_61114_Soil_BG2_01_27921	0	0	3.505225	0	0	0	8.222646	5.5892687	0	0	0	0	0	21.507938	0	3.266362	0	7.997404	0	0	0	0	0	0	0	7.3458266	0	0	5.7036552	9.045959	0	0	0	2.084712	0	0	0	0	3.4743512	7.7651906	0	0	47.506123	4.479263	0	0	0	0	0	0	0	0	0	0	0	58.795826	8.731003	45.08789	0
early	Plate16_65126_Soil_GB10_01_28237	0	0	2.8599973	0	0	0	0	13.746804	3.3863983	0	0	0	0	28.989424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.584968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.931597	0
early	Plate16_64208_Soil_GD2_01_28257	0	0	0	0	4.4900875	0	3.3275976	0	0	0	0	0	2.7551994	3.9384298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6644983	0	0	0	0	0	0	0	0	0	0	0	3.9564056	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9430714	0
early	Plate17_54528_Soil_BC3_01_28377	0	0	0	0	0	0	0	2.944193	0	0	0	0	0	5.639434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2127602	11.943251	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9950705	0
early	Plate14_61076_Soil_BE11_01_27903	0	0	4.640293	0	0	0	0	20.383057	0	0	0	0	0	36.917908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42561	0	0	0	0	0	0	0	0	0	0	0	0	0	3.282734	18.077269	0	0	0	0	0	1.6824317	7.327881	0	0	0	0	0	0	46.861496	4.5028753
early	Plate14_64210_Soil_BD10_01_27888	0	0	6.496912	0	0	0	3.7982535	8.706655	3.2885003	3.3926625	0	0	0	5.520443	0	0	0	2.1553106	0	0	0	0	0	0	0	0	0	0	3.5534303	0	0	0	0	0	0	0	0	0	0	0	0	1.579216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.037636	0
early	Plate17_64080_Soil_BC6_01_28380	0	0	0	0	0	0	0	13.6819935	0	0	0	0	0	5.504629	1.1977193	0	0	2.3465872	0	0	0	0	0	0	0	1.8377948	0	0	1.5545819	16.032482	0	0	0	5.6731486	0	0	0	0	0	0	0	0	3.338623	4.432068	0	10.70976	0	0	0	0	1.6171455	0	0	0	0	0	0	10.452061	0
early	Plate11_25472_Soil_GH6_01_27695	0	0	2.9042532	0	4.3835926	3.8553824	4.64806	24.983616	0	0	0	0	0	21.79892	0	0	0	27.608395	0	0	0	0	0	0	2.2535253	23.590662	0	0	5.3178864	12.203547	3.3076122	0	3.1651258	7.5589514	0	0	0	0	5.680991	4.1904206	0	0	32.72162	3.9398234	2.8467875	0	0	0	0	0	7.141453	0	0	1.9536958	0	4.9873	4.2565145	23.358694	3.9203534
early	Plate11_43834_Soil_GH2_01_27691	0	0	4.1154146	0	0	0	4.017067	39.18436	6.201745	0	0	0	0	65.78993	3.733841	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4400024	18.163	0	0	3.3146718	0	0	0	0	0	0	0	0	0	12.175368	5.917296	0	0	0	0	10.105519	3.2499046	4.408581	0	0	0	4.7621636	5.6303954	4.3056126	44.85337	0
early	Plate13_64404_Soil_GD7_01_27519	246.81577	0	819.9646	0	5.542053	0	8.807462	18.232069	6.991096	11.759753	0	7.334593	3.3676548	35.78521	0	0	0	16.538214	0	4.7032833	0	0	0	0	0	3.6463795	0	0	5.750164	35.595722	0	0	6.628133	0	4.1550627	0	4.174082	0	0	3.405075	3.339365	3.505838	12.999905	18.84027	0	0	0	0	5.8984914	0	13.143058	0	0	0	0	4.161013	0	43.46528	4.4649935
early	Plate13_25848_Soil_GD6_01_27517	29.583412	0	142.66568	0	3.409915	0	12.693675	7.4695225	0	0	0	0	0	8.37028	3.4431782	0	0	20.913109	0	3.552239	0	0	0	0	0	3.4153118	2.914833	0	0	13.732863	4.664559	0	0	2.4947891	0	0	0	0	0	0	0	0	54.920254	26.859192	0	0	0	0	0	0	5.681921	0	0	0	0	7.7755027	0	27.600906	4.3787985
early	Plate13_54508_Soil_GF8_01_27548	92.73828	3.5644026	232.70613	0	15.134577	0	6.1035132	14.532707	0	0	0	10.5489235	0	39.313774	0	0	0	3.7485905	0	0	0	3.214955	0	0	0	0	0	0	0	19.954956	3.643788	3.9437885	0	0	0	0	0	0	0	0	0	0	47.272923	3.6672964	0	2.7565756	0	3.714313	6.3752747	6.3752747	6.5688057	0	0	0	0	0	3.406285	68.39907	0
early	Plate14_63650_Soil_BE1_01_27892	0	0	4.509387	0	4.5767775	0	0	19.951544	0	8.337117	0	0	0	46.922108	0	0	0	0	0	0	0	3.7866592	0	0	0	0	0	0	3.2717514	1.9041281	3.2138882	13.334095	0	0	0	0	0	0	0	0	0	0	4.7041655	0	0	0	0	0	0	0	4.276514	0	0	0	0	0	0	43.53839	0
early	Plate16_64190_Soil_GD11_01_28267	0	0	6.488675	0	0	0	0	6.856185	0	0	0	0	0	16.295652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8974018	0	3.5910108	0	0	0	0	0	0	0	0	0	0	3.7351677	3.7351677	0	0	0	0	2.7525187	0	3.0052428	0	0	0	0	0	0	15.708531	0
early	Plate11_25742_Soil_GG6_01_27681	0	0	13.734249	0	11.49394	3.7781396	3.7573242	30.030312	6.732923	6.732923	0	0	0	6.1230087	0	0	0	4.5742826	0	0	0	0	0	0	0	0	0	0	4.231557	18.851646	0	0	0	3.5186052	0	0	0	0	0	13.082284	0	2.4271805	159.65724	7.3320637	0	0	0	0	4.2224836	4.2224836	0	0	0	0	0	0	0	18.555237	0
early	Plate14_65144_Soil_BE9_01_27901	0	0	0	0	0	4.7733307	13.564063	18.305992	13.243374	6.050371	0	0	0	24.782404	0	4.9524918	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7575326	2.87551	19.402761	0	0	0	0	0	0	0	0	0	0	0	3.5600066	0	0	0	0	0	0	0	0	0	0	0	0	0	39.038513	0
early	Plate17_55498_Soil_BB9_01_28369	0	0	0	0	0	0	0	5.232505	0	0	0	0	0	11.718919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4198046	0	0	0	0	0	0	0	0	0	3.3592386	0	0	0	0	0	0	1.1691256	0	0	0	0	0	0	0	4.4077997	0
early	Plate12_43454_Soil_Rerun_GH11_01_28086	3.1257248	0	6.774287	0	0	0	0	0	0	0	0	0	0	16.324697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0739737	0	0	0	0	0	0	0	0	0	0	0	0	5.375814	0	0	0	0	0	0	0	6.703582	0	0	0	0	3.5459747	0	13.310267	0
early	Plate14_64964_Soil_BD4_01_27881	0	0	4.1576805	0	3.5947895	0	0	13.390041	0	0	0	0	3.5313177	30.592554	0	0	0	0	0	4.0176916	0	0	0	0	0	0	0	0	0	0	3.9453578	0	0	0	0	0	2.899249	0	0	0	0	0	26.159233	20.462091	0	0	0	0	0	0	10.339043	0	0	0	0	4.1875095	0	43.120773	0
early	Plate11_61454_Soil_GG4_01_27679	0	0	3.2430282	0	6.881695	4.3991904	4.0817547	14.635459	4.1433372	3.276918	0	0	3.340533	12.889842	0	0	0	4.2194924	0	0	0	0	0	0	0	6.705916	2.4332237	0	6.758693	14.284069	0	0	0	0	0	0	0	0	0	0	0	0	13.841044	15.844601	2.7691956	0	0	0	0	0	4.1433372	0	0	0	0	24.880005	0	39.40873	0
early	Plate14_64188_Soil_BC10_01_27874	3.450815	3.3640664	0	0	5.226683	0	3.983686	36.807373	7.921511	5.6065483	0	0	0	27.803352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7348247	3.6717281	0	0	0	0	0	0	3.1869488	0	0	0	0	0	21.117626	3.5249412	0	0	0	0	0	0	3.9785454	0	0	0	0	0	0	20.107826	0
early	Plate11_44028_Soil_GF10_01_27672	0	0	3.34055	0	7.209815	0	0	22.426802	8.738883	8.738883	0	0	0	35.183556	3.6639318	0	0	3.2046967	0	2.2536728	0	0	0	0	0	2.8629494	0	0	4.848996	6.578267	0	2.785266	4.2943854	0	0	0	0	0	0	0	0	2.4512315	7.3635263	0	0	0	0	0	0	0	3.1674957	0	0	0	0	6.4449387	0	4.6003923	0
early	Plate14_60698_Soil_BF10_01_27916	0	0	0	0	7.484801	3.7431285	0	9.842417	0	3.3299508	0	0	0	49.43961	4.271451	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2613873	3.258356	0	0	0	0	3.6197162	0	0	0	0	0	0	0	15.94827	22.090181	0	0	0	0	3.6696196	0	4.4478006	0	0	0	0	0	0	38.238075	0
