ATTRIBUTE_ADDGroup	filename	MS_4223	MS_569	MS_5174	MS_602	MS_1099	MS_944	MS_2438	MS_1992	MS_1857	MS_1776	MS_5220	MS_7669	MS_3586	MS_1249	MS_6447	MS_563	MS_6132	MS_11854	MS_7368	MS_10884	MS_7580	MS_9949	MS_11407	MS_7462	MS_11555	MS_11946	MS_12030	MS_7689	MS_10207	MS_12333	MS_10629	MS_7416	MS_11211	MS_11734	MS_7467	MS_10199	MS_10900	MS_10614	MS_10821	MS_7822	MS_9690	MS_11436	MS_8804	MS_9006	MS_11849	MS_12229	MS_7924	MS_10549	MS_11193	MS_11322	MS_8509	MS_11711	MS_10811	MS_10857	MS_6956	MS_9150	MS_9355	MS_10074	MS_11153
-	compound	Amylamine-C5:0	Tyramine-C2:0	Amylamine-C6:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	5.64E-07	3.78E-09	3.63E-06	0.00519697	0.001875244	0.451680924	0.002126132	0.012379675	4.07E-11	1.21E-09	2.62E-22	2.58E-14	6.14E-09	0.040800707	0.003877416	4.67E-07	1.65E-05	6.68E-30	3.77E-15	1.37E-22	4.19E-13	4.56E-09	6.39E-14	6.13E-06	1.46E-13	1.03E-41	1.39E-18	1.23E-12	0.000137909	1.17E-09	1.25E-07	9.39E-09	5.10E-19	3.70E-33	4.36E-10	5.42E-18	2.43E-11	5.87E-11	8.24E-13	5.50E-19	2.90E-11	1.87E-06	1.05E-18	0.003567047	1.69E-42	4.85E-21	7.26E-12	6.39E-07	1.35E-14	8.77E-08	0.000123968	5.45E-06	9.09E-19	2.77E-09	3.23E-06	7.00E-29	1.69E-05	1.96E-06	3.58E-09
active	Plate10_25598_Soil_BC2_01_27737	0	0	3.3665848	0	0	0	0	20.959349	0	0	0	0	0	12.641615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4919014	5.860125	0	0	0	0	0	0	0	0	0	0	0	0	147.31003	9.271393	0	0	0	0	0	0	4.4272633	0	0	0	0	0	0	2.5639665	0
active	Plate13_43884_Soil_GH2_01_27570	25.214727	0	65.47663	0	5.9110584	0	10.119198	14.013811	0	0	0	0	0	11.358973	0	0	0	17.404125	0	0	0	0	0	0	3.81105	7.3214264	0	0	5.01287	33.48367	3.554795	0	0	9.90613	0	0	0	0	0	3.694735	0	0	8.614155	5.475436	0	0	0	10.503682	0	0	3.7156315	0	0	0	0	3.344071	3.344071	5.020115	0
active	Plate10_25366_Soil_BB6_01_27727	0	0	7.7280703	0	6.2392073	0	3.255646	6.49229	0	0	0	0	0	34.793	0	0	0	6.7451506	0	0	0	0	0	0	0	1.7986078	0	0	4.567845	3.5490966	0	4.4303393	0	0	0	0	0	0	0	5.7019615	0	0	153.75162	0	0	0	0	0	0	0	12.355393	0	0	0	0	29.978027	0	47.145363	0
active	Plate10_64820_Soil_BB7_01_27729	0	3.2617455	5.9723997	0	5.3836613	0	4.2171144	27.575058	0	0	0	0	0	16.281473	0	0	0	2.4211826	0	0	0	0	0	0	0	0	0	0	0	8.947762	3.8753026	18.870707	0	0	0	0	3.1785464	0	0	0	0	0	20.652752	0	0	0	0	0	6.955533	0	4.6009912	0	0	0	0	0	0	65.438354	0
active	Plate10_25904_Soil_BB5_01_27726	0	0	4.9690065	0	3.950932	0	0	17.82106	0	0	0	0	0	33.68115	0	0	0	3.1629982	0	0	0	0	0	0	0	0	0	0	8.561361	2.837925	0	0	0	0	0	0	3.6080475	0	2.8612924	0	0	0	43.099323	7.6559186	0	0	4.052	3.8274121	4.983143	2.3620212	3.9063692	0	0	2.7612805	4.5186214	0	3.4200096	101.936676	0
active	Plate11_25292_Soil_GE9_01_27656	0	3.7808266	10.248295	0	4.4086256	0	5.159519	29.332203	8.602034	10.63623	0	0	0	39.770927	3.0172265	0	0	4.0006742	0	0	0	4.328986	0	0	0	0	0	0	7.510716	20.307455	3.6672592	0	0	0	0	0	0	0	0	0	0	0	65.991516	0	0	2.9435453	0	0	3.610036	2.3516583	10.629528	0	3.4321785	4.5135956	0	14.567932	0	78.84505	3.5827274
active	Plate11_43328_Soil_GH11_01_27702	0	0	8.948605	0	3.433449	3.5598173	0	14.726452	5.22255	5.22255	0	0	0	13.186978	0	0	0	3.0705957	0	0	0	0	0	0	0	0	0	0	3.3664956	11.031855	0	3.7867556	0	0	0	0	0	0	0	3.4310298	0	0	16.223186	0	0	0	0	0	0	0	8.116784	0	0	3.3488445	0	3.226322	3.226322	24.89294	0
active	Plate10_43524_Soil_BE11_01_27776	3.461855	0	8.330423	0	3.2430117	3.2195115	3.6386328	14.29487	0	0	0	0	0	35.21695	0	0	0	3.4972696	0	0	0	0	0	0	0	2.0331593	0	0	3.2664952	9.607508	0	0	0	0	4.5557556	0	0	0	0	4.338275	0	0	101.99561	17.098892	0	0	0	0	0	0	0	0	0	0	0	5.8271637	3.505225	134.59686	0
active	Plate10_43508_Soil_BD6_01_27755	0	0	3.3146381	0	9.4109535	3.971336	0	19.317316	7.833016	9.528618	0	0	0	40.779575	0	0	0	0	0	0	0	0	0	0	1.6799927	0	0	0	5.0504217	3.7128105	0	0	0	0	0	0	3.4364958	0	0	7.334367	0	0	35.23175	33.64378	0	0	0	0	0	0	4.019962	0	0	0	0	29.301437	4.0061264	75.6528	4.5440006
active	Plate13_43868_Soil_GB5_01_27489	59.826042	4.322469	184.34286	0	8.835282	0	6.7471743	10.250233	3.5224915	0	0	0	0	13.136671	0	0	0	0	0	0	0	0	0	0	0	4.284631	0	0	7.5697527	11.460795	0	0	0	0	0	0	0	0	0	0	0	4.6996937	0	4.3224583	0	0	0	11.753637	0	0	12.712328	0	0	0	4.1389313	5.438185	0	0	3.6318455
active	Plate13_43690_Soil_GA10_01_27481	19.591557	8.502531	74.19584	0	15.257976	3.7195868	8.146652	21.374052	11.158203	15.972375	4.218401	0	5.0923014	40.44947	0	0	0	7.7150083	0	0	0	9.607379	0	0	0	9.14967	0	0	15.42728	22.626451	4.708398	0	0	0	0	0	0	0	0	0	0	3.8566923	88.81927	0	0	0	0	17.742264	0	0	5.680691	0	0	4.0020466	9.490664	66.89466	0	31.91874	0
active	Plate10_25940_Soil_BD9_01_27759	0	0	3.7808075	0	0	0	0	4.2785125	0	0	0	0	0	6.555005	0	0	0	15.281912	0	0	0	8.296737	0	0	0	7.9952264	6.1322293	0	12.363219	11.936658	4.770445	36.06302	0	0	5.403073	3.88847	0	0	0	121.28493	0	0	290.42032	0	3.896141	0	3.5834103	3.5497909	13.422344	0	8.527625	0	0	0	0	342.6756	4.570279	192.14752	3.8457832
active	Plate10_64620_Soil_BF1_01_27779	0	0	5.2845535	0	3.6725035	3.856751	5.9733706	11.923859	4.6328044	4.6328044	0	0	4.174264	48.010094	0	3.4443877	0	0	0	0	0	0	0	0	0	0	0	0	10.588837	3.1702423	6.2712183	19.224222	0	0	0	0	0	0	0	0	0	0	15.249068	0	0	0	3.2676883	0	3.8519192	2.398827	5.0075636	0	0	0	0	0	0	69.93891	0
active	Plate10_25508_Soil_BF8_01_27787	0	0	3.3435907	0	0	0	4.174857	34.33348	3.8023968	3.8023968	0	0	0	22.58926	0	3.6878896	0	2.287581	0	0	0	0	0	0	0	0	0	0	3.7480164	6.5415945	2.8347025	0	5.709263	0	0	0	0	0	0	0	0	0	22.834766	3.5929778	0	0	0	0	0	0	0	0	0	0	0	0	0	43.58774	3.9398632
active	Plate13_25544_Soil_GC9_01_27508	157.07309	5.652008	433.46246	0	6.888259	0	4.0199213	34.470318	5.2101164	5.2101164	0	0	3.7875056	73.35627	3.5274982	0	0	15.943998	0	0	0	4.592909	0	3.727207	0	3.3756113	0	0	0	27.439882	4.0773783	4.8209143	0	0	0	0	15.744069	0	0	4.5477076	0	4.4430704	79.69866	0	0	4.9402	0	4.4164248	0	0	24.44484	0	0	0	0	0	0	129.53516	0
active	Plate10_25634_Soil_BG9_01_27802	0	0	5.3458576	0	6.2226505	0	4.864517	10.07696	0	0	0	0	3.20687	21.674356	3.3960457	0	0	6.4282894	0	0	0	3.5808735	0	0	3.237016	2.5535889	0	0	0	16.536327	4.047047	0	0	3.0831914	0	0	0	26.458128	0	5.3852596	0	0	68.34951	15.815638	0	0	0	0	0	2.8814783	4.865059	0	0	3.0061026	0	18.464054	3.258376	57.86767	4.6947594
active	Plate10_43906_Soil_BE6_01_27771	0	3.3759909	3.8457832	0	8.503017	0	3.8635936	14.370712	4.292159	0	0	3.4407067	3.7129757	34.94726	3.2641754	0	0	8.175828	0	0	0	0	0	0	2.6535416	12.498081	0	0	0	14.419111	0	3.3205547	0	9.253693	0	0	0	0	4.040559	3.240725	0	0	52.952106	0	6.076805	3.2287288	0	5.3052807	0	0	4.9244785	0	0	0	0	65.59169	0	30.1991	0
active	Plate10_43904_Soil_BE4_01_27767	0	0	5.005829	0	0	0	6.2627497	15.7477255	3.901014	3.901014	0	0	0	40.315105	0	0	0	78.68267	0	3.6193535	0	0	0	0	0	86.26361	9.397833	0	0	39.603218	0	0	6.065144	55.035152	0	0	4.040654	3.322908	0	0	0	0	37.15306	16.779503	61.859528	13.961666	0	0	0	0	5.8618803	0	3.041655	3.102303	0	5.375814	5.375814	68.44895	4.421036
active	Plate13_45884_Soil_GD1_01_27469	2157.549	1612.7837	31795.424	1268.9258	1920.225	1478.4856	7242.2856	205.41539	378.3843	8767.67	5772.189	2473.8425	711.7747	151.0671	38.58164	78.72054	94.239204	7421.7866	186.12619	315.34503	133.30278	327.52844	243.97404	40.620735	3816.2104	15157.875	0	330.29404	1095.9971	1148.5315	511.47592	34.742683	347.1326	468.95117	525.91895	647.8134	422.9973	126.38106	803.68054	31.19778	60.26838	408.4541	375.9528	10.142872	1158.8591	60.97883	28.132072	546.8661	1317.1077	69.3854	48.12369	21.01153	247.83737	237.81355	217.06357	187.2759	26.173584	34.57048	256.63007
active	Plate10_25382_Soil_BE2_01_27765	16.5386	30.741224	208.83165	0	9.567883	0	142.34383	55.327553	22.887148	19.984901	156.1638	93.933975	14.344046	47.68267	7.073012	4.450945	0	327.67352	0	45.104584	0	0	9.146862	0	0	412.65594	14.497087	0	5.8629446	68.96821	0	11.924055	55.98456	153.6432	0	0	0	0	6.00508	18.467545	31.977497	0	62.8405	0	143.26083	25.875744	0	0	20.152721	9.020674	12.076242	0	24.304508	0	4.8834443	21.116135	4.82729	66.50978	0
active	Plate13_64440_Soil_GC2_01_27500	1265.4202	13.547213	1586.4365	0	6.385214	3.7613297	13.183909	77.38119	7.478267	14.824018	0	13.738348	13.373315	64.927284	4.9602537	0	0	7.9580827	0	0	0	4.314825	3.519988	0	0	0	0	0	6.0672355	11.950579	0	0	9.30814	3.212636	0	3.9999847	0	4.094802	4.1375046	0	0	0	31.661547	8.715956	3.8898468	3.3334742	0	3.78883	7.391975	7.944234	18.607302	3.9836454	4.671464	3.4569833	4.708338	13.123042	7.158532	59.2193	5.2658615
active	Plate10_25330_Soil_BG3_01_27795	0	0	5.6783924	0	6.5236893	0	3.4667616	14.922942	4.1727657	0	0	0	0	23.857105	0	0	0	11.747852	0	0	0	0	0	0	0	0	0	0	12.632374	14.414434	0	0	0	0	0	0	1.9869487	1.9838948	0	0	0	0	9.931031	0	0	8.81856	0	0	3.1077144	3.1077144	3.8747406	0	0	0	2.5925684	0	0	18.93296	0
active	Plate10_43526_Soil_BF9_01_27788	0	0	0	0	0	0	0	4.17131	0	0	0	0	0	8.043315	0	0	0	2.5220022	0	0	0	0	0	0	0	1.6029549	0	0	3.7962518	8.037594	3.1868649	0	0	0	0	0	0	0	0	0	0	0	41.360344	3.3804245	0	0	0	0	0	0	3.6051893	0	0	0	0	13.064522	0	31.02953	0
active	Plate13_55030_Soil_GD9_01_27521	32.91329	0	217.35568	0	13.031493	3.7658677	0	27.91567	7.3085113	7.3085113	0	0	0	23.12936	5.1645374	0	0	20.696297	0	0	0	0	0	0	0	3.7469082	0	0	4.0933914	28.269596	5.278946	4.0668964	6.350608	0	4.780657	0	3.3005428	0	0	0	0	3.6344156	77.70657	0	0	0	0	3.8083463	0	0	27.810574	0	0	2.2151952	0	18.867859	0	70.78774	5.092266
active	Plate10_43510_Soil_BE8_01_27773	0	3.2864988	12.323359	0	0	0	5.9277844	27.682285	5.3954697	5.3954697	0	0	0	26.365383	0	0	0	2.1184773	0	0	0	0	0	0	0	0	0	0	0	7.894589	3.2441797	4.2595353	7.112602	0	0	0	0	0	0	0	0	0	33.69667	6.8083715	0	0	0	0	0	2.8649569	0	0	0	0	0	11.407282	0	63.17866	0
active	Plate10_25346_Soil_BE9_01_27774	0	0	4.2891436	0	0	3.9785807	6.9212914	6.650522	0	7.990656	0	0	4.0933294	17.40037	3.3277094	0	0	13.613064	0	0	0	0	0	0	0	3.8831172	0	0	0	8.772911	2.5002484	0	0	2.6894994	0	0	0	0	0	0	0	0	48.037994	25.441692	2.638462	0	0	0	7.4470415	0	4.4210863	0	0	0	0	0	0	45.348427	3.5686195
active	Plate10_25454_Soil_BE7_01_27772	0	0	9.884647	0	0	0	4.1063967	63.629276	0	0	0	0	0	54.807343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.991749	4.5819125	3.55081	0	4.4248314	3.039205	0	0	0	0	0	0	0	0	42.64942	4.0669374	0	0	0	0	2.7527285	2.7527285	8.331465	0	0	0	0	0	0	37.02461	0
active	Plate10_25778_Soil_BD10_01_27760	0	0	2.7742982	0	3.4008007	0	3.532505	11.450691	0	0	0	0	0	12.113083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2394671	4.528244	0	0	0	0	0	0	0	0	3.5501647	0	0	4.788886	18.329792	28.585455	0	0	0	0	0	0	7.3525133	0	0	0	0	0	0	90.811485	3.9715345
active	Plate10_25364_Soil_BE1_01_27764	0	0	1.9908257	0	0	0	0	6.7844834	3.4804826	0	0	0	0	6.5636683	0	0	0	4.5932245	0	0	0	0	0	0	0	1.9412994	0	0	0	6.1479955	0	0	0	0	2.0638323	0	0	0	0	0	0	0	25.643658	0	0	0	0	0	3.5572915	3.5572915	0	0	0	0	0	0	0	21.546623	0
active	Plate13_25580_Soil_GE10_01_27536	47.565445	4.0377088	163.47885	0	7.646606	0	0	22.472485	4.2906837	10.119	4.068057	0	3.6750884	27.923	3.3996162	0	0	16.049469	0	0	0	0	0	0	0	16.045849	0	0	15.198775	34.00612	4.577612	5.5931673	0	0	0	4.56385	0	0	0	4.7554693	0	3.3735871	11.001982	23.742983	0	0	0	3.8678956	6.474475	0	19.264023	2.8647363	0	2.753716	6.062991	3.9756846	3.772049	169.9239	0
active	Plate10_64822_Soil_BD3_01_27752	0	0	12.918976	0	3.4020195	0	10.290972	15.719445	0	0	0	0	0	52.586563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5980482	7.577139	0	21.582714	0	3.3539414	0	0	0	0	0	0	0	0	6.6575074	0	0	0	0	3.1030831	0	0	11.9308605	0	0	0	0	0	0	66.66838	0
active	Plate10_43474_Soil_BD8_01_27758	0	0	10.790491	0	3.782151	0	3.630542	6.90341	0	0	0	0	0	23.977251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7694645	6.6201515	0	0	0	0	0	0	0	0	0	3.3099654	0	0	35.74398	0	0	0	0	0	0	0	3.7586594	0	0	0	0	0	0	39.671257	0
active	Plate13_44064_Soil_GE7_01_27533	72.42297	0	234.27638	0	9.582688	3.6920962	0	15.801624	4.4728985	0	0	3.2899952	0	23.108603	4.9559712	3.512685	0	47.189747	0	0	0	0	0	0	4.4304533	76.985756	5.559547	0	13.387953	61.155857	0	12.409433	0	4.5275393	3.3863983	4.0242424	7.534051	0	0	12.472998	0	3.533721	147.07933	6.741248	3.4643083	3.0374603	0	3.219528	5.426564	5.426564	24.118391	3.1406422	0	0	0	63.25599	15.322811	289.5851	6.32598
active	Plate13_25906_Soil_GC1_01_27499	32.372948	0	176.4599	0	0	0	9.938114	15.203025	4.7956953	4.7956953	0	10.222984	4.760353	6.891054	0	0	0	215.4211	0	0	0	0	0	0	31.094816	579.6527	0	0	8.995148	100.494255	0	104.85095	0	6.629304	11.475436	0	13.981834	0	0	197.9071	0	0	466.3105	10.930842	0	0	3.5497189	0	7.633863	3.2970047	7.858226	0	4.15654	0	12.334678	550.69446	70.84663	78.47906	3.7011285
advanced	Plate16_44158_Soil_GH10_01_28323	0	0	7.657859	0	0	0	3.8332148	3.4667616	0	3.5707445	0	0	0	18.858185	0	0	0	15.689309	0	0	0	0	0	0	0	4.310319	0	0	0	4.676653	0	0	0	4.036557	0	0	1.2332916	0	0	0	0	0	32.472527	0	1.0628653	0	0	0	0	0	0	0	0	0	0	18.08616	4.303548	0	0
advanced	Plate11_61762_Soil_GC11_01_27630	3.8522573	5.9855437	22.85357	0	11.9791355	0	24.520502	0	23.325565	23.325565	17.71967	5.6623054	6.109991	23.927397	3.446145	21.864904	0	216.01999	3.5650134	7.804477	0	0	0	0	2.9811502	360.5106	5.9640026	0	4.323356	88.69998	13.477973	64.56629	24.090605	109.77887	0	0	7.38685	12.247447	14.351142	95.29126	10.312565	6.2701097	388.2697	0	124.71054	22.517796	15.153305	0	14.575711	3.0769515	10.009633	5.2009745	4.3188186	0	6.4823675	600.93787	13.830452	100.05536	0
advanced	Plate17_54936_Soil_BA11_01_28357	0	0	0	0	0	0	0	0	3.539153	3.539153	0	0	0	7.583592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7287998	13.125962	0	0	0	0	0	0	0	0	0	0	0	0	0	8.734376	0
advanced	Plate17_54762_Soil_BB10_01_28371	0	0	0	0	0	0	0	4.1550627	0	0	0	0	0	10.567205	0	0	0	3.1971755	0	0	0	0	0	0	0	6.301953	0	0	4.4253807	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2057037	7.8557158	0	0	0	0	1.7372859	0	0	0	0	0	0	12.68736	0	2.3136015	0
