Compound	Group	Presence	annotation	Tail
Tyramine-C10:0	Humans	TRUE	C10:0	Medium
Tyramine-C10:0	Rodents	FALSE	C10:0	Medium
Tyramine-C10:0	Microbes	FALSE	C10:0	Medium
Tyramine-C10:0	Foods	FALSE	C10:0	Medium
Tyramine-C10:0	Plants	FALSE	C10:0	Medium
Tyrosine-C10:0	Humans	TRUE	C10:0	Medium
Tyrosine-C10:0	Rodents	FALSE	C10:0	Medium
Tyrosine-C10:0	Microbes	TRUE	C10:0	Medium
Tyrosine-C10:0	Foods	TRUE	C10:0	Medium
Tyrosine-C10:0	Plants	TRUE	C10:0	Medium
Valine-C10:0	Humans	TRUE	C10:0	Medium
Valine-C10:0	Rodents	FALSE	C10:0	Medium
Valine-C10:0	Microbes	TRUE	C10:0	Medium
Valine-C10:0	Foods	FALSE	C10:0	Medium
Valine-C10:0	Plants	FALSE	C10:0	Medium
2-phenethylamine-C10:1	Humans	FALSE	C10:1	Medium
2-phenethylamine-C10:1	Rodents	FALSE	C10:1	Medium
2-phenethylamine-C10:1	Microbes	TRUE	C10:1	Medium
2-phenethylamine-C10:1	Foods	FALSE	C10:1	Medium
2-phenethylamine-C10:1	Plants	FALSE	C10:1	Medium
Amylamine-C10:1	Humans	FALSE	C10:1	Medium
Amylamine-C10:1	Rodents	FALSE	C10:1	Medium
Amylamine-C10:1	Microbes	FALSE	C10:1	Medium
Amylamine-C10:1	Foods	TRUE	C10:1	Medium
Amylamine-C10:1	Plants	TRUE	C10:1	Medium
Glutamine-C10:1	Humans	TRUE	C10:1	Medium
Glutamine-C10:1	Rodents	FALSE	C10:1	Medium
Glutamine-C10:1	Microbes	TRUE	C10:1	Medium
Glutamine-C10:1	Foods	FALSE	C10:1	Medium
Glutamine-C10:1	Plants	FALSE	C10:1	Medium
Glutathione-C10:1	Humans	FALSE	C10:1	Medium
Glutathione-C10:1	Rodents	FALSE	C10:1	Medium
Glutathione-C10:1	Microbes	FALSE	C10:1	Medium
Glutathione-C10:1	Foods	TRUE	C10:1	Medium
Glutathione-C10:1	Plants	FALSE	C10:1	Medium
Histidine-C10:1	Humans	FALSE	C10:1	Medium
Histidine-C10:1	Rodents	FALSE	C10:1	Medium
Histidine-C10:1	Microbes	FALSE	C10:1	Medium
Histidine-C10:1	Foods	TRUE	C10:1	Medium
