feature - Skin	compound	day0	early	active	advanced		feature - Soil	compound	day0	early	active	advanced
MS_7031	Glutamic acid-C16:0	174.3022792	132.9945825	717.8700692	2374.335911		MS_7031	Glutamic acid-C16:0	36.73411011	29.30687392	66.84219344	153.3585
MS_9439	2-phenethylamine-C18:1	8.697083044	4.679235168	107.2167485	818.8208319		MS_9439	2-phenethylamine-C18:1	0.208237939	1.730338719	6.923671196	60.10451052
MS_9753	2-phenethylamine-C18:0	3.818907969	3.061579077	16.19362641	99.27526961		MS_9753	2-phenethylamine-C18:0	0.094517258	8.17211701	0.806307313	9.035128928
MS_6327	Spermidine-C18:1	1.456988025	2.091619325	19.91208434	57.82375611		MS_6327	Spermidine-C18:1	0.818482519	0.221152433	0.828200144	5.7279405
MS_8388	Leucine-C18:2	6.11565875	6.130465932	17.44898952	89.48659237		MS_8388	Leucine-C18:2	1.056410931	0.55669622	3.11241297	5.5165889
MS_8927	Leucine-C18:1	8.5628018	7.169441469	97.87256855	596.6332441		MS_8927	Leucine-C18:1	2.257189036	1.788124346	8.430748365	56.75288584
MS_6828	Glutamic acid-C17:1	45.70785982	42.66367111	71.55321255	142.4428687		MS_6828	Glutamic acid-C17:1	10.72177707	6.193066544	11.69701934	10.94284257
MS_9383	Leucine-C18:0	4.412240536	4.133863405	7.008690991	41.88580514		MS_9383	Leucine-C18:0	1.3017414	0.869483832	1.326088427	4.155694496
MS_8429	Tyramine-C18:1	3.085157083	3.81435303	15.67320478	102.6060063		MS_8429	Tyramine-C18:1	0.296353325	0.201185005	1.636957919	10.13332442
MS_8640	Phenylalanine-C16:0	7.239372814	6.873867274	13.50022297	81.8368816		MS_8640	Phenylalanine-C16:0	0.270148467	0.514142707	1.786323325	8.861143094
MS_5531	Glutamic acid-C18:1	5.556328217	7.051695553	51.90761551	227.2716672		MS_5531	Glutamic acid-C18:1	0.873118181	0.473245074	1.890492724	4.427372335
MS_7295	Glutamic acid-C18:1	43.291293	34.50347918	913.3720697	3181.050222		MS_7295	Glutamic acid-C18:1	3.350991536	1.90580775	29.45075101	190.7480463
MS_8016	Glutamic acid-C18:0	216.9036558	166.6744648	297.0685327	406.6981406		MS_8016	Glutamic acid-C18:0	41.77059139	27.85735564	48.48554395	57.33673909
MS_8880	Phenylalanine-C18:1	7.227827839	7.303366771	19.46442587	90.73175214		MS_8880	Phenylalanine-C18:1	1.727002453	0.759831953	2.587317327	9.645315367
