Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
Aspartic acid-C2:0	Plants	TRUE	C2:0	Short		Histidine-C10:0	Humans	TRUE	C10:0	Medium		Asparagine-C14:0	Rodents	TRUE	C14:0	Long		Serotonin-C23:0	Plants	TRUE	C23:0	Very long
Cadaverine-C2:0	Humans	TRUE	C2:0	Short		Histidine-C10:0	Rodents	TRUE	C10:0	Medium		Asparagine-C14:0	Microbes	TRUE	C14:0	Long		Tryptamine-C23:0	Foods	TRUE	C23:0	Very long
Cadaverine-C2:0	Rodents	TRUE	C2:0	Short		Histidine-C10:0	Foods	TRUE	C10:0	Medium		Citrulline-C14:0	Humans	TRUE	C14:0	Long		Tryptamine-C23:0	Plants	TRUE	C23:0	Very long
Cadaverine-C2:0	Microbes	TRUE	C2:0	Short		Histidine-C10:0	Plants	TRUE	C10:0	Medium		Citrulline-C14:0	Microbes	TRUE	C14:0	Long		Tyramine-C23:0	Foods	TRUE	C23:0	Very long
Cadaverine-C2:0	Plants	TRUE	C2:0	Short		Leucine-C10:0	Humans	TRUE	C10:0	Medium		Citrulline-C14:0	Foods	TRUE	C14:0	Long		Tyramine-C23:0	Plants	TRUE	C23:0	Very long
Cystathionine-C2:0	Microbes	TRUE	C2:0	Short		Leucine-C10:0	Microbes	TRUE	C10:0	Medium		GABA-C14:0	Humans	TRUE	C14:0	Long		3-methoxytyramine-C24:0	Foods	TRUE	C24:0	Very long
Glutamic acid-C2:0	Humans	TRUE	C2:0	Short		Leucine-C10:0	Foods	TRUE	C10:0	Medium		Glutamic acid-C14:0	Humans	TRUE	C14:0	Long		3-methoxytyramine-C24:0	Plants	TRUE	C24:0	Very long
Glutamic acid-C2:0	Rodents	TRUE	C2:0	Short		Lysine-C10:0	Humans	TRUE	C10:0	Medium		Glutamic acid-C14:0	Microbes	TRUE	C14:0	Long		Dopamine-C24:0	Humans	TRUE	C24:0	Very long
Glutamic acid-C2:0	Plants	TRUE	C2:0	Short		Lysine-C10:0	Rodents	TRUE	C10:0	Medium		Glutamine-C14:0	Humans	TRUE	C14:0	Long		Dopamine-C24:0	Foods	TRUE	C24:0	Very long
Histamine-C2:0	Humans	TRUE	C2:0	Short		Lysine-C10:0	Microbes	TRUE	C10:0	Medium		Glutamine-C14:0	Microbes	TRUE	C14:0	Long		Dopamine-C24:0	Plants	TRUE	C24:0	Very long
Histamine-C2:0	Rodents	TRUE	C2:0	Short		Lysine-C10:0	Foods	TRUE	C10:0	Medium		Histamine-C14:0	Humans	TRUE	C14:0	Long		Serotonin-C24:0	Humans	TRUE	C24:0	Very long
Histidine-C2:0	Humans	TRUE	C2:0	Short		Lysine-C10:0	Plants	TRUE	C10:0	Medium		Histidine-C14:0	Microbes	TRUE	C14:0	Long		Serotonin-C24:0	Foods	TRUE	C24:0	Very long
Histidine-C2:0	Rodents	TRUE	C2:0	Short		Methionine-C10:0	Humans	TRUE	C10:0	Medium		Histidine-C14:0	Foods	TRUE	C14:0	Long		Serotonin-C24:0	Plants	TRUE	C24:0	Very long
Histidine-C2:0	Microbes	TRUE	C2:0	Short		Methionine-C10:0	Microbes	TRUE	C10:0	Medium		Leucine-C14:0	Humans	TRUE	C14:0	Long		Tryptamine-C24:0	Humans	TRUE	C24:0	Very long
Histidine-C2:0	Foods	TRUE	C2:0	Short		Methionine-C10:0	Foods	TRUE	C10:0	Medium		Leucine-C14:0	Rodents	TRUE	C14:0	Long		Tryptamine-C24:0	Foods	TRUE	C24:0	Very long
Kynurenine-C2:0	Humans	TRUE	C2:0	Short		Phenylalanine-C10:0	Humans	TRUE	C10:0	Medium		Leucine-C14:0	Microbes	TRUE	C14:0	Long		Tryptamine-C24:0	Plants	TRUE	C24:0	Very long
Kynurenine-C2:0	Rodents	TRUE	C2:0	Short		Phenylalanine-C10:0	Microbes	TRUE	C10:0	Medium		Leucine-C14:0	Foods	TRUE	C14:0	Long		Tryptophan-C24:0	Foods	TRUE	C24:0	Very long
Kynurenine-C2:0	Microbes	TRUE	C2:0	Short		Phenylalanine-C10:0	Foods	TRUE	C10:0	Medium		Leucine-C14:0	Plants	TRUE	C14:0	Long		Tryptophan-C24:0	Plants	TRUE	C24:0	Very long
L-DOPA-C2:0	Humans	TRUE	C2:0	Short		Putrescine-C10:0	Humans	TRUE	C10:0	Medium		Lysine-C14:0	Humans	TRUE	C14:0	Long		Tyramine-C24:0	Humans	TRUE	C24:0	Very long
Lysine-C2:0	Humans	TRUE	C2:0	Short		Putrescine-C10:0	Microbes	TRUE	C10:0	Medium		Lysine-C14:0	Rodents	TRUE	C14:0	Long		Tyramine-C24:0	Foods	TRUE	C24:0	Very long
Lysine-C2:0	Rodents	TRUE	C2:0	Short		Serine-C10:0	Humans	TRUE	C10:0	Medium		Lysine-C14:0	Foods	TRUE	C14:0	Long		Tyramine-C24:0	Plants	TRUE	C24:0	Very long
Lysine-C2:0	Microbes	TRUE	C2:0	Short		Serine-C10:0	Microbes	TRUE	C10:0	Medium		Methionine-C14:0	Humans	TRUE	C14:0	Long		Serine-C24:1	Rodents	TRUE	C24:1	Very long
Lysine-C2:0	Foods	TRUE	C2:0	Short		Taurine-C10:0	Humans	TRUE	C10:0	Medium		Methionine-C14:0	Microbes	TRUE	C14:0	Long		Serine-C24:1	Microbes	TRUE	C24:1	Very long
Methionine-C2:0	Humans	TRUE	C2:0	Short		Threonine/homoserine-C10:0	Humans	TRUE	C10:0	Medium		Methionine-C14:0	Foods	TRUE	C14:0	Long		Serotonin-C24:1	Foods	TRUE	C24:1	Very long
Methionine-C2:0	Rodents	TRUE	C2:0	Short		Threonine/homoserine-C10:0	Microbes	TRUE	C10:0	Medium		Phenylalanine-C14:0	Humans	TRUE	C14:0	Long		Serotonin-C24:1	Plants	TRUE	C24:1	Very long
Methionine-C2:0	Foods	TRUE	C2:0	Short		Tryptophan-C10:0	Humans	TRUE	C10:0	Medium		Phenylalanine-C14:0	Microbes	TRUE	C14:0	Long		Dopamine-C25:0	Humans	TRUE	C25:0	Very long
N-acetylcadaverine-C2:0	Humans	TRUE	C2:0	Short		Tryptophan-C10:0	Microbes	TRUE	C10:0	Medium		Putrescine-C14:0	Humans	TRUE	C14:0	Long		Dopamine-C25:0	Foods	TRUE	C25:0	Very long
N-acetylcadaverine-C2:0	Rodents	TRUE	C2:0	Short		Tryptophan-C10:0	Foods	TRUE	C10:0	Medium		Putrescine-C14:0	Microbes	TRUE	C14:0	Long		Dopamine-C25:0	Plants	TRUE	C25:0	Very long
N-acetylcadaverine-C2:0	Plants	TRUE	C2:0	Short		Tyramine-C10:0	Humans	TRUE	C10:0	Medium		Putrescine-C14:0	Plants	TRUE	C14:0	Long		Serotonin-C25:0	Foods	TRUE	C25:0	Very long
