Compound_Name	Clostridium hathewayi DSM 13479	Clostridium sp M62 1	Ruminococcus gnavus ATCC 29149	Ruminococcus torques ATCC 27756	Ruminococcus lactaris ATCC 29176	Coprococcus eutactus ATCC 27759	Coprococcus comes ATCC 27758	Clostridium scindens ATCC 35704	Clostridium hylemonae DSM 15053	Blautia hansenii DSM 20583	Blautia hydrogenotrophica DSM 10507	Clostridium asparagiforme DSM 15981	Clostridium bolteae ATCC BAA-613	Dorea formicigenerans ATCC 27755	Dorea longicatena DSM 13814	Butyrivibrio crossotus DSM 2876	Clostridium nexile DSM 1787	Eubacterium eligens ATCC 27750	Bryantella formatexigens DSM 14469	Clostridium saccharolyticum WM1	Eubacterium hallii DSM 3353	Eubacterium rectale ATCC 33656	Roseburia inulinivorans DSM 16841	Anaerostipes caccae DSM 14662	Clostridium methylpentosum DSM 5476	Clostridium leptum DSM 753	Ruminococcus gauvreauii DSM 19829	Oscillibacter sp KLE 1728	Anaerotruncus colihominis DSM 17241	Bacteroides pectinophilus ATCC 43243	Intestinimonas butyriciproducens DSM 26588	Eubacterium ventriosum ATCC 27560	Catenibacterium mitsuokai DSM 15897	Clostridium spiroforme DSM 1552	Holdemania filiformis DSM 12042	Granulicatella adiacens ATCC 49175	Lactobacillus ruminis ATCC 25644	Acidaminococcus fermentans DSM 20731	Acidaminococcus intestini sp D21	Collinsella stercoris DSM 13279	Collinsella aerofaciens ATCC 25986	Bifidobacterium breve DSM 20213	Bifidobacterium catenulatum DSM 16992	Bifidobacterium pseudocatenulatum DSM 20438	Bacteroides cellulosilyticus DSM 14838	Bacteroides finegoldii DSM 17565	Bacteroides xylanisolvens DSMZ 18836	Bacteroides stercoris ATCC 43183	Bacteroides fragilis 3 1 12	Bacteroides thetaiotaomicron VPI-5482	Bacteroides uniformis ATCC 8492	Bacteroides caccae ATCC 43185	Bacteroides eggerthii DSM 20697	Bacteroides sp D2	Bacteroides ovatus ATCC 8483	Bacteroides rodentium DSM 26882	Bacteroides intestinalis DSM 17393	Bacteroides plebeius DSM 17135	Bacteroides dorei 5 1 36 D4	Bacteroides vulgatus ATCC 8482	Butyricimonas virosa DSM 23226	Odoribacter splanchnicus DSM 20712	Prevotella buccae D17	Prevotella buccalis ATCC 35310	Parabacteroides merdae ATCC 43184	Parabacteroides sp D13	Parabacteroides distasonis ATCC 8503	Parabacteroides johnsonii DSM 18315	Alistipes finegoldii DSM 17242	Alistipes putredinis DSM 17216	Akkermansia muciniphila ATCC BAA-835
Tyrosine-C2:0	0.097665826	0.65609179	0.476422377	-0.039078487	0.439805082	0.362441084	0.308085136	0.319327326	0.136174974	-0.034053999	0.126418995	-0.111286869	0.248993122	0.602738594	0.105980319	0.225060377	0.703154211	0.25267564	0.084682795	0.314680168	0.528129848	0.262232942	-0.006388856	0.122652327	0.810632939	0.115574303	0.079691398	0.356469012	0.443113226	0.305386787	0.099645814	0.514452433	0.755542865	0.407213173	0.569565062	0.334502901	0.196836811	0.227954613	0.493855567	0.757827485	0.001159279	0.769759615	0.092555418	0.517642414	0.144868566	0.110059866	-0.048899164	0.30501894	0.077514002	0.218809062	0.396275447	0.397845605	0.204256866	0.398252635	0.187194712	0.116633925	0.164610419	0.632342245	0.21239954	0.217784171	-0.08419101	0.572415164	0.845188858	0.609446649	0.238195654	0.182670432	0.206113009	0.287882986	0.447034755	0.354743864	0.993150768
Tyrosine-C2:0	0	21.11231268	23.03179703	0	19.96980006	20.29798328	0	21.29479833	20.12803566	0	18.0974649	16.4137803	19.51222006	16.69981927	14.95359371	17.2498115	18.81163084	20.01783123	0	21.02556294	19.31496836	0	20.55583373	18.36756372	20.5671629	14.60042741	0	14.02169256	20.41076984	18.85791283	0	13.85360406	18.01986914	19.07574739	20.31314665	20.97863307	0	16.98688946	20.91742795	21.49746498	0	16.88673317	16.12044981	14.58754853	0	0	15.03129047	18.26202525	0	0	17.72539122	17.79308433	19.4443711	16.70185827	0	14.70602036	14.22257633	18.69594012	19.20191559	18.28237299	18.01427249	20.49936926	18.07971786	21.16454917	0	0	19.39898256	19.12821967	18.28938703	20.61232364	20.41806924
Tyrosine-C2:0	0	14.98614767	23.56201621	0	22.53424374	16.42785624	0	19.86231461	0	0	0	0	18.7669279	22.01265828	0	0	14.61428453	0	0	20.54531388	0	0	16.03847708	0	16.37374514	0	0	0	16.54658756	0	0	0	20.53380651	16.1370867	14.45258343	21.0773535	0	0	19.54305976	0	14.7003755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.24642961	0	16.90847237	0	0	0	0	0	0	14.55674385
Valine-C2:0	-0.162008867	0.487705251	0.399874367	0.22946479	0.179444035	0.383441469	0.771663865	0.426005061	0.485703986	0.110272475	0.129940341	-0.268915199	0.15185286	0.38623067	0.366183354	-0.038739261	0.335918415	-0.017704966	0.284644057	0.02254725	0.139529044	0.177117264	0.458881566	0.078444091	0.488945555	0.07158316	-0.304922814	-0.188130301	0.65346308	-0.224326455	-0.017504319	0.014356615	0.177611928	0.057293415	0.483137484	0.453390006	-0.086877364	0.426308973	1.452005521	0.632094548	-0.371854903	0.44985553	0.088289124	-0.011778239	-0.238655687	0.130389551	-0.310995837	-0.243648454	-0.386526418	-0.252793071	-0.139662692	0.174073059	-0.400345841	0.203907697	-0.289940515	-0.367607125	-0.489532878	-0.034623617	-0.367653333	-0.307777324	-0.832122159	-0.005250859	0.323667123	0.714944463	0.201419644	-0.329089987	-0.004225114	-0.321498111	0.16359908	-0.188455523	2.116715239
2-phenethylamine-C3:0	0	13.67748473	17.2491072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.49052544	0	0	0	14.9723659	0	0	0	0	0	0	0	25.84798307	0	0	0	0	0	0	13.26763484	0	12.96319657	0	15.07974966	0	15.2795156	0	13.32691094	0	0	14.61319263	0	15.24983656	13.11025018	0	0	15.13559477	0	14.67497297	0	13.10600808	0	0	0	0	0
Methionine-C3:0	15.2679346	20.56838656	0	0	0	0	0	0	17.4736637	0	0	0	19.34465452	15.11649781	0	0	0	0	0	15.9958392	0	15.87952785	17.44272312	0	0	18.75474498	14.76167347	16.2093357	0	16.18817706	15.16194278	0	0	0	17.38460538	19.49169195	0	16.80734077	21.50846008	0	0	15.74785948	0	0	16.65270656	0	17.41609991	18.22870231	0	15.6192821	0	0	15.50377326	16.46120308	0	0	0	0	0	15.24070442	19.00162377	20.40855697	14.99707581	17.61402281	15.92217667	17.77411669	19.1511214	16.32196226	18.0305798	0	23.53451537
Phenylalanine-C3:0	0.112524843	2.57860641	0.408744025	0.120949397	0.063604588	0.690579218	0.515967782	0.109638675	0.31432655	0.046110979	0.322495345	-0.18132508	0.098703054	0.231271076	0.181287098	0.005159381	0.387526008	-0.022070631	0.42662698	0.25990414	0.745387645	0.07368736	0.384957586	-0.019669364	1.166828592	1.126040981	0.099291327	-0.0265179	0.392519064	1.545679559	0.045066415	0.045061388	0.060466492	0.04014092	0.308484181	0.206588491	0.036878036	-0.20147797	0.775737155	1.847238704	0.458430228	0.396919168	0.077412295	0.101448154	0.192144399	0.502982949	0.192143015	0.57014101	0.486084009	0.153253265	0.551201511	0.572227827	0.369360743	0.229888121	0.339335166	0.39117996	0.141548178	0.938021193	0.278504277	0.353555475	-0.046458873	0.75912687	0.560613916	2.228775638	0.874018721	0.427890864	0.509580003	0.43482491	0.843093426	0.093459813	3.867352756
Valine-C3:0	0.18846737	0.671492356	0.58280771	0.260901765	0.453418961	-0.631681101	0.22516345	0.345587031	0.660247954	0.367457131	0.465994391	0.124120886	0.565532292	0.731603755	0.470330831	0.203567179	0.603532845	0.166075242	0.530071369	0.313194935	0.593044871	0.268765245	0.625217796	0.121617074	0.894192108	-0.125111332	0.268485151	0.30022914	0.42217652	0.670395332	0.24276417	0.295213134	0.704709763	0.063464118	0.815725134	0.220680582	0.001510891	0.28474121	3.610834619	1.199344595	0.119933149	0.584724865	0.240321223	0.375787455	-0.429258599	0.299814405	0.329007191	0.252674636	0.036502307	0.048931576	0.419598493	0.024062133	-0.096587229	0.439283527	0.158417818	0.03668159	0.185875207	0.547993827	0.147343844	-0.32725858	0.256427859	1.465997439	0.892328537	2.505307806	0.507903444	-0.338198608	0.413577868	0.258462677	0.69297415	0.365396107	2.707490039
2-phenethylamine-C4:0	0	15.29613575	14.21698005	14.14338887	0	14.57221698	15.60587832	0	14.12780136	0	13.31768889	13.35363081	0	14.68764884	0	0	13.5461119	0	0	13.3779279	15.7536772	13.33138417	14.8346037	16.09651142	14.91840673	15.97391291	16.82264533	16.88700666	14.13434919	15.48504113	0	13.01169864	0	14.04643768	12.93586228	14.88250278	13.40550482	24.77564547	17.31136309	15.66201449	17.04261345	14.4298296	0	16.4218521	0	14.38104694	16.74878708	14.36826728	17.50119063	12.75201846	16.97385732	15.95924044	16.00547996	13.69707295	15.86990911	15.46804922	17.03711632	16.94912942	16.5240334	14.27121446	14.9975626	15.41309032	14.80978646	16.3322241	16.10811633	14.6174501	12.79027976	13.56730399	15.99255588	13.79439241	14.88588868
Cadaverine-C4:0	0	0	0	0	0	0	25.13068467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.76408702	0	0	0	0	0	15.59129954	0	0	0	0	0	0	0	0	0	0	20.46065272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.15231236	0	0	0	0	0	0	0	0	0
Glycine-C4:0	-3.992068563	-2.697216813	-3.144938136	-0.298494906	0.641195172	-4.007233305	1.198397718	-3.530925321	-3.233030673	-3.043388374	-0.908610721	-5.220221674	-3.29843968	-3.369280664	-3.619009874	-2.623245896	-2.316128962	-0.94793975	-0.542494874	-4.496404202	-5.944187376	-3.743525666	-3.825330524	-4.435873192	-2.981065851	-1.567233044	-1.145232211	-3.746042785	-4.164574439	-4.71718292	-3.393727754	-2.067950391	-0.402201285	-0.978050839	-2.658810914	-2.791871043	-2.529435606	-0.450880182	0.751075427	-2.574074101	-3.665280032	-4.768816023	-2.283291028	-4.742709645	-2.345915735	-4.097133583	-2.796820594	-1.486877878	-1.843747823	-2.893600081	-0.810166585	-2.350191375	-2.457747932	-2.835789742	-2.105162324	-0.704052595	-1.368538052	-0.994197732	-1.526683585	-0.903675379	-2.806160369	-4.21745024	-1.913648324	-1.810355319	-1.194516867	-1.411065754	-0.088658682	-1.217364841	0.897623919	-1.06823579	-0.765920818
Leucine-C4:0	0.165965284	3.158531334	0.785652537	-1.643920956	0.23945993	1.217207632	1.227606466	0.012781687	-0.157135938	0.40213577	0.613054523	-0.128592982	0.024328981	0.219991502	0.345096651	-0.117079389	0.628960777	-0.135654738	-0.006899242	-0.492695521	1.017552281	1.107436454	0.520851272	0.123672595	0.510719242	1.27504481	0.117607119	-0.042567457	0.782802339	1.381314401	0.207282045	0.337167978	-1.436365499	-0.057591675	-0.354215494	0.178265264	-0.059512116	0.204365785	0.732965626	1.092692577	1.086346786	-0.268986484	0.323671616	0.036115893	0.766907257	1.261307111	0.538068553	0.960600469	1.294715803	0.621651591	1.218717554	1.38443063	1.074876037	0.262684955	0.877018696	0.753752145	0.826393374	1.841474832	1.017313899	1.235513613	0.157189612	2.759042698	1.139913106	1.967051315	1.110813855	0.729955523	0.985644421	0.923748542	0.969977346	0.481197075	0.535447151
