filename	ATTRIBUTE_SampleType	ATTRIBUTE_ADDGroup
Plate15_61272_Soil_BH8_01_28198.mzXML	Soil	early
Plate8_61468_Skin_GF7_01_27400.mzXML	Skin	early
Plate15_61472_Soil_BC2_01_28120.mzXML	Soil	early
Plate6_61630_Skin_GD7_01_26754.mzXML	Skin	early
Plate16_61634_Soil_GD7_01_28263.mzXML	Soil	early
Plate4_60712_Skin_GD8_01_27253.mzXML	Skin	early
Plate4_60874_Skin_GB2_01_27217.mzXML	Skin	early
Plate14_60716_Soil_BC3_01_27866.mzXML	Soil	early
Plate14_60878_Soil_BA2_01_27838.mzXML	Soil	early
Plate5_45176_Skin_GH2_01_26667.mzXML	Skin	early
Plate5_54610_Skin_GA2_01_26561.mzXML	Skin	early
Plate17_45184_Soil_BF10_01_28429.mzXML	Soil	early
Plate18_45420_Soil_GC7_01_28535.mzXML	Soil	early
Plate18_54618_Soil_GE1_01_28556.mzXML	Soil	early
Plate1_43288_Skin_GA11_01_26123.mzXML	Skin	early
Plate1_43468_Skin_GF2_01_26274.mzXML	Skin	early
Plate10_43472_Soil_BA2_01_27709.mzXML	Soil	early
Plate11_43292_Soil_GB4_01_27608.mzXML	Soil	early
Plate4_63646_Skin_GC8_01_27239.mzXML	Skin	early
Plate14_63650_Soil_BE1_01_27892.mzXML	Soil	early
Plate5_61110_Skin_GD7_01_26612.mzXML	Skin	early
Plate14_61114_Soil_BG2_01_27921.mzXML	Soil	early
Plate4_64940_Skin_GA2_01_27203.mzXML	Skin	early
Plate15_64944_Soil_BC11_01_28130.mzXML	Soil	early
Plate1_25232_Skin_GB11_01_26134.mzXML	Skin	early
Plate10_25236_Soil_Rerun_BG8_01_27817.mzXML	Soil	early
Plate5_64184_Skin_GE10_01_26632.mzXML	Skin	early
Plate14_64188_Soil_BC10_01_27874.mzXML	Soil	early
Plate2_25828_Skin_GC5_01_26363.mzXML	Skin	early
Plate11_25832_Soil_GH9_01_27700.mzXML	Soil	early
Plate2_25432_Skin_GA5_01_26336.mzXML	Skin	early
Plate12_25436_Soil_GB4_01_27975.mzXML	Soil	early
Plate8_25702_Skin_GF4_01_27396.mzXML	Skin	early
Plate11_25706_Soil_GA10_01_27601.mzXML	Soil	early
Plate4_65140_Skin_GB6_01_27221.mzXML	Skin	early
Plate14_65144_Soil_BE9_01_27901.mzXML	Soil	early
Plate2_55366_Skin_GF1_01_26401.mzXML	Skin	early
Plate17_55370_Soil_BD1_01_28389.mzXML	Soil	early
Plate3_61830_Skin_GD7_01_26491.mzXML	Skin	early
Plate12_61834_Soil_GE8_01_28021.mzXML	Soil	early
Plate3_55566_Skin_GD2_01_26486.mzXML	Skin	early
Plate12_55570_Soil_GB9_01_27981.mzXML	Soil	early
Plate2_61974_Skin_GG4_01_26419.mzXML	Skin	early
Plate18_61978_Soil_GD7_01_28549.mzXML	Soil	early
Plate6_45826_Skin_GB8_01_26724.mzXML	Skin	active
Plate13_45830_Soil_GH3_01_27571.mzXML	Soil	active
Plate6_45522_Skin_GF9_01_26788.mzXML	Skin	active
Plate13_45526_Soil_GF5_01_27544.mzXML	Soil	active
Plate8_60532_Skin_GB10_01_27347.mzXML	Skin	early
Plate12_60536_Soil_GB11_01_27983.mzXML	Soil	early
Plate8_55186_Skin_Rerun_GC3_01_27437.mzXML	Skin	active
Plate15_55190_Soil_BC1_01_28119.mzXML	Soil	active
Plate5_45716_Skin_GH8_01_26674.mzXML	Skin	early
Plate15_45720_Soil_BA4_01_28094.mzXML	Soil	early
Plate1_43450_Skin_GA8_01_26107.mzXML	Skin	early
Plate12_43454_Soil_Rerun_GH11_01_28086.mzXML	Soil	early
Plate7_54824_Skin_GH2_01_27114.mzXML	Skin	active
Plate8_55026_Skin_GA7_01_27329.mzXML	Skin	active
Plate15_54828_Soil_BD11_01_28144.mzXML	Soil	active
Plate7_55040_Skin_GG1_01_27099.mzXML	Skin	active
Plate1_43650_Skin_GF4_01_26276.mzXML	Skin	early
Plate1_43844_Skin_GD8_01_26254.mzXML	Skin	early
Plate1_44044_Skin_GG9_01_26296.mzXML	Skin	early
Plate10_43654_Soil_BD7_01_27757.mzXML	Soil	early
Plate10_44048_Soil_BH5_01_27811.mzXML	Soil	early
Plate12_43848_Soil_GB2_01_27973.mzXML	Soil	early
Plate4_45394_Skin_GE2_01_27260.mzXML	Skin	early
Plate18_45402_Soil_GE5_01_28560.mzXML	Soil	early
Plate4_54630_Skin_GA8_01_27210.mzXML	Skin	early
Plate17_54638_Soil_BF6_01_28424.mzXML	Soil	early
Plate6_45196_Skin_GG8_01_26873.mzXML	Skin	early
Plate18_45204_Soil_GD11_01_28553.mzXML	Soil	early
Plate7_61650_Skin_GE6_01_27075.mzXML	Skin	early
Plate15_61654_Soil_BD3_01_28135.mzXML	Soil	early
Plate8_61288_Skin_GD11_01_27376.mzXML	Skin	early
Plate15_61292_Soil_BA10_01_28101.mzXML	Soil	early
Plate4_60894_Skin_GF5_01_27277.mzXML	Skin	early
Plate5_60694_Skin_GD3_01_26607.mzXML	Skin	early
Plate14_60698_Soil_BF10_01_27916.mzXML	Soil	early
Plate14_60898_Soil_BC2_01_27865.mzXML	Soil	early
Plate8_61450_Skin_GE4_01_27382.mzXML	Skin	early
Plate11_61454_Soil_GG4_01_27679.mzXML	Soil	early
Plate1_43270_Skin_GB6_01_26130.mzXML	Skin	early
Plate11_43274_Soil_GH5_01_27694.mzXML	Soil	early
Plate4_63666_Skin_GA9_01_27211.mzXML	Skin	early
Plate14_63670_Soil_BG3_01_27922.mzXML	Soil	early
Plate6_64960_Skin_GA9_01_26711.mzXML	Skin	early
Plate14_64964_Soil_BD4_01_27881.mzXML	Soil	early
Plate4_61052_Skin_GF9_01_27282.mzXML	Skin	early
Plate1_25252_Skin_GG1_01_26287.mzXML	Skin	early
Plate10_25256_Soil_BG1_01_27793.mzXML	Soil	early
Plate1_25810_Skin_GB1_01_26125.mzXML	Skin	early
Plate10_25814_Soil_BH3_01_27809.mzXML	Soil	early
Plate4_64204_Skin_GF2_01_27274.mzXML	Skin	early
Plate16_64208_Soil_GD2_01_28257.mzXML	Soil	early
Plate5_65122_Skin_GD10_01_26615.mzXML	Skin	early
Plate16_65126_Soil_GB10_01_28237.mzXML	Soil	early
Plate6_25414_Skin_GH10_01_26890.mzXML	Skin	early
Plate13_25418_Soil_GF9_01_27549.mzXML	Soil	early
Plate3_55386_Skin_GF3_01_26514.mzXML	Skin	early
Plate12_55390_Soil_GF3_01_28069.mzXML	Soil	early
Plate3_64384_Skin_GB5_01_26465.mzXML	Skin	early
Plate10_64388_Soil_Rerun_BE5_01_27770.mzXML	Soil	early
Plate8_25722_Skin_GH2_01_27423.mzXML	Skin	early
Plate10_25726_Soil_BB4_01_27725.mzXML	Soil	early
Plate6_60376_Skin_GB6_01_26721.mzXML	Skin	early
Plate12_60380_Soil_GF4_01_28029.mzXML	Soil	early
Plate3_64546_Skin_GB6_01_26466.mzXML	Skin	early
Plate10_64550_Soil_Rerun_BG5_01_27815.mzXML	Soil	early
Plate3_64746_Skin_GH11_01_26549.mzXML	Skin	early
Plate12_64750_Soil_GE10_01_28023.mzXML	Soil	early
Plate3_54504_Skin_GF4_01_26515.mzXML	Skin	early
Plate13_54508_Soil_GF8_01_27548.mzXML	Soil	early
Plate3_61988_Skin_GH8_01_26546.mzXML	Skin	early
Plate17_61992_Soil_BH9_01_28459.mzXML	Soil	early
Plate7_45846_Skin_GB3_01_27030.mzXML	Skin	active
Plate13_45850_Soil_GF2_01_27541.mzXML	Soil	active
Plate6_45536_Skin_GE3_01_26764.mzXML	Skin	active
Plate11_45540_Soil_GD8_01_27641.mzXML	Soil	active
Plate4_45736_Skin_GH10_01_27311.mzXML	Skin	early
Plate15_45740_Soil_BG3_01_28177.mzXML	Soil	early
Plate7_55206_Skin_GE11_01_27081.mzXML	Skin	active
Plate15_55210_Soil_BC9_01_28128.mzXML	Soil	active
Plate8_60514_Skin_GB8_01_27345.mzXML	Skin	active
Plate12_60518_Soil_GH4_01_28056.mzXML	Soil	active
Plate8_54844_Skin_GC6_01_27356.mzXML	Skin	active
Plate6_55060_Skin_GD8_01_26755.mzXML	Skin	active
Plate6_55042_Skin_Rerun_GE6_01_26903.mzXML	Skin	active
Plate15_54848_Soil_BC10_01_28129.mzXML	Soil	active
Plate2_43470_Skin_GD10_01_26383.mzXML	Skin	active
Plate10_43474_Soil_BD8_01_27758.mzXML	Soil	active
Plate1_43664_Skin_GG7_01_26294.mzXML	Skin	active
Plate1_43864_Skin_GH3_01_26303.mzXML	Skin	active
Plate1_44026_Skin_GE11_01_26270.mzXML	Skin	active
Plate13_43668_Soil_GB3_01_27487.mzXML	Soil	active
Plate13_43868_Soil_GB5_01_27489.mzXML	Soil	active
Plate13_44030_Soil_GA4_01_27474.mzXML	Soil	active
Plate7_61664_Skin_GH3_01_27115.mzXML	Skin	active
Plate15_61668_Soil_BH2_01_28191.mzXML	Soil	active
Plate4_60908_Skin_GE8_01_27267.mzXML	Skin	active
Plate7_60714_Skin_GA5_01_27018.mzXML	Skin	active
Plate14_60718_Soil_BA4_01_27840.mzXML	Soil	active
Plate14_60912_Soil_BD8_01_27886.mzXML	Soil	active
Plate4_45414_Skin_GH3_01_27303.mzXML	Skin	active
Plate18_45422_Soil_GE7_01_28563.mzXML	Soil	active
Plate4_45178_Skin_GH9_01_27310.mzXML	Skin	active
Plate4_54644_Skin_GC1_01_27230.mzXML	Skin	active
Plate17_45186_Soil_BE3_01_28406.mzXML	Soil	active
Plate17_54652_Soil_BE11_01_28416.mzXML	Soil	active
Plate9_61270_Skin_GB8_01_26960.mzXML	Skin	active
Plate15_61274_Soil_BF2_01_28162.mzXML	Soil	active
Plate8_61470_Skin_GD6_01_27370.mzXML	Skin	active
Plate15_61474_Soil_BC8_01_28127.mzXML	Soil	active
Plate4_64942_Skin_GC5_01_27234.mzXML	Skin	early
Plate13_64946_Soil_GH11_01_27580.mzXML	Soil	early
Plate4_61072_Skin_GE4_01_27262.mzXML	Skin	early
Plate14_61076_Soil_BE11_01_27903.mzXML	Soil	early
Plate1_43290_Skin_GG11_01_26298.mzXML	Skin	active
Plate10_43294_Soil_BC5_01_27740.mzXML	Soil	active
Plate5_63680_Skin_GG8_01_26660.mzXML	Skin	early
Plate15_63684_Soil_BE1_01_28147.mzXML	Soil	early
Plate2_25434_Skin_GD9_01_26382.mzXML	Skin	early
Plate10_25438_Soil_BD1_01_27750.mzXML	Soil	early
Plate5_65142_Skin_GG6_01_26657.mzXML	Skin	early
Plate14_65146_Soil_BG8_01_27929.mzXML	Soil	early
Plate2_25830_Skin_GB3_01_26346.mzXML	Skin	early
Plate12_25834_Soil_Rerun_GH2_01_28084.mzXML	Soil	early
Plate9_25234_Skin_Rerun_GA1_01_26937.mzXML	Skin	early
Plate12_25238_Soil_GC11_01_27996.mzXML	Soil	early
Plate4_64186_Skin_GF11_01_27284.mzXML	Skin	early
Plate16_64190_Soil_GD11_01_28267.mzXML	Soil	early
Plate2_64366_Skin_GH6_01_26436.mzXML	Skin	early
Plate12_64370_Soil_GF8_01_28034.mzXML	Soil	early
Plate3_60396_Skin_GA4_01_26451.mzXML	Skin	early
