filename	ATTRIBUTE_SampleType	ATTRIBUTE_ADDGroup
Plate7_60568_Skin_GC6_01_27047.mzXML	Skin	active
Plate13_60572_Soil_GH1_01_27569.mzXML	Soil	active
Plate16_45562_Soil_GE2_01_28271.mzXML	Soil	active
Plate6_54860_Skin_GA10_01_26712.mzXML	Skin	active
Plate6_55098_Skin_GB10_01_26726.mzXML	Skin	advanced
Plate11_54864_Soil_GC4_01_27622.mzXML	Soil	active
Plate6_55112_Skin_GD4_01_26749.mzXML	Skin	advanced
Plate1_43486_Skin_GA7_01_26120.mzXML	Skin	active
Plate10_43490_Soil_BC1_01_27736.mzXML	Soil	active
Plate5_45752_Skin_GH3_01_26668.mzXML	Skin	active
Plate14_45756_Soil_BC11_01_27875.mzXML	Soil	active
Plate4_45232_Skin_GD6_01_27250.mzXML	Skin	active
Plate4_54666_Skin_GD7_01_27252.mzXML	Skin	active
Plate17_54674_Soil_BG7_01_28441.mzXML	Soil	active
Plate18_45240_Soil_GD4_01_28545.mzXML	Soil	active
Plate5_45358_Skin_GA11_01_26572.mzXML	Skin	active
Plate18_45366_Soil_GE11_01_28567.mzXML	Soil	active
Plate1_43686_Skin_GA10_01_26122.mzXML	Skin	active
Plate1_43880_Skin_GA3_01_26116.mzXML	Skin	active
Plate1_44080_Skin_GB9_01_26108.mzXML	Skin	active
Plate13_43679_Soil_GA2_01_27472.mzXML	Soil	active
Plate13_43690_Soil_GA10_01_27481.mzXML	Soil	active
Plate13_43884_Soil_GH2_01_27570.mzXML	Soil	active
Plate13_44084_Soil_GA1_01_27471.mzXML	Soil	active
Plate1_43306_Skin_GE5_01_26263.mzXML	Skin	active
Plate16_43310_Soil_GG1_01_28299.mzXML	Soil	active
Plate8_55222_Skin_GD5_01_27369.mzXML	Skin	active
Plate16_55226_Soil_GF6_01_28290.mzXML	Soil	active
Plate7_61324_Skin_GD7_01_27063.mzXML	Skin	active
Plate16_61328_Soil_GC4_01_28244.mzXML	Soil	active
Plate6_61486_Skin_GA7_01_26708.mzXML	Skin	active
Plate11_61490_Soil_GF3_01_27663.mzXML	Soil	active
Plate5_61124_Skin_GF11_01_26648.mzXML	Skin	active
Plate14_61128_Soil_BA10_01_27847.mzXML	Soil	active
Plate6_61686_Skin_GH1_01_26879.mzXML	Skin	active
Plate15_61690_Soil_BE7_01_28154.mzXML	Soil	active
Plate4_60730_Skin_GG8_01_27295.mzXML	Skin	active
Plate5_60930_Skin_GD6_01_26610.mzXML	Skin	active
Plate14_60734_Soil_BG1_01_27920.mzXML	Soil	active
Plate14_60934_Soil_BF7_01_27913.mzXML	Soil	active
Plate2_64782_Skin_GH4_01_26434.mzXML	Skin	early
Plate12_64786_Soil_GA10_01_28067.mzXML	Soil	early
Plate5_64240_Skin_GB9_01_26586.mzXML	Skin	active
Plate12_64244_Soil_GE9_01_28022.mzXML	Soil	active
Plate2_64582_Skin_GF4_01_26404.mzXML	Skin	early
Plate3_64420_Skin_GB11_01_26471.mzXML	Skin	early
Plate10_64424_Soil_BA7_01_27715.mzXML	Soil	early
Plate10_64586_Soil_BF2_01_27780.mzXML	Soil	early
Plate1_25846_Skin_GH11_01_26311.mzXML	Skin	active
Plate10_25858_Soil_BD4_01_27753.mzXML	Soil	active
Plate11_25850_Soil_GE4_01_27650.mzXML	Soil	active
Plate4_65158_Skin_GD2_01_27246.mzXML	Skin	active
Plate14_65162_Soil_BH1_01_27935.mzXML	Soil	active
Plate9_25758_Skin_GD11_01_26996.mzXML	Skin	early
Plate11_25762_Soil_GA5_01_27595.mzXML	Soil	early
Plate5_64996_Skin_GB8_01_26585.mzXML	Skin	active
Plate14_65000_Soil_BB1_01_27851.mzXML	Soil	active
Plate2_25450_Skin_GE1_01_26387.mzXML	Skin	active
Plate10_25454_Soil_BE7_01_27772.mzXML	Soil	active
Plate3_55422_Skin_GG4_01_26529.mzXML	Skin	early
Plate18_55426_Soil_GA1_01_28499.mzXML	Soil	early
Plate4_63702_Skin_GE9_01_27268.mzXML	Skin	active
Plate14_63706_Soil_BF2_01_27907.mzXML	Soil	active
Plate2_25288_Skin_GC3_01_26361.mzXML	Skin	active
Plate11_25281_Soil_GD2_01_27634.mzXML	Soil	active
Plate11_25292_Soil_GE9_01_27656.mzXML	Soil	active
Plate2_55589_Skin_GH8_01_26439.mzXML	Skin	early
Plate12_55593_Soil_GD2_01_28000.mzXML	Soil	early
Plate2_63601_Skin_GE6_01_26392.mzXML	Skin	early
Plate17_63595_Soil_BC5_01_28379.mzXML	Soil	early
Plate7_60550_Skin_GE9_01_27079.mzXML	Skin	active
Plate12_60554_Soil_Rerun_GB10_01_28082.mzXML	Soil	active
Plate6_45882_Skin_GF6_01_26784.mzXML	Skin	active
Plate12_45886_Soil_GH1_01_28053.mzXML	Soil	active
Plate4_45772_Skin_GB8_01_27224.mzXML	Skin	active
Plate15_45776_Soil_BB2_01_28106.mzXML	Soil	active
Plate2_43326_Skin_GC2_01_26360.mzXML	Skin	active
Plate16_43330_Soil_Rerun_GH5_01_28330.mzXML	Soil	active
Plate6_54880_Skin_GC7_01_26738.mzXML	Skin	active
Plate9_55132_Skin_Rerun_GB3_01_27003.mzXML	Skin	advanced
Plate6_55114_Skin_GA2_01_26702.mzXML	Skin	advanced
Plate17_54884_Soil_BA4_01_28349.mzXML	Soil	active
Plate6_55242_Skin_Rerun_GF1_01_26779.mzXML	Skin	advanced
Plate16_55246_Soil_GH8_01_28321.mzXML	Soil	advanced
Plate5_45214_Skin_GH10_01_26676.mzXML	Skin	active
Plate17_45222_Soil_BG10_01_28446.mzXML	Soil	active
Plate5_45378_Skin_GF10_01_26647.mzXML	Skin	active
Plate5_54680_Skin_GB6_01_26580.mzXML	Skin	active
Plate12_54688_Soil_GG10_01_28070.mzXML	Soil	active
Plate17_45386_Soil_BG4_01_28436.mzXML	Soil	active
Plate8_43700_Skin_GH1_01_27422.mzXML	Skin	active
Plate8_43900_Skin_GG8_01_27415.mzXML	Skin	active
Plate9_44062_Skin_rerun_GC1_01_26968.mzXML	Skin	active
Plate10_43704_Soil_Rerun_BG4_01_27814.mzXML	Soil	active
Plate10_43904_Soil_BE4_01_27767.mzXML	Soil	active
Plate11_44066_Soil_GH1_01_27690.mzXML	Soil	active
Plate6_61306_Skin_GC3_01_26733.mzXML	Skin	active
Plate12_61310_Soil_GF9_01_28035.mzXML	Soil	active
Plate6_65178_Skin_Rerun_GD9_01_26900.mzXML	Skin	active
Plate14_65182_Soil_BH5_01_27939.mzXML	Soil	active
Plate6_61506_Skin_GD6_01_26751.mzXML	Skin	active
Plate16_61510_Soil_GD5_01_28260.mzXML	Soil	active
Plate1_43506_Skin_GB7_01_26131.mzXML	Skin	active
Plate10_43510_Soil_BE8_01_27773.mzXML	Soil	active
Plate4_60944_Skin_GF4_01_27276.mzXML	Skin	active
Plate5_60750_Skin_GC10_01_26601.mzXML	Skin	active
Plate14_60754_Soil_BB11_01_27862.mzXML	Soil	active
Plate14_60948_Soil_BB8_01_27859.mzXML	Soil	active
Plate6_61700_Skin_GC11_01_26742.mzXML	Skin	active
Plate10_61704_Soil_BB1_01_27722.mzXML	Soil	active
Plate6_61144_Skin_GF11_01_26790.mzXML	Skin	active
Plate16_61148_Soil_GD8_01_28264.mzXML	Soil	active
Plate3_64402_Skin_GD5_01_26489.mzXML	Skin	early
Plate11_64406_Soil_GD6_01_27638.mzXML	Soil	early
Plate2_64602_Skin_GG5_01_26420.mzXML	Skin	early
Plate2_64796_Skin_GE5_01_26391.mzXML	Skin	early
Plate12_64606_Soil_GB7_01_27979.mzXML	Soil	early
Plate12_64800_Soil_GC3_01_27988.mzXML	Soil	early
Plate5_64222_Skin_GF9_01_26646.mzXML	Skin	active
Plate16_64226_Soil_GC2_01_28242.mzXML	Soil	active
Plate9_25772_Skin_GA9_01_26947.mzXML	Skin	active
Plate13_25776_Soil_GH7_01_27576.mzXML	Soil	active
Plate1_25866_Skin_GF1_01_26273.mzXML	Skin	active
Plate10_25870_Soil_BF10_01_27789.mzXML	Soil	active
Plate1_25270_Skin_GD11_01_26256.mzXML	Skin	active
Plate10_25274_Soil_BH11_01_27822.mzXML	Soil	active
Plate3_62024_Skin_GD6_01_26490.mzXML	Skin	early
Plate18_62028_Soil_GB9_01_28523.mzXML	Soil	early
Plate2_25470_Skin_GD4_01_26376.mzXML	Skin	active
Plate11_25474_Soil_GB2_01_27606.mzXML	Soil	active
Plate5_63716_Skin_Rerun_GH1_01_26684.mzXML	Skin	active
Plate14_63720_Soil_BF9_01_27915.mzXML	Soil	active
Plate5_64978_Skin_GH9_01_26675.mzXML	Skin	active
Plate14_64982_Soil_BA9_01_27846.mzXML	Soil	active
Plate3_55436_Skin_GG11_01_26537.mzXML	Skin	early
Plate18_55440_Soil_GD10_01_28552.mzXML	Soil	early
Plate3_55586_Skin_Rerun_GF11_01_26550.mzXML	Skin	early
Plate17_55590_Soil_BC1_01_28375.mzXML	Soil	early
Plate3_61844_Skin_GH3_01_26541.mzXML	Skin	early
Plate17_61848_Soil_BH3_01_28451.mzXML	Soil	early
Plate6_45896_Skin_GB2_01_26717.mzXML	Skin	advanced
Plate13_45900_Soil_GD10_01_27522.mzXML	Soil	advanced
Plate8_60570_Skin_GB9_01_27346.mzXML	Skin	active
Plate11_60574_Soil_GA2_01_27592.mzXML	Soil	active
Plate5_45754_Skin_Rerun_GA4_01_26680.mzXML	Skin	active
Plate14_45758_Soil_BD3_01_27880.mzXML	Soil	active
Plate8_55256_Skin_GC1_01_27351.mzXML	Skin	advanced
Plate16_55260_Soil_GA10_01_28223.mzXML	Soil	advanced
Plate7_55134_Skin_GH8_01_27121.mzXML	Skin	advanced
Plate7_54862_Skin_GF7_01_27091.mzXML	Skin	advanced
Plate7_55148_Skin_GE3_01_27072.mzXML	Skin	advanced
Plate17_54866_Soil_BA2_01_28347.mzXML	Soil	advanced
Plate6_61326_Skin_GG10_01_26875.mzXML	Skin	active
Plate11_61330_Soil_GB3_01_27607.mzXML	Soil	active
Plate4_45234_Skin_GF8_01_27281.mzXML	Skin	active
Plate4_45428_Skin_GA3_01_27204.mzXML	Skin	active
Plate7_54708_Skin_GF11_01_27095.mzXML	Skin	active
Plate11_54700_Soil_GD7_01_27640.mzXML	Soil	active
Plate18_45242_Soil_GD2_01_28543.mzXML	Soil	active
Plate18_45436_Soil_GE8_01_28564.mzXML	Soil	active
Plate6_61520_Skin_GG11_01_26876.mzXML	Skin	active
Plate16_61524_Soil_GA9_01_28222.mzXML	Soil	active
Plate2_43340_Skin_GC7_01_26366.mzXML	Skin	active
Plate16_43344_Soil_GG6_01_28304.mzXML	Soil	active
Plate8_43882_Skin_GE1_01_27379.mzXML	Skin	active
Plate8_44082_Skin_GF2_01_27394.mzXML	Skin	active
Plate9_43720_Skin_GC8_01_26977.mzXML	Skin	active
Plate10_43724_Soil_BC3_01_27738.mzXML	Soil	active
Plate10_43886_Soil_BA3_01_27710.mzXML	Soil	active
Plate11_44086_Soil_GG5_01_27680.mzXML	Soil	active
Plate6_64242_Skin_GH11_01_26891.mzXML	Skin	active
Plate4_60764_Skin_GA10_01_27212.mzXML	Skin	active
Plate4_60964_Skin_GF1_01_27273.mzXML	Skin	active
Plate15_60768_Soil_Rerun_BH9_01_28200.mzXML	Soil	active
Plate15_60968_Soil_BG11_01_28186.mzXML	Soil	active
Plate6_61720_Skin_GC6_01_26736.mzXML	Skin	active
Plate16_61724_Soil_GB1_01_28227.mzXML	Soil	active
Plate5_45069_Skin_GG11_01_26663.mzXML	Skin	active
Plate3_64422_Skin_GG5_01_26530.mzXML	Skin	active
Plate12_64426_Soil_GD11_01_28010.mzXML	Soil	active
Plate2_43520_Skin_GA9_01_26340.mzXML	Skin	active
Plate10_43524_Soil_BE11_01_27776.mzXML	Soil	active
Plate3_64616_Skin_GC9_01_26481.mzXML	Skin	active
Plate10_64620_Soil_BF1_01_27779.mzXML	Soil	active
Plate3_64816_Skin_GD1_01_26485.mzXML	Skin	active
Plate10_64820_Soil_BB7_01_27729.mzXML	Soil	active
Plate1_25880_Skin_GH7_01_26307.mzXML	Skin	active
Plate12_25884_Soil_GH10_01_28063.mzXML	Soil	active
Plate9_25792_Skin_GA6_01_26942.mzXML	Skin	active
Plate11_25796_Soil_GD10_01_27643.mzXML	Soil	active
Plate7_61126_Skin_GD3_01_27058.mzXML	Skin	active
Plate14_61130_Soil_BC7_01_27871.mzXML	Soil	active
Plate9_25290_Skin_GC7_01_26976.mzXML	Skin	active
Plate10_25294_Soil_BB10_01_27732.mzXML	Soil	active
Plate9_25484_Skin_GB2_01_26953.mzXML	Skin	active
Plate11_25488_Soil_GE7_01_27654.mzXML	Soil	active
Plate4_63736_Skin_GC11_01_27242.mzXML	Skin	active
Plate15_63740_Soil_BB5_01_28109.mzXML	Soil	active
Plate4_64998_Skin_GF3_01_27275.mzXML	Skin	active
Plate14_65002_Soil_BF1_01_27906.mzXML	Soil	active
Plate3_62044_Skin_GC8_01_26480.mzXML	Skin	early
Plate10_62048_Soil_BH1_01_27807.mzXML	Soil	early
Plate3_55456_Skin_GG7_01_26533.mzXML	Skin	early
Plate17_55460_Soil_BF4_01_28422.mzXML	Soil	early
Plate2_61864_Skin_GE9_01_26396.mzXML	Skin	early
Plate18_61868_Soil_GE3_01_28558.mzXML	Soil	early
Plate3_45071_Skin_GF8_01_26520.mzXML	Skin	early
Plate17_45075_Soil_BH7_01_28457.mzXML	Soil	early
Plate6_45774_Skin_GA5_01_26705.mzXML	Skin	active
Plate15_45778_Soil_BA5_01_28095.mzXML	Soil	active
Plate7_45574_Skin_GA1_01_27014.mzXML	Skin	advanced
Plate13_45578_Soil_GG8_01_27562.mzXML	Soil	advanced
Plate6_45916_Skin_GA8_01_26709.mzXML	Skin	advanced
Plate13_45920_Soil_GC3_01_27501.mzXML	Soil	advanced
Plate8_60584_Skin_GA3_01_27324.mzXML	Skin	advanced
Plate12_60588_Soil_GA8_01_27967.mzXML	Soil	advanced
Plate4_45248_Skin_GF6_01_27278.mzXML	Skin	active
Plate4_45448_Skin_GE10_01_27269.mzXML	Skin	active
Plate17_45456_Soil_BE1_01_28404.mzXML	Soil	active
Plate18_45256_Soil_GA8_01_28508.mzXML	Soil	active
Plate6_54682_Skin_GE9_01_26772.mzXML	Skin	active
Plate17_54690_Soil_BD10_01_28400.mzXML	Soil	active
Plate6_54882_Skin_GD11_01_26758.mzXML	Skin	advanced
Plate8_55168_Skin_GB1_01_27336.mzXML	Skin	advanced
Plate12_54886_Soil_GA11_01_27969.mzXML	Soil	advanced
Plate8_55150_Skin_GC11_01_27362.mzXML	Skin	advanced
Plate8_55276_Skin_GA1_01_27322.mzXML	Skin	advanced
Plate15_55280_Soil_BB1_01_28105.mzXML	Soil	advanced
Plate7_61340_Skin_GA9_01_27023.mzXML	Skin	active
Plate13_61344_Soil_GB10_01_27495.mzXML	Soil	active
Plate7_61540_Skin_GC4_01_27045.mzXML	Skin	active
Plate11_61544_Soil_GC6_01_27624.mzXML	Soil	active
Plate8_61702_Skin_GD10_01_27375.mzXML	Skin	active
Plate12_61706_Soil_GG3_01_28042.mzXML	Soil	active
Plate8_43702_Skin_GG3_01_27409.mzXML	Skin	active
Plate8_43902_Skin_GH6_01_27427.mzXML	Skin	active
Plate9_44096_Skin_GD8_01_26992.mzXML	Skin	active
Plate10_43706_Soil_BB2_01_27723.mzXML	Soil	active
Plate10_43906_Soil_BE6_01_27771.mzXML	Soil	active
Plate10_44100_Soil_BG11_01_27804.mzXML	Soil	active
Plate1_25900_Skin_GG2_01_26288.mzXML	Skin	active
Plate10_25904_Soil_BB5_01_27726.mzXML	Soil	active
Plate5_64256_Skin_GG4_01_26655.mzXML	Skin	active
Plate14_64260_Soil_BE5_01_27896.mzXML	Soil	active
Plate1_43360_Skin_GE3_01_26261.mzXML	Skin	active
Plate17_43364_Soil_BB5_01_28364.mzXML	Soil	active
Plate4_65212_Skin_GC7_01_27237.mzXML	Skin	active
Plate14_65216_Soil_BB4_01_27854.mzXML	Soil	active
Plate4_60784_Skin_GE11_01_27270.mzXML	Skin	active
Plate4_60946_Skin_GG3_01_27289.mzXML	Skin	active
Plate14_60788_Soil_BE7_01_27899.mzXML	Soil	active
Plate14_60950_Soil_BG9_01_27930.mzXML	Soil	active
Plate2_64798_Skin_GH7_01_26438.mzXML	Skin	active
Plate3_64436_Skin_GA5_01_26452.mzXML	Skin	active
Plate12_64802_Soil_GE3_01_28015.mzXML	Soil	active
Plate13_64440_Soil_GC2_01_27500.mzXML	Soil	active
Plate2_64636_Skin_GF10_01_26411.mzXML	Skin	active
Plate12_64640_Soil_GA4_01_27962.mzXML	Soil	active
Plate1_43540_Skin_GD5_01_26251.mzXML	Skin	active
Plate10_43544_Soil_BF7_01_27786.mzXML	Soil	active
Plate1_25774_Skin_GB10_01_26314.mzXML	Skin	active
Plate10_25778_Soil_BD10_01_27760.mzXML	Soil	active
Plate4_61146_Skin_GH5_01_27305.mzXML	Skin	active
Plate14_61150_Soil_BG6_01_27925.mzXML	Soil	active
Plate8_25304_Skin_GE8_01_27387.mzXML	Skin	active
Plate11_25308_Soil_GF7_01_27669.mzXML	Soil	active
Plate5_65012_Skin_GB10_01_26587.mzXML	Skin	active
Plate15_65016_Soil_BB11_01_28116.mzXML	Soil	active
Plate9_25504_Skin_GA8_01_26946.mzXML	Skin	active
Plate10_25508_Soil_BF8_01_27787.mzXML	Soil	active
Plate2_62026_Skin_GG11_01_26427.mzXML	Skin	early
Plate17_62030_Soil_BH5_01_28453.mzXML	Soil	early
Plate5_63718_Skin_GG7_01_26659.mzXML	Skin	active
Plate15_45065_Soil_BG5_01_28179.mzXML	Soil	active
Plate2_55438_Skin_GE10_01_26397.mzXML	Skin	early
Plate18_55442_Soil_GA2_01_28500.mzXML	Soil	early
Plate3_61846_Skin_GC2_01_26474.mzXML	Skin	early
Plate18_61850_Soil_GD8_01_28550.mzXML	Soil	early
Plate2_45090_Skin_GE7_01_26394.mzXML	Skin	early
Plate13_45094_Soil_GB4_01_27488.mzXML	Soil	early
Plate8_45594_Skin_GB4_01_27340.mzXML	Skin	advanced
Plate13_45598_Soil_GG9_01_27563.mzXML	Soil	advanced
Plate6_45788_Skin_GE2_01_26763.mzXML	Skin	active
Plate16_45792_Soil_GB9_01_28236.mzXML	Soil	active
Plate1_43722_Skin_GB8_01_26132.mzXML	Skin	advanced
Plate1_43916_Skin_GD6_01_26252.mzXML	Skin	advanced
Plate1_44116_Skin_GD9_01_26255.mzXML	Skin	advanced
Plate16_43920_Soil_GH1_01_28313.mzXML	Soil	advanced
Plate16_44120_Soil_GF10_01_28295.mzXML	Soil	advanced
Plate17_43726_Soil_BB4_01_28363.mzXML	Soil	advanced
Plate8_60604_Skin_GC2_01_27352.mzXML	Skin	advanced
Plate11_60608_Soil_GD9_01_27642.mzXML	Soil	advanced
Plate4_45268_Skin_GF7_01_27280.mzXML	Skin	advanced
Plate18_45276_Soil_GC5_01_28532.mzXML	Soil	advanced
Plate6_45898_Skin_GB3_01_26718.mzXML	Skin	advanced
Plate12_45902_Soil_GH6_01_28058.mzXML	Soil	advanced
Plate6_54896_Skin_GH9_01_26889.mzXML	Skin	advanced
Plate8_55170_Skin_GB6_01_27342.mzXML	Skin	advanced
Plate13_54900_Soil_GE8_01_27534.mzXML	Soil	advanced
Plate13_54994_Soil_GF4_01_27543.mzXML	Soil	Day0
Plate6_55258_Skin_GH2_01_26880.mzXML	Skin	advanced
Plate17_55262_Soil_BA7_01_28353.mzXML	Soil	advanced
Plate8_61722_Skin_GE6_01_27384.mzXML	Skin	active
Plate10_61726_Soil_BA5_01_27712.mzXML	Soil	active
Plate4_54702_Skin_GE6_01_27264.mzXML	Skin	advanced
Plate5_45430_Skin_GB5_01_26579.mzXML	Skin	advanced
Plate12_54710_Soil_GG9_01_28049.mzXML	Soil	advanced
Plate18_45438_Soil_GA4_01_28502.mzXML	Soil	advanced
Plate6_61360_Skin_GF3_01_26781.mzXML	Skin	active
Plate11_61364_Soil_GC2_01_27620.mzXML	Soil	active
Plate6_61522_Skin_GC1_01_26731.mzXML	Skin	active
Plate10_61526_Soil_BA9_01_27717.mzXML	Soil	active
Plate4_60766_Skin_GB11_01_27227.mzXML	Skin	active
Plate4_60966_Skin_GD3_01_27247.mzXML	Skin	active
Plate14_60970_Soil_BA8_01_27845.mzXML	Soil	active
Plate16_60770_Soil_GB8_01_28235.mzXML	Soil	active
Plate5_64276_Skin_GF8_01_26645.mzXML	Skin	active
Plate14_64280_Soil_BD11_01_27889.mzXML	Soil	active
Plate1_25882_Skin_GG6_01_26292.mzXML	Skin	active
Plate11_25886_Soil_GG7_01_27683.mzXML	Soil	active
Plate2_43342_Skin_GB1_01_26344.mzXML	Skin	active
Plate16_43346_Soil_GF5_01_28289.mzXML	Soil	active
Plate6_65194_Skin_GH7_01_26887.mzXML	Skin	active
Plate15_65198_Soil_BG2_01_28176.mzXML	Soil	active
Plate3_64456_Skin_GB4_01_26464.mzXML	Skin	active
Plate3_64618_Skin_GE2_01_26498.mzXML	Skin	active
Plate11_64460_Soil_GG11_01_27687.mzXML	Soil	active
Plate12_64622_Soil_GD7_01_28080.mzXML	Soil	active
Plate3_64818_Skin_GC3_01_26475.mzXML	Skin	active
Plate10_64822_Soil_BD3_01_27752.mzXML	Soil	active
Plate1_25794_Skin_GF9_01_26282.mzXML	Skin	active
Plate11_25798_Soil_GB11_01_27616.mzXML	Soil	active
Plate1_43522_Skin_GD2_01_26322.mzXML	Skin	active
Plate10_43526_Soil_BF9_01_27788.mzXML	Soil	active
Plate8_25486_Skin_GF6_01_27399.mzXML	Skin	active
Plate11_25490_Soil_GA8_01_27599.mzXML	Soil	active
Plate4_61160_Skin_GC4_01_27233.mzXML	Skin	active
Plate14_61164_Soil_BE6_01_27897.mzXML	Soil	active
Plate9_25324_Skin_GD6_01_26989.mzXML	Skin	active
Plate11_25328_Soil_Rerun_GH3_01_27697.mzXML	Soil	active
Plate5_65032_Skin_Rerun_GE1_01_26622.mzXML	Skin	active
Plate14_65036_Soil_BB5_01_27855.mzXML	Soil	active
Plate5_63738_Skin_GC5_01_26595.mzXML	Skin	active
Plate14_63742_Soil_BG10_01_27931.mzXML	Soil	active
Plate3_62046_Skin_GC7_01_26479.mzXML	Skin	early
Plate17_62050_Soil_BF9_01_28428.mzXML	Soil	early
Plate2_61866_Skin_GH2_01_26432.mzXML	Skin	early
Plate12_61870_Soil_GG1_01_28040.mzXML	Soil	early
Plate2_55458_Skin_GF3_01_26403.mzXML	Skin	early
Plate17_55462_Soil_BE7_01_28412.mzXML	Soil	early
Plate2_60404_Skin_GE2_01_26388.mzXML	Skin	early
Plate17_60408_Soil_BF8_01_28427.mzXML	Soil	early
Plate1_44098_Skin_GD1_01_26321.mzXML	Skin	advanced
Plate2_43736_Skin_GC8_01_26367.mzXML	Skin	advanced
Plate2_43936_Skin_GD3_01_26375.mzXML	Skin	advanced
Plate10_43940_Soil_BA1_01_27708.mzXML	Soil	advanced
Plate12_44102_Soil_GD4_01_28002.mzXML	Soil	advanced
Plate16_43740_Soil_GG3_01_28301.mzXML	Soil	advanced
Plate8_45608_Skin_GC7_01_27358.mzXML	Skin	advanced
Plate11_45612_Soil_GD4_01_27636.mzXML	Soil	advanced
Plate5_45808_Skin_GC11_01_26602.mzXML	Skin	active
Plate15_45812_Soil_BE4_01_28150.mzXML	Soil	active
Plate6_45918_Skin_GD5_01_26750.mzXML	Skin	advanced
Plate16_45922_Soil_GE9_01_28279.mzXML	Soil	advanced
Plate7_60586_Skin_GC8_01_27050.mzXML	Skin	advanced
Plate11_60590_Soil_GG9_01_27685.mzXML	Soil	advanced
Plate7_54916_Skin_GH9_01_27122.mzXML	Skin	advanced
Plate16_55008_Soil_GH3_01_28315.mzXML	Soil	early
Plate15_54920_Soil_BA1_01_28091.mzXML	Soil	advanced
Plate15_55028_Soil_BF5_01_28165.mzXML	Soil	active
Plate8_61342_Skin_GH7_01_27429.mzXML	Skin	advanced
Plate15_61346_Soil_BH3_01_28192.mzXML	Soil	advanced
Plate9_61736_Skin_GC5_01_26973.mzXML	Skin	advanced
Plate15_61740_Soil_BF3_01_28163.mzXML	Soil	advanced
Plate6_61542_Skin_GE11_01_26774.mzXML	Skin	advanced
Plate11_61546_Soil_GC3_01_27621.mzXML	Soil	advanced
Plate4_45250_Skin_GG9_01_27296.mzXML	Skin	advanced
Plate17_45258_Soil_BD2_01_28390.mzXML	Soil	advanced
Plate5_54716_Skin_GE9_01_26631.mzXML	Skin	advanced
Plate18_54724_Soil_GB4_01_28517.mzXML	Soil	advanced
Plate7_45450_Skin_GD10_01_27066.mzXML	Skin	advanced
Plate17_45458_Soil_BG6_01_28438.mzXML	Soil	advanced
Plate4_60786_Skin_GD9_01_27254.mzXML	Skin	advanced
Plate5_60980_Skin_GC6_01_26596.mzXML	Skin	advanced
Plate14_60984_Soil_BG11_01_27932.mzXML	Soil	advanced
Plate15_60790_Soil_BF7_01_28168.mzXML	Soil	advanced
Plate6_64258_Skin_GB4_01_26719.mzXML	Skin	active
Plate14_64262_Soil_BF4_01_27909.mzXML	Soil	active
Plate2_43542_Skin_GD8_01_26381.mzXML	Skin	advanced
Plate13_43546_Soil_GC6_01_27504.mzXML	Soil	advanced
Plate8_55278_Skin_GA6_01_27328.mzXML	Skin	advanced
Plate15_55282_Soil_BA2_01_28092.mzXML	Soil	advanced
Plate1_43362_Skin_GH9_01_26309.mzXML	Skin	advanced
Plate13_43366_Soil_GA3_01_27473.mzXML	Soil	advanced
Plate2_25592_Skin_GB2_01_26345.mzXML	Skin	active
Plate11_25596_Soil_GD5_01_27637.mzXML	Soil	active
Plate1_25902_Skin_GH4_01_26304.mzXML	Skin	active
Plate13_25906_Soil_GC1_01_27499.mzXML	Soil	active
Plate7_65014_Skin_GH4_01_27116.mzXML	Skin	active
Plate14_65018_Soil_BB9_01_27860.mzXML	Soil	active
Plate2_64638_Skin_GE11_01_26398.mzXML	Skin	active
Plate2_64832_Skin_GG1_01_26416.mzXML	Skin	active
Plate10_64836_Soil_BF11_01_27790.mzXML	Soil	active
Plate12_64642_Soil_GD10_01_28009.mzXML	Soil	active
Plate2_64438_Skin_GG2_01_26417.mzXML	Skin	active
Plate12_64442_Soil_GC6_01_28068.mzXML	Soil	active
Plate8_25306_Skin_GD9_01_27374.mzXML	Skin	active
Plate11_25310_Soil_GD11_01_27644.mzXML	Soil	active
Plate5_61180_Skin_Rerun_GC4_01_26681.mzXML	Skin	active
Plate15_61184_Soil_BE8_01_28155.mzXML	Soil	active
Plate15_63756_Soil_BE2_01_28148.mzXML	Soil	active
Plate9_25506_Skin_GC4_01_26972.mzXML	Skin	active
Plate11_25510_Soil_GG3_01_27678.mzXML	Soil	active
Plate5_65214_Skin_GG9_01_26661.mzXML	Skin	active
Plate16_65218_Soil_Rerun_GA11_01_28327.mzXML	Soil	active
Plate2_64076_Skin_GF6_01_26406.mzXML	Skin	early
Plate17_64080_Soil_BC6_01_28380.mzXML	Soil	early
Plate2_61880_Skin_GF5_01_26405.mzXML	Skin	early
Plate18_61884_Soil_GC4_01_28531.mzXML	Soil	early
Plate3_55472_Skin_GF10_01_26522.mzXML	Skin	early
Plate17_55476_Soil_BG2_01_28434.mzXML	Soil	early
Plate3_60424_Skin_GA7_01_26454.mzXML	Skin	early
Plate17_60428_Soil_BE8_01_28413.mzXML	Soil	early
Plate4_45790_Skin_GH6_01_27306.mzXML	Skin	active
Plate15_45794_Soil_BD10_01_28143.mzXML	Soil	active
Plate8_45932_Skin_GB7_01_27344.mzXML	Skin	advanced
Plate13_45936_Soil_GG4_01_27557.mzXML	Soil	advanced
Plate1_43918_Skin_GD10_01_26111.mzXML	Skin	advanced
