filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Blank_PlateA_RowE_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowE_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowF_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowF_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowF_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowG_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowG_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowG_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowH_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowH_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateA_RowH_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowA_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowA_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowA_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowB_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowB_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowB_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowC_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowC_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowC_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowD_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowD_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowD_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowE_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowE_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowE_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowF_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowF_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowF_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowG_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowG_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowG_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowH_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowH_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateB_RowH_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowA_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowA_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowA_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowB_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowB_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowB_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowC_1_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowC_2_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_PlateC_RowC_3_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
