filename	ATTRIBUTE_diet	ATTRIBUTE_antibiotics_YN
SS32_RC8_01_7341.mzML	HFD	No
SS33_RC9_01_7342.mzML	HFD	No
SS34_RC10_01_7343.mzML	HFD	No
SS35_RC11_01_7344.mzML	HFD	No
SS36_RC12_01_7345.mzML	HFD	No
SS37_RD1_01_7347.mzML	HFD	No
SS38_RD2_01_7348.mzML	HFD	No
SS39_RD3_01_7349.mzML	HFD	No
SS40_RD4_01_7350.mzML	HFD	No
SS41_RD5_01_7351.mzML	HFD	No
SS42_RD6_01_7352.mzML	HFD	No
SS43_RD7_01_7353.mzML	HFD	No
SS44_RD8_01_7355.mzML	HFD	No
SS45_RD9_01_7356.mzML	HFD	No
SS46_RD10_01_7357.mzML	HFD	No
SS47_RD11_01_7358.mzML	HFD	No
SS48_RD12_01_7359.mzML	HFD	No
SS49_RE1_01_7361.mzML	HFD	No
SS64_RF4_01_7377.mzML	HFD	No
SS65_RF5_01_7378.mzML	HFD	No
SS66_RF6_01_7379.mzML	HFD	No
SS67_RF7_01_7380.mzML	HFD	No
SS68_RF8_01_7381.mzML	HFD	No
SS75_RG3_01_7390.mzML	HFD	No
SS76_RG4_01_7391.mzML	HFD	No
SS77_RG5_01_7392.mzML	HFD	No
SS78_RG6_01_7393.mzML	HFD	No
SS79_RG7_01_7394.mzML	HFD	No
SS80_RG8_01_7395.mzML	HFD	No
SS81_RG9_01_7396.mzML	HFD	No
SS82_RG10_01_7397.mzML	HFD	No
SS83_RG11_01_7398.mzML	HFD	No
SS92_RH8_01_7409.mzML	HFD	No
SS93_RH9_01_7410.mzML	HFD	No
SS94_RA1_01_7418.mzML	HFD	No
SS95_RA2_01_7419.mzML	HFD	No
SS96_RA3_01_7420.mzML	HFD	No
SS97_RA4_01_7421.mzML	HFD	No
SS98_RA5_01_7422.mzML	HFD	No
SS99_RA6_01_7423.mzML	HFD	No
SS100_RA7_01_7424.mzML	HFD	No
SS101_RA8_01_7425.mzML	HFD	No
SS102_RA9_01_7426.mzML	HFD	No
SS107_RB2_01_7432.mzML	HFD	No
SS108_RB3_01_7433.mzML	HFD	No
SS109_RB4_01_7434.mzML	HFD	No
SS110_RB5_01_7435.mzML	HFD	No
SS111_RB6_01_7436.mzML	HFD	No
SS112_RB7_01_7437.mzML	HFD	No
SS113_RB8_01_7438.mzML	HFD	No
SS114_RB9_01_7439.mzML	HFD	No
SS115_RB10_01_7440.mzML	HFD	No
SS116_RB11_01_7441.mzML	HFD	No
SS117_RB12_01_7442.mzML	HFD	No
SS118_RC1_01_7444.mzML	HFD	No
SS119_RC2_01_7445.mzML	HFD	No
SS120_RC3_01_7446.mzML	HFD	No
SS121_RC4_01_7447.mzML	HFD	No
SS122_RC5_01_7448.mzML	HFD	No
SS123_RC6_01_7449.mzML	HFD	No
SS124_RC7_01_7450.mzML	HFD	No
SS125_RC8_01_7451.mzML	HFD	No
SS126_RC9_01_7452.mzML	HFD	No
SS127_RC10_01_7453.mzML	HFD	No
SS128_RC11_01_7454.mzML	HFD	No
SS129_RC12_01_7455.mzML	HFD	No
SS130_RD1_01_7457.mzML	HFD	No
SS131_RD2_01_7458.mzML	HFD	No
SS132_RD3_01_7459.mzML	HFD	No
SS133_RD4_01_7460.mzML	HFD	No
SS134_RD5_01_7461.mzML	HFD	No
SS135_RD6_01_7462.mzML	HFD	No
SS136_RD7_01_7463.mzML	HFD	No
SS137_RD8_01_7464.mzML	HFD	No
SS138_RD9_01_7465.mzML	HFD	No
SS139_RD10_01_7466.mzML	HFD	No
SS143_RE2_01_7471.mzML	HFD	No
SS144_RE3_01_7472.mzML	HFD	No
SS145_RE4_01_7473.mzML	HFD	No
SS146_RE5_01_7474.mzML	HFD	No
SS147_RE6_01_7475.mzML	HFD	No
SS153_RE12_01_7484.mzML	HFD	No
SS154_RF1_01_7486.mzML	HFD	No
SS155_RF2_01_7487.mzML	HFD	No
SS156_RF3_01_7488.mzML	HFD	No
SS157_RF4_01_7489.mzML	HFD	No
SS158_RF5_01_7490.mzML	HFD	No
SS159_RF6_01_7491.mzML	HFD	No
SS160_RF7_01_7492.mzML	HFD	No
SS161_RF8_01_7493.mzML	HFD	No
SS162_RF9_01_7494.mzML	HFD	No
SS163_RF10_01_7495.mzML	HFD	No
SS164_RF11_01_7496.mzML	HFD	No
SS165_RF12_01_7498.mzML	HFD	No
SS166_RG1_01_7499.mzML	HFD	No
SS167_RG2_01_7500.mzML	HFD	No
SS168_RG3_01_7501.mzML	HFD	No
SS169_RG4_01_7502.mzML	HFD	No
SS170_RG5_01_7503.mzML	HFD	No
SS171_RG6_01_7504.mzML	HFD	No
SS172_RG7_01_7505.mzML	HFD	No
SS173_RG8_01_7506.mzML	HFD	No
SS174_RG9_01_7507.mzML	HFD	No
SS175_RG10_01_7508.mzML	HFD	No
SS176_RG11_01_7509.mzML	HFD	No
SS177_RG12_01_7510.mzML	HFD	No
SS178_RH1_01_7511.mzML	HFD	No
SS183_RH6_01_7520.mzML	HFD	No
SS184_RH7_01_7521.mzML	HFD	No
SS185_RH8_01_7522.mzML	HFD	No
SS186_RH9_01_7523.mzML	HFD	No
SS187_RA1_01_7529.mzML	HFD	No
SS188_RA2_01_7530.mzML	HFD	No
SS189_RA3_01_7531.mzML	HFD	No
SS190_RA4_01_7532.mzML	HFD	No
SS191_RA5_01_7533.mzML	HFD	No
SS192_RA6_01_7534.mzML	HFD	No
SS193_RA7_01_7535.mzML	HFD	No
SS194_RA8_01_7536.mzML	HFD	No
SS200_RB2_01_7543.mzML	HFD	No
