ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
No	SS361_RG10_01_7721	261.57303	0	109.95958	184.29222	44.486446	167.74983	313.13412	68.28871	197.06749	196.34015	783.1736	145.57341	0	0	0	4.708497	36.29346	0	186.00183	0	0	0	301.26038	39.777718	338.8281	0	243.56444	0	62.854496	118.26338	0	171.72298	0	755.4521	0	92.298004	132.2909	376.73923	108.98705	83.220505	88.99352	0	0	19.03717	49.16717	290.45767	36.557865	32.98692	53.871235	2.5444508	30.977215
No	SS370_RH7_01_7731	708.16046	0	93.6364	229.86906	189.13383	147.61089	394.96994	126.86978	672.9775	0	407.984	0	0	0	0	12.507656	25.330101	0	410.46432	0	0	0	639.6614	267.03992	737.64343	0	260.42783	0	133.5122	224.98492	57.558674	1445.1989	0	2988.837	0	94.79201	415.6198	525.19135	526.65955	64.31116	218.43307	77.153336	53.72939	0	805.7018	1051.728	50.400772	123.24631	343.568	6.5542717	126.89968
No	SS358_RG7_01_7718	32.674194	0	4.062324	141.00177	22.974651	117.6475	291.265	0	102.48244	0	0	70.56788	0	0	0	0	33.185684	76.29905	223.03056	0	51.52769	0	367.06155	252.49446	429.6855	0	191.99803	0	205.98062	349.1021	0	1116.0529	110.218445	2430.387	0	58.780758	168.9552	440.12238	263.22412	95.768555	136.75931	0	46.79823	0	596.6538	985.41693	50.041725	118.778625	250.08305	3.5093637	213.89368
No	SS403_RC7_01_7771	170.74951	0	4.635497	0	99.79275	61.184914	0	0	52.378876	0	167.81534	0	0	0	0	17.843002	0	0	0	0	0	0	49.161186	21.22264	44.395336	0	28.848082	0	13.14754	66.81467	32.271465	60.33892	0	132.38193	0	0	0	34.446777	19.946995	0	24.581657	0	0	0	0	51.19891	5.735879	3.6679077	13.690197	0	9.113208
No	SS416_RD8_01_7787	70.76768	0	16.789146	402.5548	0	199.78693	328.7311	123.53269	135.95944	0	222.15929	0	0	0	0	0	0	0	0	0	111.82771	0	250.22372	11.743242	83.35232	0	231.10515	0	42.760967	6.827029	0	47.220295	0	321.83066	0	278.92563	130.88983	318.7036	125.07837	16.732788	232.15048	38.963486	0	0	0	90.59129	109.37662	48.914436	23.502846	3.32306	6.7310786
No	SS414_RD6_01_7785	52.74746	0	20.81684	666.2864	5.5235057	95.661255	487.44434	184.51973	198.52072	808.1215	777.90295	0	0	0	0	10.144681	0	0	197.96045	0	0	178.70656	395.3657	22.287436	190.709	0	226.45842	0	60.270855	63.65937	69.704865	35.868126	0	317.99875	3.2062073	347.78442	190.11871	259.06497	121.03982	105.82626	125.7967	0	0	0	0	112.4325	153.98012	14.260261	35.353603	0	6.314496
No	SS392_RB8_01_7759	40.103767	0	0	260.29074	5.5475388	64.938065	995.2545	0	77.339584	0	0	0	0	0	0	0	0	0	0	0	152.06483	576.6611	478.34662	135.9339	414.34805	0	254.45743	5.7509155	281.65295	798.0957	0	17.189068	181.30112	84.499664	3.6713753	210.45828	260.6763	303.3377	226.1886	35.285683	267.4792	31.988895	0	0	0	293.60962	45.623226	168.38252	87.82345	0	36.086063
No	SS394_RB10_01_7761	12.710401	0	0	259.15472	0	21.345615	1082.0624	55.392452	104.426254	0	0	0	0	0	0	0	0	0	135.95534	0	274.5884	630.7827	254.95256	104.19986	242.98958	0	219.53238	0	614.5596	1548.0629	0	374.44208	0	756.7978	0	32.66813	129.8256	253.22974	140.14505	167.7369	204.28027	28.79203	0	0	194.31691	496.7104	31.072655	79.776794	175.41104	0	5.722843
No	SS413_RD5_01_7784	61.940495	0	48.739483	223.35284	98.76982	72.98363	534.97754	154.73656	158.94743	0	513.1463	0	0	0	0	0	0	0	89.05208	0	92.04822	0	274.8086	14.244495	200.70004	0	213.7984	0	31.988638	24.308311	81.9503	42.11264	0	394.29437	0	220.95778	207.74678	345.37045	94.00828	91.21455	77.193794	0	0	0	143.5339	448.72128	197.99532	21.216248	46.439278	0	20.155499
No	SS393_RB9_01_7760	73.90448	0	0	120.40195	0	27.312498	561.72534	0	54.604362	0	0	0	0	0	0	0	0	0	93.36973	0	69.293465	371.04425	196.54463	45.56333	99.80241	0	78.35619	0	192.19707	504.04965	0	66.699234	0	512.9608	0	0	0	262.1423	183.52438	136.97934	58.57741	0	0	0	0	164.96046	0	40.13746	30.824345	0	0
