ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
No	SS332_RE5_01_7690	61.33072	34.17201	5.890876	228.27205	6.774459	96.67407	190.61365	0	241.9195	532.093	240.13275	0	0	0	0	0	114.60248	199.5631	248.12216	0	130.0369	0	890.5022	170.08063	472.73517	0	191.3543	0	17.821175	28.660217	0	285.21283	93.84477	1596.5775	0	606.2099	426.16205	492.56943	310.61	351.72598	454.32678	49.57732	99.630936	289.41757	73.422554	757.2913	198.17981	121.73633	330.90137	2.5966563	50.487537
No	SS349_RF10_01_7708	25.517952	97.577446	8.66191	166.07951	50.8664	152.03648	695.1677	0	293.0779	0	630.43176	93.97894	0	0	0	0	3.8951445	0	0	0	72.58793	0	64.198006	39.276833	20.53194	0	121.70823	0	22.916065	101.62259	0	32.95114	0	234.9052	0	0	0	161.61101	48.985237	23.191761	105.72567	0	0	0	0	98.609184	16.928043	18.72109	59.95635	0	3.462696
No	SS352_RG1_01_7712	33.99383	0	2.8535023	158.74223	7.9946866	200.74861	462.60175	87.52809	165.01947	0	0	177.03601	0	0	0	0	0	0	0	0	194.38055	0	192.1389	0	5.6913514	0	107.49559	0	12.633497	15.797234	0	0	0	158.41927	0	90.342316	42.21074	218.36488	51.2039	6.1478763	84.76246	0	0	0	0	61.20388	31.502234	6.102937	17.72834	0	4.122946
No	SS348_RF9_01_7707	32.490616	0	0	0	5.4497633	185.34094	102.30956	0	145.08261	0	439.5236	98.543625	32.22815	0	0	0	23.084703	67.146286	0	0	146.24786	0	198.59068	76.14575	87.8666	0	138.63141	0	77.355576	68.697685	0	0	48.14064	430.54486	0	148.56847	61.013096	325.1596	76.539894	9.464384	144.01625	0	0	72.92096	0	250.21873	72.05867	6.803858	21.543865	4.171713	26.346952
No	SS357_RG6_01_7717	54.609474	0	12.155056	97.098816	23.480646	121.56718	288.63788	0	243.8721	0	0	115.84325	0	0	0	0	0	0	0	0	178.55766	0	199.46747	3.55896	23.830008	0	184.36993	0	15.846455	7.278474	0	35.096336	0	266.9228	0	160.8974	68.05052	374.48456	41.14533	9.627708	147.78256	0	0	0	0	94.35084	41.10389	12.290552	44.42314	5.3631134	29.30115
No	SS354_RG3_01_7714	34.600018	0	2.721735	129.99678	2.953804	84.04575	161.84781	0	161.53091	0	221.77345	122.60512	0	0	0	0	2.5150108	0	0	0	105.68579	0	111.89548	17.0257	18.982151	0	147.02205	0	45.943058	40.341434	0	39.09446	0	217.58527	0	55.53267	0	244.45383	45.83899	7.094741	90.09889	0	0	0	35.110188	47.74541	30.301113	3.618463	18.557465	0	5.568719
No	SS346_RF7_01_7705	41.715176	0	6.162129	146.01338	0	70.17342	315.37192	0	301.19507	0	408.53488	191.05176	0	0	0	0	10.446634	0	0	0	126.737305	0	204.01949	16.074074	36.53561	0	64.26618	0	33.20178	107.48178	0	76.91611	0	327.15186	0	101.4328	71.46338	290.43738	66.10198	7.334276	111.13515	0	0	0	0	136.38799	51.864197	19.257477	50.401024	2.5820866	21.936075
No	SS341_RF2_01_7700	50.189133	0	4.470093	79.61618	2.980701	32.25857	227.50658	0	110.11739	0	0	0	0	0	0	0	0	0	0	0	57.050716	0	102.62932	16.610947	34.401676	0	206.21391	0	14.325269	5.7200594	0	81.047195	0	213.22607	0	174.95769	0	209.81436	33.246166	9.511571	35.611763	10.92001	0	0	0	75.31107	79.4651	19.193487	28.059425	5.4993362	20.238327
No	SS344_RF5_01_7703	210.6434	227.82831	14.866248	81.521835	4.4387884	30.325666	242.29349	0	286.36926	0	0	63.80798	0	0	0	0	2.7569723	0	0	0	0	0	148.02579	20.51285	44.547565	0	158.52103	0	32.158463	62.742264	0	85.89844	0	450.19876	0	73.7084	86.525055	127.862465	42.09643	0	271.77756	0	0	0	97.17098	235.58664	56.610172	2.9335556	21.821184	3.70257	14.248943
No	SS351_RF12_01_7710	0	152.69632	7.07366	78.91851	27.012833	63.254234	255.67342	0	254.83063	0	527.8423	156.3775	0	0	0	0	6.3786077	0	0	0	104.416954	0	54.974873	24.227118	32.323925	0	54.19309	0	7.0481644	34.416393	0	0	0	91.54868	0	43.59826	0	93.38988	30.068428	5.8086452	50.714756	0	0	0	0	57.433105	23.536015	2.6132941	25.382622	0	7.250125
No	SS301_RB10_01_7656	36.92184	0	20.472023	210.00159	153.58403	94.5582	250.71153	0	106.17767	0	241.32797	0	0	0	0	0	0	0	192.59047	0	0	187.29434	289.38925	12.615474	112.029335	0	150.93556	0	104.5396	161.10387	63.93506	0	0	226.06929	0	430.16962	70.63909	179.69037	62.550262	79.83589	80.31811	0	0	0	0	49.905685	104.04634	58.332985	26.363537	0	6.5509496
No	SS337_RE10_01_7695	0	0	0	0	5.1379642	21.946503	211.23943	0	240.16656	0	0	0	0	0	0	0	6.17671	0	0	0	101.89009	0	60.26319	14.111384	42.199795	0	141.83562	0	12.070466	13.051383	0	0	0	145.73828	0	0	0	276.07562	72.956764	13.602482	46.934345	0	0	0	0	43.36501	27.86569	11.793983	6.950295	0	7.958993
No	SS299_RB8_01_7654	0	0	0	338.92014	0	2.8235838	569.4601	0	46.15764	0	0	23.754734	0	0	0	0	0	0	0	0	0	0	66.67909	11.483884	18.932991	0	39.827568	0	38.624466	167.1319	0	77.41741	0	262.50302	2.9943275	0	274.71432	182.46396	0	450.89648	105.67889	0	0	0	751.7123	1553.4038	41.063404	322.4218	574.24646	2.9275002	12.138206
No	SS338_RE11_01_7696	102.19545	0	0	0	38.447735	48.126617	177.17249	0	366.96545	0	191.96275	0	0	0	0	0	16.172886	0	0	0	154.39302	0	93.45319	19.819153	98.43347	0	52.10201	0	28.685976	25.233746	0	78.85747	0	486.094	0	0	0	293.5994	46.370155	2.874269	105.523796	0	0	0	0	180.38268	20.542938	3.774293	38.14043	0	5.117516
No	SS340_RF1_01_7699	38.291912	0	0	0	2.6547604	49.156635	272.64587	0	100.53908	0	0	0	0	0	0	0	0	0	0	0	55.419674	0	77.97953	13.940367	15.156356	0	75.57188	0	20.244854	0	0	30.585285	0	67.29559	0	128.43193	0	106.35307	16.481297	0	57.57109	0	0	0	0	35.38482	53.01822	3.869575	15.546043	0	7.5551987
No	SS316_RD1_01_7673	63.849545	0	13.366625	103.10957	18.631699	181.49991	438.28607	0	533.1138	0	555.2567	0	0	0	0	3.0590286	0	0	0	0	108.48136	0	88.49407	13.878246	23.123058	0	190.55305	0	26.835663	35.97584	155.41699	0	0	91.14377	0	0	0	259.17157	2.6584415	20.815811	243.16364	0	0	0	41.081745	84.00021	39.144474	77.265884	34.174423	2.7179694	14.489129
No	SS222_RC12_01_7566	0	33.75833	0	116.48958	55.86536	97.58386	274.5498	0	83.24771	0	0	0	0	0	0	0	2.6316376	0	0	0	86.43982	0	146.64792	17.841969	48.71944	0	74.81445	0	50.383064	67.480644	0	0	24.911905	294.27686	0	53.904705	0	125.87592	92.03353	154.48383	74.917404	0	0	0	0	68.90938	14.564367	8.750033	19.65348	0	22.868507
No	SS220_RC10_01_7564	0	0	2.7242174	245.9019	17.104635	22.048246	1171.61	0	69.113976	0	276.89908	0	0	0	0	0	0	0	0	0	306.11566	634.61346	399.69016	36.13481	212.95412	0	68.26187	0	478.27914	1312.245	0	0	105.33559	540.7869	3.2563348	67.427216	186.58238	94.55258	86.64311	240.71434	70.06923	55.39626	0	0	0	286.4721	50.244514	53.712967	48.989746	0	8.659763
No	SS240_RE6_01_7586	0	0	0	48.13179	0	0	340.59277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.145699	0	2.5467873	0	0	0	12.410095	8.256895	0	0	0	5.7305527	0	0	0	0	0	0	2.5378752	0	0	0	0	0	0	0	5.913415	0	0
No	SS66_RF6_01_7379	21.063646	0	7.2269154	123.33293	12.493268	74.947624	580.09766	0	389.29834	0	0	0	0	0	0	0	0	0	88.70918	0	252.3907	676.39307	624.1579	56.378536	50.370354	0	187.27373	0	360.0695	1046.3964	0	54.65684	0	264.40497	0	192.26735	72.03786	336.81314	304.92245	139.55278	55.079308	39.589737	0	0	34.76135	59.414272	67.60518	83.49049	81.90782	0	21.259113
No	SS107_RB2_01_7432	52.553688	0	0	0	0	134.75557	0	0	108.87877	0	0	0	0	0	0	0	2.8858266	0	0	0	0	0	15.075651	5.342662	20.013182	0	19.308372	0	10.032453	0	0	0	0	36.951874	0	0	0	16.99561	15.264394	8.272245	6.265069	0	0	0	0	36.058346	3.0143824	9.231886	17.699337	0	3.5039978
No	SS79_RG7_01_7394	7.9823227	0	0	28.050629	0	40.49127	375.8983	0	82.001015	0	0	0	0	0	0	0	0	0	0	0	714.8386	2446.308	417.43527	15.451902	15.554315	0	100.111626	0	1139.8073	3633.6	0	0	69.72368	43.394436	0	58.879963	0	98.9979	41.737225	0	14.221623	33.767467	0	0	0	20.779572	12.30234	42.611614	17.075891	0	5.842743
No	SS76_RG4_01_7391	16.2505	0	5.4012494	31.907372	13.482753	42.97004	132.17479	0	132.27402	0	0	0	0	0	0	0	0	0	0	0	112.53073	381.0035	121.51179	0	33.943382	0	103.7479	0	189.96927	550.8914	77.73146	0	0	63.60302	0	75.91128	37.141582	137.33867	89.98477	290.34366	50.87479	0	0	0	0	38.49138	38.9612	11.693878	10.49737	2.943057	6.81363
No	SS77_RG5_01_7392	0	0	2.718005	0	4.305485	53.27927	107.116905	0	93.71904	0	0	0	0	0	0	0	0	0	0	0	0	179.4672	118.850395	0	20.067303	0	76.50684	0	116.292114	340.7912	60.14642	0	0	77.667725	0	88.87668	39.500587	140.20085	144.00081	81.65121	24.482738	0	0	0	0	32.07208	48.82181	7.3506904	14.444393	0	0
No	SS67_RF7_01_7380	0	0	0	42.806934	7.8834553	56.301373	568.332	0	118.023636	0	0	0	0	0	0	0	0	0	0	0	297.34015	805.68976	437.89868	18.203114	32.64891	0	125.57794	0	475.41278	1260.0956	0	0	0	82.01238	0	117.07925	54.58289	164.95828	167.92686	309.99802	27.772943	33.93265	0	0	0	33.83951	34.252956	85.328995	43.311623	0	20.69542
No	SS75_RG3_01_7390	36.23442	0	3.6763961	0	20.350374	91.3087	85.92071	0	100.97319	0	0	0	0	0	0	0	0	0	0	0	52.94057	0	129.77753	0	36.594086	0	97.40728	0	29.691853	57.230812	0	0	0	221.70845	0	90.61929	47.846226	93.17911	43.92136	25.767002	43.352276	17.98218	0	0	30.314434	55.464737	30.972574	3.6035652	11.063129	3.4485626	3.846418
No	SS68_RF8_01_7381	0	0	0	58.785595	3.1529171	31.969692	485.33566	0	90.54548	0	0	0	0	0	0	0	0	0	0	0	82.947845	160.19278	177.86021	11.9583	32.406334	0	69.78334	0	139.72295	339.58258	0	46.888252	0	282.18777	0	45.02903	41.84195	149.31265	142.09186	154.96631	16.461346	0	0	0	52.99059	86.17111	22.3914	32.11634	52.58316	0	24.475662
No	SS42_RD6_01_7352	31.401165	38.213074	7.9060097	134.33923	20.17773	64.27869	449.0648	0	513.313	0	0	0	0	0	0	0	0	0	133.00462	0	447.0738	938.5063	665.51306	76.83284	81.97005	0	209.12952	0	579.3388	1945.7776	0	67.983826	85.02832	486.11356	0	182.45105	126.867165	397.9935	402.33173	258.07275	105.7732	0	0	0	64.67572	181.94849	41.52738	67.49519	75.00365	0	49.492645
No	SS40_RD4_01_7350	29.94518	0	0	32.58585	0	60.622345	359.85678	0	65.727165	0	0	0	0	0	0	0	0	0	0	0	1337.9905	3566.9065	134.90497	25.96821	25.219162	0	120.5512	0	1837.2649	7000.882	0	0	80.23614	68.61964	3.9584885	70.73729	60.088776	179.9223	186.92888	45.666557	25.40893	0	0	18.132969	0	45.28203	24.763575	16.135166	17.217594	0	8.378513
No	SS80_RG8_01_7395	63.459965	52.685238	0	21.570526	6.0780497	30.8106	46.874977	0	136.85255	0	0	0	0	0	0	0	0	0	0	0	37.38296	0	53.400555	0	5.9353714	0	36.932125	0	3.135635	0	54.97275	0	0	24.277592	0	34.456593	0	51.275803	9.4587345	0	52.970146	0	0	0	0	2.7068148	9.933935	49.1159	4.0969133	0	0
No	SS41_RD5_01_7351	67.03897	0	15.383446	54.91608	9.14907	35.25181	366.44824	0	147.20815	0	0	0	0	0	0	0	0	0	84.48671	0	559.4122	1330.5717	494.8067	27.974155	18.872166	0	113.62994	0	806.88837	2969.1133	32.69889	39.923832	0	90.548874	0	188.65935	96.07801	208.9324	218.22786	68.36632	81.179276	0	0	0	25.397491	44.355946	50.01143	19.856033	38.037025	0	7.067321
No	SS43_RD7_01_7353	40.30815	41.610752	60.507057	58.852097	20.80483	61.237206	462.94006	0	178.97968	0	0	0	0	0	0	0	0	0	0	0	2384.0193	5341.0483	305.54367	17.275154	22.315977	0	77.97087	0	2571.5083	8231.462	45.365173	0	53.35125	41.72684	3.5404978	112.15734	47.829468	105.63652	105.63652	279.3753	92.66376	0	0	0	0	63.461044	38.866158	82.31119	37.12414	0	10.270003
No	SS44_RD8_01_7355	35.678734	59.376472	13.341173	113.369225	12.543175	88.73074	449.76816	0	696.91614	0	0	0	0	0	0	9.460028	0	0	0	0	797.67255	1410.9855	256.40036	16.470219	4.36615	0	99.96019	0	1329.803	3466.7612	0	42.128162	0	103.68196	2.5491905	139.09752	46.853855	148.38187	151.2854	40.50601	110.9725	0	0	0	29.00961	33.876427	42.1074	69.36399	30.116934	3.8677468	21.553675
No	SS48_RD12_01_7359	135.12518	0	44.060707	74.65702	52.76525	82.3594	365.5259	0	90.53597	0	0	0	0	0	0	5.410225	0	0	0	0	617.09845	1376.53	314.6749	30.178669	29.283188	0	88.09723	0	1172.2148	4170.1025	0	0	0	89.52888	0	149.82323	42.998867	74.65273	259.32315	594.16956	172.23233	28.46969	0	0	0	43.635952	47.80228	29.675285	23.907051	0	27.269966
No	SS120_RC3_01_7446	22.434336	0	0	0	0	25.726202	0	0	87.093765	0	186.7946	0	0	0	0	0	0	0	0	0	0	0	26.986305	0	2.713067	0	24.674778	0	0	0	0	0	0	6.423025	0	0	0	20.185478	9.9085655	16.28245	41.262695	0	0	0	0	2.9823732	0	11.00274	0	0	0
No	SS39_RD3_01_7349	0	0	6.947505	53.475006	25.078396	49.626587	357.66504	0	152.34793	0	0	0	0	0	0	0	53.68113	161.99173	124.874435	0	0	330.97305	729.57495	151.81674	416.768	0	265.5397	0	77.818375	158.0858	33.66467	243.32559	16.743927	1587.9117	2.516261	104.855316	338.8196	346.49313	321.87494	566.0796	299.13327	0	35.520172	85.17287	356.49683	779.36066	82.68298	52.92395	184.08487	2.801466	90.94452
No	SS82_RG10_01_7397	113.69699	0	9.049948	318.3615	7.3959675	28.768608	634.58887	161.18262	420.38647	263.16742	181.15044	0	0	0	0	0	0	0	0	0	150.6202	482.64667	279.1468	13.482055	30.11432	0	76.13366	0	489.27823	1292.463	0	84.67862	0	255.51358	0	115.78833	81.280754	121.465164	121.465164	101.66605	21.747288	0	0	30.026627	106.142624	161.21368	46.198753	42.99426	105.52545	0	15.7156315
No	SS108_RB3_01_7433	99.90548	0	14.353491	59.19847	7.2055097	161.48622	86.68325	0	131.4913	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3270645	3.0337944	17.503607	0	69.67008	0	6.833173	0	0	0	0	47.32666	0	0	0	65.878006	65.878006	56.6045	90.69429	0	0	0	62.6754	120.33572	61.08916	12.172417	27.922832	0	21.296185
No	SS78_RG6_01_7393	114.43097	0	2.767075	97.43799	4.032999	168.82457	479.79477	41.479713	96.42891	0	0	0	0	0	0	0	0	0	0	0	1449.6279	3753.5337	691.6282	23.137852	20.099583	0	130.20993	0	2363.6426	8606.322	32.734997	0	25.359774	63.20474	0	62.848824	0	241.20818	245.92084	139.82687	33.164406	0	0	0	0	55.04183	33.387993	24.110321	57.573437	0	10.799261
No	SS109_RB4_01_7434	64.98315	36.910507	0	60.47572	9.205561	77.61905	326.65555	0	160.11227	0	503.78122	0	0	0	0	0	0	0	0	0	94.56152	0	98.55879	50.77785	68.505035	0	112.85701	0	102.876686	153.10544	91.55547	139.03993	0	308.26874	0	105.95893	76.32595	162.44797	165.96275	88.5794	247.54605	30.84731	0	0	120.39951	177.4577	93.2474	62.92893	24.856346	3.635025	23.606585
No	SS99_RA6_01_7423	57.054577	0	5.4067698	66.58124	0	40.85498	547.7709	0	111.48364	0	0	0	0	0	0	0	3.2473726	0	207.2207	0	387.54022	1268.4443	904.4487	284.69376	372.67944	0	148.16368	5.641646	594.90906	2299.0083	145.10246	288.4864	83.82712	1091.9816	3.183484	260.78992	350.52005	304.59537	243.69548	289.59955	199.78972	47.360867	0	50.529118	133.09805	666.12585	165.49574	127.8553	165.97636	0	127.36167
No	SS138_RD9_01_7465	23.550207	20.660696	0	0	2.9820597	29.909756	157.58383	0	100.9036	0	0	0	0	0	0	0	0	0	0	0	0	0	186.11333	33.994873	34.928516	0	39.45262	0	18.657907	0	0	67.8427	0	182.33685	0	73.96939	0	26.621468	36.29181	10.43851	34.009914	0	0	0	0	40.648212	12.598204	2.532175	3.0436072	0	2.8300786
No	SS122_RC5_01_7448	49.840252	24.100655	5.061785	48.94922	23.340466	69.46997	100.39504	0	384.9976	0	450.01077	0	0	0	0	0	7.85573	0	142.69199	0	0	0	510.7372	94.83894	439.26892	0	106.725	18.164326	12.426284	0	67.11492	561.343	0	2811.475	0	155.73927	281.76233	108.03831	100.432976	61.14314	259.96875	0	44.980206	58.878613	317.22174	887.7465	92.82014	24.599747	164.42302	9.439367	98.095085
No	SS83_RG11_01_7398	23.338472	41.26789	33.41535	53.12354	49.315647	42.026814	602.447	0	227.3521	0	171.20992	0	0	0	0	0	0	0	90.735825	0	411.2594	908.1906	608.6583	49.214867	32.433743	0	87.32249	0	736.51263	2083.9983	62.788063	96.11873	0	144.69391	0	155.36057	69.107346	134.53357	137.99527	8.543702	127.26056	21.781334	0	22.397062	41.78495	47.701103	61.80578	31.45396	38.781643	0	33.669807
No	SS92_RH8_01_7409	260.54602	58.197956	91.95807	163.51752	3.0771968	143.64061	296.1738	40.700607	380.5002	0	656.2572	0	0	0	0	14.911151	13.238752	37.853416	75.64419	0	0	0	204.51933	59.486347	136.93983	0	125.05815	3.963853	78.42838	94.098656	44.209167	167.93765	0	539.26654	0	89.30347	93.206436	124.373116	128.92427	69.4869	90.21501	0	0	0	161.40242	292.69803	61.2726	27.031378	54.21479	0	39.512276
No	SS30_RC6_01_7339	11.182751	0	2.744995	46.477634	5.6470003	90.04016	393.7088	0	131.15991	0	0	0	0	0	0	0	0	0	66.58264	0	70.42797	324.05508	265.08466	31.340225	60.946274	0	216.17142	0	153.6941	431.0041	79.768936	123.95642	0	612.70197	0	137.5353	91.08292	382.3711	374.7515	178.34708	67.25318	19.29445	0	0	84.74574	201.50795	53.197968	18.677856	54.601135	3.635069	36.183857
No	SS124_RC7_01_7450	0	0	0	33.037624	7.126409	35.913574	66.86047	0	176.40889	0	0	0	0	0	0	0	0	0	0	0	0	0	49.866394	0	8.393602	0	38.06705	0	7.0911446	0	0	0	0	105.73714	0	0	0	61.090412	61.090412	36.154957	52.88044	0	0	0	0	99.28837	40.125412	4.224373	19.647291	0	2.8417168
No	SS95_RA2_01_7419	0	0	0	61.22922	3.919758	20.621674	455.37363	0	43.417805	0	0	0	0	0	0	0	0	0	0	0	231.59392	989.18256	249.11057	29.485146	98.68326	0	108.14531	0	339.68976	1259.4802	0	34.916855	265.3137	401.18213	0	100.03039	120.60355	78.27701	78.27701	69.02421	63.585747	0	0	0	22.349112	163.24203	18.544468	7.8290353	32.157703	3.1522665	15.854235
No	SS189_RA3_01_7531	0	0	2.7507172	267.97107	14.155842	81.6586	1073.4576	100.77319	109.517456	0	0	0	0	0	0	0	2.665575	0	0	0	448.38858	584.89154	677.3532	83.28442	141.2283	0	307.60168	0	465.47275	1276.8818	136.2523	222.394	0	911.02075	0	442.85895	264.23508	366.83557	0	609.635	203.6665	70.091576	0	0	26.067747	432.9158	126.71564	120.95517	43.88108	18.279089	41.35632
No	SS65_RF5_01_7378	9.174164	0	0	52.06871	3.4611673	35.1181	505.091	0	61.282463	0	0	0	0	0	0	0	0	0	0	0	136.54659	358.87637	204.24701	17.996952	8.74869	0	103.598816	0	227.18727	643.9854	0	21.709705	26.818035	65.06058	0	91.7867	47.758644	206.88123	207.82986	117.57071	39.05087	26.121674	0	0	26.331936	71.86531	37.766636	65.06638	54.88198	0	14.541277
No	SS64_RF4_01_7377	7.840507	0	0	63.335968	2.770193	25.418451	549.1423	0	52.344418	0	0	0	0	0	0	0	0	0	0	0	127.926285	434.3637	500.37262	45.40333	18.177328	0	90.14834	0	176.77266	628.0185	0	0	71.16544	39.85513	5.6338673	90.76508	48.97257	138.11116	151.10678	81.93063	41.18432	0	0	0	18.219273	39.11386	41.476917	40.53109	9.915582	0	20.251625
No	SS123_RC6_01_7449	0	0	0	0	0	49.61344	0	0	182.33101	0	0	0	0	0	0	0	0	0	0	0	0	0	35.209587	0	0	0	5.8583746	0	3.0393867	0	28.149477	0	0	15.5902	0	45.03264	0	5.252611	0	0	36.50477	0	0	0	0	8.315187	15.426861	0	0	0	0
No	SS96_RA3_01_7420	0	0	0	0	12.10641	26.23293	181.77805	0	29.842302	0	0	0	0	0	0	0	0	0	0	0	0	0	107.97098	6.0583386	80.85385	0	15.453806	0	68.882675	68.46805	0	71.14116	0	553.55444	0	0	0	36.97526	32.080315	17.668127	36.485657	0	0	0	0	169.15332	9.675635	0	17.611359	0	11.904349
No	SS102_RA9_01_7426	99.6701	0	0	37.9446	0	44.73963	218.61836	0	321.4265	0	0	0	0	0	0	0	0	0	0	0	0	0	163.90315	17.494999	27.890684	0	93.61165	0	122.57455	217.15584	0	113.616135	0	325.6252	0	85.24374	116.12256	142.8531	146.21457	85.3277	44.257114	0	0	0	105.74922	210.14055	73.81149	15.394112	25.167965	0	33.049805
No	SS97_RA4_01_7421	66.20209	0	4.412478	360.96216	0	45.23249	313.98273	98.28945	193.31133	0	243.22997	0	0	0	0	0	3.3169851	0	194.47942	0	0	0	443.32034	218.3124	417.1188	0	142.61908	0	127.74018	142.08046	71.84117	1122.4568	0	2325.4246	0	114.073875	181.95816	169.27202	111.35151	19.356464	131.72095	84.377045	0	0	447.17114	651.68463	54.75983	65.4612	151.85002	0	143.44899
No	SS117_RB12_01_7442	43.647552	0	0	65.01503	0	76.58508	348.90704	0	193.28273	0	0	0	0	0	0	0	7.2085056	0	0	0	0	0	279.8877	35.311928	244.14145	0	83.13361	0	87.67687	238.76334	0	144.33684	0	1044.4481	0	59.85067	145.65868	135.09163	121.84171	108.71132	54.491398	39.549763	0	0	186.73674	467.33243	48.95556	47.509228	87.89862	0	32.31096
No	SS27_RC3_01_7336	5251.6475	48.03912	412.93076	424.0996	0	385.86694	612.74506	253.92294	594.4908	304.59634	183.23149	53.684734	0	0	0	62.66159	0	0	80.59945	0	780.2581	2785.483	418.54944	45.25467	39.824856	0	299.72266	0	1972.0679	4897.6147	48.276535	123.374664	0	275.24817	0	148.19968	169.08052	493.1669	470.10376	284.8705	197.3573	0	0	0	229.41771	245.43135	90.76559	52.83647	121.79506	0	31.247412
No	SS81_RG9_01_7396	28.738007	56.742268	0	43.23302	3.089879	67.68734	51.704494	0	115.871735	0	0	0	0	0	0	0	2.7022686	0	0	0	0	0	62.872707	14.26701	47.853256	0	34.99147	0	14.398553	0	0	32.27913	0	135.75964	0	0	0	28.032574	28.032574	3.4090796	16.425144	0	0	0	47.42035	63.69865	9.220058	22.344866	34.174507	0	9.651068
No	SS3_RA3_01_7307	0	0	2.6438327	22.138681	2.4865541	21.387085	307.2972	0	76.17162	0	0	0	0	0	0	0	0	0	0	0	225.13635	823.8546	36.76661	6.376821	5.70956	0	69.99602	0	371.25397	820.817	48.347263	0	0	50.870632	0	0	0	100.75342	102.45911	239.9556	15.341457	0	0	0	0	10.702638	5.469442	12.524178	9.510324	0	7.5361505
No	SS14_RB2_01_7322	20.778809	50.59818	4.0148325	46.12918	10.850985	15.888031	71.765625	0	166.80933	0	0	0	0	0	0	0	0	0	0	0	0	0	104.36603	11.3846245	24.011892	0	18.781023	0	26.635483	92.35303	0	63.48532	0	187.69362	0	46.8386	36.507557	42.409634	42.409634	29.180868	25.915777	0	0	0	49.76615	70.49501	22.053804	9.924553	35.24183	0	15.222979
No	SS32_RC8_01_7341	0	0	0	0	0	30.90179	91.71497	0	26.86004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.311355	32.413677	0	0	0	2.492344	0	0	0	6.638715	6.638715	0	2.6049752	0	0	0	0	0	0	2.6244278	0	0	0
No	SS34_RC10_01_7343	0	0	0	0	0	0	0	0	37.647682	0	0	0	0	0	0	0	0	0	0	0	0	0	29.256496	4.1974974	4.365921	0	29.16229	0	2.9747093	0	0	0	0	44.108917	0	24.301262	0	24.169456	8.552531	3.4485173	21.075245	0	0	0	0	21.016546	17.15551	2.617218	3.591866	0	3.7647038
No	SS36_RC12_01_7345	0	0	0	0	0	14.238536	0	0	36.755386	0	0	0	0	0	0	0	0	0	0	0	0	0	13.424971	0	0	0	9.28745	0	2.899971	0	0	0	0	15.782208	0	0	0	14.355053	7.916582	0	3.5655956	0	0	0	0	10.086158	0	0	0	0	3.854845
No	SS33_RC9_01_7342	57.78773	19.092838	0	0	0	9.63639	0	0	57.578514	0	0	0	0	0	0	0	0	0	0	0	0	0	10.465517	0	7.1073756	0	10.671597	0	0	0	33.01522	0	0	39.939346	0	0	0	14.408766	3.6201067	0	4.1018667	0	0	0	0	15.3149	6.874795	0	0	0	0
No	SS22_RB10_01_7330	220.80807	0	33.429	47.096844	0	60.98812	40.003075	0	46.73808	0	0	0	0	0	0	21.754234	11.138609	39.06884	61.96485	0	0	0	271.1951	65.813644	201.34897	0	48.58215	5.7000732	30.69503	0	0	506.20227	0	1398.2814	0	28.096073	89.93191	93.02992	96.63791	40.361465	48.346745	0	21.285973	0	175.88596	448.4036	22.619068	35.845837	111.90553	0	55.461796
