ATTRIBUTE_ADDGroup	filename	MS_482	MS_513	MS_1040	MS_786	MS_1945	MS_1595	MS_1496	MS_4153	MS_6091	MS_2871	MS_1053	MS_5008	MS_475	MS_4871	MS_9453	MS_5865	MS_8665	MS_6023	MS_7675	MS_9086	MS_5929	MS_9203	MS_9522	MS_6098	MS_7969	MS_9850	MS_8453	MS_5898	MS_8942	MS_9357	MS_5940	MS_8145	MS_8680	MS_8430	MS_8604	MS_6227	MS_7729	MS_9099	MS_7031	MS_9439	MS_9753	MS_6327	MS_8388	MS_8927	MS_6828	MS_9383	MS_8429	MS_8640	MS_5531	MS_7295	MS_8016	MS_8880
-	compound	Tyramine-C2:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	1.06E-07	2.06E-03	1.01E-04	0.090006289	2.08E-05	0.00282311	1.13E-05	5.86E-20	3.35E-14	5.17E-05	4.74E-03	1.34E-03	7.93E-05	0.00021938	8.58E-29	6.49E-15	7.55E-21	9.92E-14	2.50E-06	2.87E-10	2.82E-10	1.51E-09	1.03E-41	1.23E-12	7.48E-05	5.19E-10	1.64E-05	3.86E-05	1.04E-13	2.21E-32	1.61E-10	1.46E-15	1.64E-11	8.47E-11	1.15E-10	7.11E-16	3.00E-11	5.57E-05	1.47E-12	3.26E-40	9.02E-21	1.96E-09	3.48E-04	7.08E-08	2.95E-05	1.75E-01	3.49E-13	5.85E-06	5.88E-06	2.72E-28	1.88E-06	4.07E-06
active	Plate11_25616_Soil_GA3_01_27593	4.7246027	0	13.707038	0	3.4830806	26.761967	6.7779846	0	0	6.734362	17.099335	3.5699155	0	0	6.087923	0	0	0	6.726029	0	0	0	3.1283379	0	8.865595	27.62192	8.717674	0	0	0	0	0	0	0	5.498455	5.0686398	0	0	154.7228	0	0	0	3.305149	6.2072134	13.305721	0	5.00075	0	0	7.048813	85.586975	9.537812
active	Plate11_25920_Soil_GA1_01_27591	3.918761	0	9.057417	0	7.3284564	11.51399	9.168983	0	0	0	23.419792	0	0	0	179.29906	0	9.868973	0	13.507323	0	3.6260633	0	155.31291	0	25.723228	76.93147	11.757544	153.52013	20.582417	35.18364	15.63563	20.455189	28.672922	4.2630386	14.946031	313.69467	0	10.78906	1022.3294	44.20208	7.2599564	21.29177	3.5424829	60.210205	46.59718	3.1705446	16.171053	30.862288	24.147968	1107.0688	323.2912	19.95416
active	Plate12_45886_Soil_GH1_01_28053	0	0	5.80243	0	0	6.63614	7.1436644	0	0	0	14.553026	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1296732	4.96307	0	0	0	0	0	0	0	0	0	0	0	0	78.99983	0	0	0	0	0	7.7265816	0	0	0	0	0	40.394405	2.407535
active	Plate12_64244_Soil_GE9_01_28022	0	0	5.735429	0	3.4863532	3.5026598	0	0	0	0	5.1192255	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2590027	1.3107724	3.0689993	10.262631	0	0	0	0	0	0	0	0	0	5.83516	4.221613	0	0	0	0	2.1959782	10.100817	2.3496017	0	0	0	0	31.420652	2.7154148
active	Plate12_60518_Soil_GH4_01_28056	0	0	3.8962326	3.4063025	0	5.7963057	5.0308037	0	0	0	25.785776	0	0	0	0	0	0	0	0	0	0	0	0	0	5.604784	2.5149894	0	0	0	0	0	0	0	0	0	0	0	0	9.573106	0	0	0	0	0	7.621599	0	0	0	0	0	14.262808	0
active	Plate12_25884_Soil_GH10_01_28063	0	0	0	0	4.052679	4.1358175	3.960687	0	0	0	13.123251	0	0	0	0	0	0	0	0	0	0	0	0	0	3.197391	0	0	0	0	0	0	0	0	0	0	9.467382	3.3677697	5.0925303	28.60487	0	0	0	0	0	3.8766627	0	0	0	0	0	15.3543825	2.378334
active	Plate12_25582_Soil_GG6_01_28045	3.8939972	0	4.2655334	0	59.69657	15.065542	3.221798	0	0	0	14.315017	0	9.044726	0	25.345932	0	0	0	0	0	0	0	23.202265	0	4.3413186	9.152422	0	0	4.0706997	0	0	0	2.57169	0	0	0	0	2.2645605	50.911243	0	0	0	0	2.824831	11.582164	0	0	0	0	10.884947	24.3444	3.3346367
active	Plate11_25562_Soil_GA4_01_27594	4.257009	0	13.870852	0	14.858977	14.858977	5.929879	0	0	0	28.288565	0	0	0	2.8189812	0	0	0	3.5547404	0	0	0	5.0565805	0	8.358912	18.281273	6.905862	9.484381	0	0	0	3.5756648	0	0	0	3.2806206	0	4.8161507	95.6556	0	0	4.058874	0	5.2321672	6.4755826	4.9499316	0	0	0	8.886908	63.397987	3.5263264
active	Plate12_61310_Soil_GF9_01_28035	4.3149185	0	0	3.361845	9.066371	31.397846	8.795695	0	0	0	37.573177	7.0077896	0	0	0	0	0	0	0	0	0	0	0	0	2.4678936	1.5712309	1.8409216	0	0	1.670949	0	0	0	0	0	0	0	3.85499	13.709099	0	0	4.11654	0	2.445571	3.6197162	0	0	0	0	11.028578	25.773678	1.6159124
active	Plate11_55010_Soil_GB1_01_27605	0	0	16.017647	0	16.453894	20.194891	0	0	0	0	29.839552	4.1310596	0	0	5.674164	0	3.3950663	0	11.8010845	0	0	0	5.758873	0	4.084261	23.274073	4.173371	0	0	0	0	0	0	0	0	3.5960941	0	12.6286745	88.284424	0	0	0	0	0	37.530533	0	0	0	3.871222	13.989105	67.17885	3.753743
active	Plate11_25632_Soil_GB6_01_27610	0	0	9.205444	0	16.034498	13.385706	17.41337	0	0	3.3205547	54.33201	4.446232	0	0	13.187478	0	0	0	3.2775092	0	0	0	1.9397807	0	5.5734215	24.604727	3.3045244	4.2555285	0	3.2549858	0	0	0	0	9.491684	9.742794	0	7.5171328	412.37335	0	0	0	0	5.60888	11.00662	0	0	0	0	5.416453	121.72748	4.3807983
active	Plate12_61706_Soil_GG3_01_28042	0	0	0	0	0	3.6076689	4.758278	0	0	0	6.241723	2.635912	0	0	23.649147	0	0	0	4.484391	0	0	0	27.052988	0	0	17.21634	2.0869591	7.984884	0	8.647469	4.07825	0	0	0	0	22.166117	0	0	69.28423	2.256668	0	4.0480394	0	0	3.360182	1.967577	0	2.4306102	0	104.11476	33.291412	0
active	Plate12_25929_Soil_GG11_01_28050	0	0	0	0	3.5821238	3.5821238	5.6359863	0	0	0	5.6797004	0	0	0	0	0	0	0	0	0	0	0	0	0	4.261884	1.3430672	0	0	0	0	0	0	0	0	0	0	0	0	14.343119	0	0	0	0	0	0	0	0	0	0	0	2.3192253	0
active	Plate11_61364_Soil_GC2_01_27620	0	0	15.511896	0	9.798323	23.983728	8.105333	7.149944	4.751911	0	42.38318	0	0	0	28.763288	0	0	0	4.6534266	0	0	2.8913755	63.894367	0	7.6524043	34.842957	7.749733	11.922693	4.606801	19.749868	4.1726685	5.8518386	3.4741673	0	0	7.6028523	0	5.9055147	88.85121	40.39748	4.3308105	3.8434553	2.6080875	5.823164	31.479753	0	0	2.4476528	3.8522573	142.97069	55.562107	5.809672
