ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
HFD	SS27_RC3_01_7336	5251.6475	48.03912	412.93076	424.0996	0	385.86694	612.74506	253.92294	594.4908	304.59634	183.23149	53.684734	0	0	0	62.66159	0	0	80.59945	0	780.2581	2785.483	418.54944	45.25467	39.824856	0	299.72266	0	1972.0679	4897.6147	48.276535	123.374664	0	275.24817	0	148.19968	169.08052	493.1669	470.10376	284.8705	197.3573	0	0	0	229.41771	245.43135	90.76559	52.83647	121.79506	0	31.247412
HFD	SS23_RB11_01_7331	0	0	0	33.623623	0	29.614643	223.76978	0	110.33055	0	0	0	0	0	0	0	0	0	0	0	166.69585	419.0631	68.29626	12.065847	62.458267	0	33.705257	0	292.41772	891.7849	0	62.377506	0	213.37965	0	38.202076	0	97.444984	97.444984	85.796295	36.5838	0	0	0	31.81978	75.329155	18.356197	12.560495	25.540653	0	2.8338804
HFD	SS49_RE1_01_7361	0	0	2.7858691	0	5.2862873	19.95769	148.36774	0	89.131874	0	0	0	0	0	0	2.6923885	0	0	0	0	0	152.74988	111.270805	2.8965168	11.371887	0	69.41192	0	98.82608	207.46884	0	0	0	83.55686	0	78.993614	47.257343	88.3241	88.3241	137.39182	65.62245	0	0	0	61.21577	73.58575	38.35223	31.823666	30.589825	0	17.09811
HFD	SS26_RC2_01_7335	3362.4507	0	190.43542	271.8605	0	248.52147	616.3805	218.94215	530.2166	0	174.56201	0	0	0	0	9.098978	0	0	0	0	723.78705	1156.4934	113.96793	18.685547	11.569725	0	102.220634	0	1346.3275	3595.598	0	91.426544	0	146.05301	0	28.838451	76.796936	272.57275	277.08447	95.62004	35.55941	0	0	0	106.33462	130.91992	18.124449	42.429	86.28796	0	12.434975
HFD	SS81_RG9_01_7396	28.738007	56.742268	0	43.23302	3.089879	67.68734	51.704494	0	115.871735	0	0	0	0	0	0	0	2.7022686	0	0	0	0	0	62.872707	14.26701	47.853256	0	34.99147	0	14.398553	0	0	32.27913	0	135.75964	0	0	0	28.032574	28.032574	3.4090796	16.425144	0	0	0	47.42035	63.69865	9.220058	22.344866	34.174507	0	9.651068
HFD	SS10_RA10_01_7316	25.244797	0	7.2495837	30.577185	42.745438	65.290375	350.75378	0	252.44292	0	139.38705	0	0	0	0	0	0	0	96.50676	0	542.97455	1342.3372	375.5236	56.529358	32.158432	0	99.69602	0	636.0797	1919.3297	0	58.103508	0	205.99539	0	222.84882	87.212395	91.88628	153.09886	251.94075	78.05312	15.471271	0	8.554802	60.11509	68.905304	77.760155	69.63956	32.378128	0	42.680237
HFD	SS25_RC1_01_7334	0	0	5.9595666	42.186344	0	29.557121	366.45636	0	116.123695	0	0	0	0	0	0	0	0	0	0	0	177.60771	741.46704	189.26997	39.088394	41.879684	0	105.126785	0	202.90833	525.3287	0	35.194275	0	178.0559	0	53.27993	50.08581	148.73117	154.00406	146.94809	126.944336	0	0	0	62.970516	81.94191	37.78662	44.34488	41.826584	0	34.61691
HFD	SS8_RA8_01_7314	14.541876	38.969	6.391719	53.766323	4.5437517	42.026943	500.5619	0	107.00553	0	0	0	0	0	0	0	0	0	68.65522	0	960.567	1779.4913	268.9896	19.974468	23.067402	0	136.04309	0	1099.7058	3389.6616	45.093513	31.956778	86.42266	111.9556	2.5217028	115.938156	92.8666	255.42715	257.45715	106.304016	66.27144	0	0	0	52.32544	113.49436	51.317524	86.25097	64.66068	2.9456835	12.812248
HFD	SS29_RC5_01_7338	0	0	0	44.049873	0	52.212925	275.95993	0	160.2857	0	0	0	0	0	0	0	0	0	0	0	129.4873	580.99524	471.7449	6.387429	3.0449295	0	44.343525	0	266.08298	719.9112	0	0	0	29.620054	0	58.979214	0	75.99982	75.99982	16.801672	20.273277	0	0	0	0	13.257085	12.101712	8.379842	15.160765	0	11.513109
HFD	SS4_RA4_01_7308	9.87795	0	0	27.492353	6.7850146	42.339516	311.81155	0	250.76761	0	0	0	0	0	0	0	0	0	0	0	253.32895	531.75024	130.55951	21.182007	28.484348	0	65.040794	0	340.15775	862.383	0	25.028736	29.798122	58.224934	0	37.16576	0	57.38035	136.41815	501.5831	19.642105	0	0	0	21.316458	37.35542	14.478199	14.77049	12.923029	0	12.241236
