	ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
400	NC	SS421_RE1_01_7793	2875.1685	437.32477	111.043495	200.73033	0.0	275.3851	947.1467	177.00284	321.3218	0.0	0.0	97.78390999999999	215.34966	0.0	0.0	23.45206	62.148155	0.0	0.0	0.0	0.0	0.0	43.756023	9.204546	15.25354	0.0	32.545116	10.996166	42.733788	0.0	0.0	36.743526	0.0	32.758179999999996	0.0	0.0	0.0	8.360172	7.317007	0.0	2.85604	0.0	0.0	0.0	35.518665000000006	17.612358	0.0	4.26079	0.0	0.0	29.826805
414	NC	SS408_RC12_01_7832	99.498405	1362.0968	213.8487	309.73077	27.496284000000003	439.79602	424.1131	107.98643500000001	315.33582	0.0	0.0	0.0	243.11272999999997	0.0	0.0	7.836133500000001	79.436485	41.573456	0.0	0.0	82.216064	0.0	44.937874	6.077222	46.161617	0.0	25.932331	24.203476000000002	16.119377	0.0	0.0	47.007156	26.979059999999997	111.12231399999999	2.7103867999999998	29.762686	0.0	76.37199	51.837025	73.20425	16.07791	26.294465999999996	22.386915	0.0	35.82392	69.442116	24.739029000000002	96.08806	49.735683	11.4318285	42.037659999999995
402	NC	SS391_RB7_01_7758	289.98575	0.0	66.95772	113.57766000000001	2.5685502999999996	101.742226	269.1864	156.20372	301.2627	0.0	0.0	0.0	1261.7871	0.0	232.39175	32.733738	613.1475	270.8342	0.0	0.0	0.0	0.0	64.80215	63.559692000000005	8.113197	0.0	203.19388	145.93526	48.055546	4.9279447	0.0	295.5428	73.29174	98.7533	0.0	0.0	0.0	110.23246999999999	12.817912	89.76127	7.525662400000001	18.875013	14.367851000000002	0.0	281.40125	88.22555	3.1610612999999996	67.99341	4.0417814	15.740692000000001	259.92532
406	NC	SS410_RD2_01_7781	594.3876	694.8253	138.35754	452.4127	26.103392000000003	51.826553000000004	298.91965	163.59323	325.1831	0.0	0.0	0.0	437.11715999999996	0.0	129.72377	12.687598	176.13405	59.52319	0.0	0.0	69.37172	104.68345	55.784121999999996	64.65353	51.653529999999996	0.0	43.051548	63.820159999999994	9.131116	2.4922132	0.0	204.81213	52.89362	73.202	0.0	0.0	0.0	88.811424	37.864796000000005	16.276022	7.235820299999999	0.0	0.0	0.0	178.3676	43.001354	10.020824000000001	26.205920000000003	6.0118737	15.43718	187.95215
383	NC	SS372_RH9_01_7733	328.7603	2501.7683	380.3889	215.01897999999997	105.61438999999999	442.28232	356.03427	142.89696	403.26807	0.0	0.0	0.0	1009.7792	0.0	299.44882	42.983486	495.03415	146.62311	0.0	0.0	0.0	81.790405	52.878882999999995	38.462963	30.229998	0.0	197.15622	77.57276999999999	39.97573	10.703012	43.081474	334.08636	47.048088	212.29247999999998	0.0	0.0	0.0	131.3724	35.847366	127.25716000000001	13.579979000000002	0.0	12.03513	0.0	334.5829	54.268463	7.5289	77.43898	11.677977	15.152529000000001	185.5966
382	NC	SS373_RA1_01_7739	280.8789	1258.6082	88.49679	103.94891	19.928793	184.46198	667.6319599999999	125.29776000000001	310.7837	0.0	0.0	0.0	555.6707	0.0	0.0	22.706945	275.00307999999995	72.771935	0.0	0.0	0.0	0.0	94.75031	69.26335999999999	121.83568999999999	0.0	226.06552000000002	56.04993399999999	100.189766	49.979735999999995	0.0	252.41235	90.14655	336.4708	0.0	0.0	0.0	148.03856000000002	45.27726	49.57157	46.203606	0.0	9.900681500000001	0.0	199.98407	123.5445	12.669939999999999	52.80972	18.723406	9.694293	136.40205
15	NC	SS53_RE4_01_7364	402.42282	191.20404	134.74236000000002	0.0	20.064885999999998	120.965225	129.2655	0.0	190.64484	0.0	0.0	0.0	38.082184000000005	0.0	0.0	7.9548570000000005	10.578312	0.0	0.0	0.0	0.0	0.0	22.480156	0.0	0.0	0.0	27.614079999999998	12.039522	22.383038	0.0	0.0	0.0	0.0	3.7733839999999996	3.3793354	0.0	0.0	7.472515	3.0143002999999995	3.7925758000000003	0.0	0.0	0.0	0.0	46.212967	13.162405999999999	0.0	0.0	0.0	0.0	21.364803
407	NC	SS424_RE4_01_7796	1917.9398	413.60825	58.02873	201.85846	0.0	403.62833	803.804	129.90073	306.09988	0.0	0.0	0.0	98.78384	0.0	0.0	29.960420000000003	43.270554	0.0	0.0	0.0	0.0	0.0	3.4468412000000006	0.0	0.0	0.0	35.77267	7.153008	22.654989999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.011326	0.0	9.4275465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3521547	0.0	0.0	20.257828
408	NC	SS411_RD3_01_7782	74.60036	346.2448	42.013659999999994	348.99213	97.080414	177.6275	447.86407	198.31978	524.0271	0.0	123.32592	0.0	613.8041	0.0	0.0	0.0	214.89975	129.21687	0.0	0.0	52.574009999999994	0.0	107.7885	10.656542	6.527939	0.0	153.73157	51.210907	35.245823	3.3548832	0.0	56.401627000000005	57.424730000000004	117.55065	0.0	0.0	0.0	129.63468999999998	30.6722	25.413723	3.971221	0.0	31.86695	0.0	42.279728000000006	56.677917	11.5092125	43.510067	29.840992	3.0982828	73.60602
380	NC	SS378_RA6_01_7744	109.23626000000002	2354.0718	375.85846000000004	0.0	503.29648	75.67114000000001	163.08977	0.0	469.19656	0.0	0.0	0.0	666.9518	0.0	154.356	13.389418	314.63895	79.12348	0.0	0.0	51.251114	0.0	70.3922	49.446407	44.724525	0.0	155.58176	72.96355	16.812712	15.819776000000001	0.0	265.50952	41.255558	104.61128000000001	0.0	0.0	0.0	167.6929	46.92122	90.473656	9.5039425	19.985142	54.61226	0.0	155.57716000000002	101.46032	18.360725	18.134113	3.8818645	21.244304999999997	203.88496
