Taxa_NCBI	superkingdom	kingdom	clade	phylum	class	order	family	genus	species	strain
223958	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales		Exiguobacterium	Exiguobacterium oxidotolerans	
285279	Bacteria			Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Pseudovibrio	Pseudovibrio ascidiaceicola	
86664	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia flexa	
43656	Bacteria			Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas denitrificans	
136468	Bacteria			Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio lentus	
2020714	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya algicola	
272164	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya marilimosa	
1130723	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter aestuarii	
1871616	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Dietziaceae	Dietzia	Dietzia sp.	
1882945	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp.	
207923	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya semiplena	
548	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes	
2742	Bacteria			Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter		
173365	Bacteria			Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter tundripaludum	
2137881	Bacteria		Terrabacteria group	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus sp.	
2512181	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. BK100	
1855305	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	Roseateles sp. YR242	
1521527	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix tenuis	Tolypothrix tenuis SAG 94.79
1761903	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. cf124	
492670	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	
2930568	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803	
211165	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Nostocales	Chlorogloeopsidaceae	Chlorogloeopsis	Chlorogloeopsis fritschii	Chlorogloeopsis fritschii PCC 6912
1847	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia		
68238	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces minutiscleroticus	
552386	Bacteria			Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio gallaecicus	
1884876	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella flava	
860	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum	
2135744	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. OK887	
2512172	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. BK558	
72000	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila	
1831	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. (in: high G+C Gram-positive bacteria)	
1833	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	
525376	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis W23144
1073363	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus barengoltzii	Paenibacillus barengoltzii CC33_002B
979221	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIH05001
883119	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 10-5244
525374	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis BCM-HMP0060
1095733	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	Streptococcus parasanguinis F0449
879296	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	Lactobacillus iners SPIN 2503V10-D
749535	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. MS 92-3	
936575	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. AC15	
858653	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus EX533959VC03
596320	Bacteria			Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens	Neisseria flavescens SK114
883116	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 09-7231
767031	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella denticola	Prevotella denticola F0289
858654	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus EX533959VC04
1073372	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	Streptococcus parasanguinis CC87K
525361	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	Lacticaseibacillus rhamnosus LMS2-1
525278	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis TX1322
883123	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 10-5248
936578	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. AS20	
1204474	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-1
469599	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum	Fusobacterium periodonticum 2_1_31
491076	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus JV-V01
997882	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	Bacteroides fragilis CL07T00C01
749529	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli MS 57-2
857291	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella histicola	Prevotella histicola F0411
556266	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli D9
742730	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	Citrobacter freundii 4_7_47CFAA
658080	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. 5_2_56FAA	
936565	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. OBRC7	
575603	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	Lactobacillus gasseri SJ-9E-US
879304	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	Lactobacillus iners LEAF 3008A-a
858656	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus EX533959VC06
883125	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 10-5250
979214	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM031
1203549	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. oral taxon 186	Microbacterium sp. oral taxon 186 str. F0373
928327	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	Lactobacillus iners UPII 143-D
702439	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens	Prevotella nigrescens F0103
864566	Bacteria			Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	Campylobacter coli JV20
879301	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	Lactobacillus iners LEAF 2053A-b
1078764	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HFH0082	
873517	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga ochracea F0287
1401072	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bivia	Prevotella bivia DNF00650
1321778	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales			Clostridiales bacterium oral taxon 876	Clostridiales bacterium oral taxon 876 str. F0540
1401077	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella denticola	Prevotella denticola DNF00960
1107316	Bacteria			Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria oralis	
888825	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	Streptococcus sanguinis VMC66
575595	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus 125-2-CHN
979217	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM008
29317	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp.	
1203550	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella oralis	Hoylesella oralis HGA0225
979202	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM070
883167	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius	Streptococcus intermedius F0413
45634	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus	
1125694	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis	Proteus mirabilis WGLW6
904293	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus downei	Streptococcus downei F0415
596325	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	Lactobacillus jensenii 269-3
679198	Bacteria			Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus F0387
997879	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	Bacteroides fragilis CL03T12C07
649761	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella veroralis	Prevotella veroralis F0319
575612	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	Prevotella melaninogenica D18
979218	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM003
469592	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 3_1_19	
575615	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. oral taxon 317	Prevotella sp. oral taxon 317 str. F0108
1401075	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella disiens	Prevotella disiens DNF00882
1287476	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bivia	Prevotella bivia DNF00188
1073368	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	Enterocloster bolteae CC43_001B
1111454	Bacteria		Terrabacteria group	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera vaginalis (ex Srinivasan et al. 2021)	
1115805	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis E13A
936587	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. OBRC6	
171	Bacteria			Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira		
2512163	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. BK329	
2512165	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. BK086	
2512159	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. BK447	
2572903	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. BK340	
1882770	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. OK885	
2512128	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. BK387	
2512150	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. BK208	
1882786	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. OK228	
556259	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. D2	
858674	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis	Limosilactobacillus vaginalis EX336960VC05
1261070	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis JCP8481B
1073358	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	Flavonifractor plautii CC43_001K
879307	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis 315-A
858675	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis	Limosilactobacillus vaginalis EX336960VC11
2052	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris	
742722	Bacteria		Terrabacteria group	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. 4_8_47FAA	
999426	Bacteria			Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema denticola	Treponema denticola AL-2
936594	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum sp. ICM7	
457408	Bacteria		Terrabacteria group	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. 3_1syn4	
186803	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae			
999427	Bacteria			Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema denticola	Treponema denticola ASLM
858676	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis	Limosilactobacillus vaginalis EX336960VC12
85698	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	
1261060	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	Gardnerella vaginalis JCP7672
997880	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	Bacteroides fragilis CL05T00C42
457396	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. 7_2_43FAA	
1316586	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-5
1887	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces albogriseolus	
883109	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis		[Eubacterium] infirmum	Eubacterium infirmum F0142
1134687	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	
1105031	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. MSTE9	
1161904	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum subsp. longum 35B
649760	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oris	Segatella oris F0302
749550	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli MS 200-1
679196	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	Lactobacillus gasseri 224-1
1357418	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella cibaria	Weissella cibaria F16_1
1203546	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae WGLW3
491075	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis EnGen0297
41200	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp.	
765109	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium modestum	Cutibacterium modestum HL044PA1
1882771	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. OK780	
1871328	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria sp.	
1161745	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum subsp. longum 2-2B
1926307	Bacteria		Terrabacteria group	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp.	
1134785	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis ERV103
1971214	Bacteria		Terrabacteria group	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp.	
765115	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL002PA1
858657	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	Lactobacillus crispatus EX533959VC07
658085	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium 5_1_57FAA	
765096	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL005PA1
1377	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus viridans	
749549	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli MS 198-1
979211	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM023
749527	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli MS 21-1
315405	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus	
596312	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	Micrococcus luteus SK58
936595	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum sp. OBRC5-5	
1881041	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga sp. YR627	
1316588	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-7
37640	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Dermabacter	Dermabacter sp.	
411486	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. M62/1	
765067	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL053PA2
457416	Bacteria		Terrabacteria group	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. 3_1_44	
765114	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL063PA2
1073376	Bacteria		Terrabacteria group	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] lactaris	[Ruminococcus] lactaris CC59_002D
765097	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL005PA2
765093	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL086PA1
765106	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL036PA1
883117	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Klebsiella oxytoca 10-5242
679205	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli MS 124-1
765119	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL056PA1
