	ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
348	No	SS353_RG2_01_7713	45.677834000000004	0.0	2.871794	77.89746	2.6620703	137.2709	362.66556	0.0	282.56127999999995	0.0	523.0745	194.35695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.336365	0.0	169.87854	15.674979	21.148056	0.0	117.17549	0.0	49.700072999999996	61.719673	0.0	64.65481	0.0	306.42545	0.0	165.79736	53.398525	400.4042	47.624153	0.0	148.20518	0.0	0.0	0.0	41.138992	142.7665	57.81456	12.753214	12.18153	0.0	24.533653
347	No	SS332_RE5_01_7690	61.33071999999999	34.17201	5.8908760000000004	228.27205	6.774458999999999	96.67407	190.61365	0.0	241.9195	532.0930000000001	240.13275	0.0	0.0	0.0	0.0	0.0	114.60248	199.5631	248.12216	0.0	130.0369	0.0	890.5022	170.08063	472.73517000000004	0.0	191.3543	0.0	17.821175	28.660217	0.0	285.21283	93.84477	1596.5775	0.0	606.2099	426.16205	492.56942999999995	310.61	351.72598	454.32678	49.57732	99.630936	289.41757	73.422554	757.2913	198.17981	121.73633000000001	330.90137000000004	2.5966563	50.487536999999996
346	No	SS349_RF10_01_7708	25.517951999999998	97.577446	8.66191	166.07951	50.8664	152.03648	695.1677	0.0	293.0779	0.0	630.4317599999999	93.97894000000001	0.0	0.0	0.0	0.0	3.8951445	0.0	0.0	0.0	72.58793	0.0	64.198006	39.276833	20.53194	0.0	121.70823	0.0	22.916065	101.62259	0.0	32.95114	0.0	234.9052	0.0	0.0	0.0	161.61101000000002	48.985237	23.191761	105.72567	0.0	0.0	0.0	0.0	98.609184	16.928043	18.72109	59.95635	0.0	3.4626959999999998
345	No	SS352_RG1_01_7712	33.993829999999996	0.0	2.8535022999999997	158.74223	7.9946866	200.74861	462.60175	87.52809	165.01946999999998	0.0	0.0	177.03601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.38055	0.0	192.1389	0.0	5.6913514	0.0	107.49558999999999	0.0	12.633497	15.797234	0.0	0.0	0.0	158.41926999999998	0.0	90.342316	42.21074	218.36487999999997	51.2039	6.1478763	84.76246	0.0	0.0	0.0	0.0	61.203880000000005	31.502234	6.102937	17.72834	0.0	4.122946
344	No	SS348_RF9_01_7707	32.490615999999996	0.0	0.0	0.0	5.4497633	185.34094	102.30956	0.0	145.08261000000002	0.0	439.5236	98.543625	32.22815	0.0	0.0	0.0	23.084703	67.146286	0.0	0.0	146.24786	0.0	198.59068	76.14575	87.8666	0.0	138.63141000000002	0.0	77.355576	68.69768499999999	0.0	0.0	48.140640000000005	430.54485999999997	0.0	148.56847	61.013096	325.1596	76.53989399999999	9.464383999999999	144.01625	0.0	0.0	72.92096	0.0	250.21873	72.05866999999999	6.803858	21.543865	4.171713	26.346952
343	No	SS357_RG6_01_7717	54.609474	0.0	12.155056	97.098816	23.480646	121.56718000000001	288.63788	0.0	243.8721	0.0	0.0	115.84325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.55766	0.0	199.46747	3.55896	23.830008	0.0	184.36993	0.0	15.846454999999999	7.278474	0.0	35.096336	0.0	266.9228	0.0	160.8974	68.05051999999999	374.48456	41.14533	9.627708	147.78256000000002	0.0	0.0	0.0	0.0	94.35084	41.10389	12.290552	44.423140000000004	5.3631134000000005	29.30115
341	No	SS354_RG3_01_7714	34.600018	0.0	2.721735	129.99678	2.953804	84.04575	161.84781	0.0	161.53091	0.0	221.77345	122.60512	0.0	0.0	0.0	0.0	2.5150107999999998	0.0	0.0	0.0	105.68579	0.0	111.89548	17.0257	18.982151	0.0	147.02205	0.0	45.943058	40.341434	0.0	39.09446	0.0	217.58527	0.0	55.532669999999996	0.0	244.45382999999998	45.83899	7.094741	90.09889	0.0	0.0	0.0	35.110188	47.74541	30.301113	3.6184629999999998	18.557465	0.0	5.568719000000001
350	No	SS346_RF7_01_7705	41.715176	0.0	6.162129	146.01338	0.0	70.17342	315.37192000000005	0.0	301.19507000000004	0.0	408.53488	191.05176	0.0	0.0	0.0	0.0	10.446634	0.0	0.0	0.0	126.737305	0.0	204.01949	16.074074	36.53561	0.0	64.26618	0.0	33.20178	107.48178	0.0	76.91611	0.0	327.15186	0.0	101.4328	71.46338	290.43737999999996	66.10198000000001	7.334275999999999	111.13515	0.0	0.0	0.0	0.0	136.38799	51.864197	19.257476999999998	50.401024	2.5820866000000002	21.936075
339	No	SS341_RF2_01_7700	50.189133	0.0	4.470093	79.61618	2.980701	32.25857	227.50657999999999	0.0	110.11738999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.050716	0.0	102.62931999999999	16.610947	34.401676	0.0	206.21391	0.0	14.325269	5.7200594	0.0	81.047195	0.0	213.22607000000002	0.0	174.95768999999999	0.0	209.81436000000002	33.246165999999995	9.511571	35.611763	10.920010000000001	0.0	0.0	0.0	75.31107	79.4651	19.193487	28.059425	5.4993362	20.238326999999998
337	No	SS344_RF5_01_7703	210.6434	227.82831000000002	14.866248	81.521835	4.438788400000001	30.325666	242.29349	0.0	286.36926	0.0	0.0	63.80798000000001	0.0	0.0	0.0	0.0	2.7569722999999997	0.0	0.0	0.0	0.0	0.0	148.02579	20.51285	44.547565000000006	0.0	158.52103	0.0	32.158463	62.742264	0.0	85.89844000000001	0.0	450.19875999999994	0.0	73.7084	86.52505500000001	127.86246499999999	42.09643	0.0	271.77756	0.0	0.0	0.0	97.17098	235.58664	56.610172	2.9335556	21.821184	3.7025699999999997	14.248942999999999
336	No	SS351_RF12_01_7710	0.0	152.69632	7.07366	78.91851	27.012833	63.254234	255.67342000000002	0.0	254.83062999999999	0.0	527.8423	156.3775	0.0	0.0	0.0	0.0	6.378607700000001	0.0	0.0	0.0	104.416954	0.0	54.974872999999995	24.227118	32.323925	0.0	54.193090000000005	0.0	7.0481644	34.416393	0.0	0.0	0.0	91.54868	0.0	43.598259999999996	0.0	93.38988	30.068428000000004	5.808645200000001	50.714756	0.0	0.0	0.0	0.0	57.433105000000005	23.536015	2.6132941	25.382622	0.0	7.250125
330	No	SS301_RB10_01_7656	36.92184	0.0	20.472023	210.00159	153.58403	94.5582	250.71152999999998	0.0	106.17766999999999	0.0	241.32797000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.59046999999998	0.0	0.0	187.29433999999998	289.38925	12.615474	112.029335	0.0	150.93556	0.0	104.5396	161.10387	63.93506	0.0	0.0	226.06929	0.0	430.16962	70.63909	179.69037	62.550262	79.83589	80.31811	0.0	0.0	0.0	0.0	49.905685	104.04634	58.332985	26.363537	0.0	6.5509496
329	No	SS337_RE10_01_7695	0.0	0.0	0.0	0.0	5.1379642	21.946503	211.23942999999997	0.0	240.16656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17671	0.0	0.0	0.0	101.89009	0.0	60.26319	14.111384	42.199795	0.0	141.83562	0.0	12.070466	13.051383	0.0	0.0	0.0	145.73828	0.0	0.0	0.0	276.07562	72.956764	13.602482	46.934345	0.0	0.0	0.0	0.0	43.36501	27.86569	11.793983	6.950295	0.0	7.9589929999999995
328	No	SS299_RB8_01_7654	0.0	0.0	0.0	338.92014	0.0	2.8235837999999998	569.4601	0.0	46.15764	0.0	0.0	23.754734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67909	11.483884	18.932991	0.0	39.827568	0.0	38.624466	167.1319	0.0	77.41741	0.0	262.50302	2.9943275000000003	0.0	274.71432000000004	182.46396000000001	0.0	450.89648	105.67889	0.0	0.0	0.0	751.7123	1553.4038	41.063404	322.4218	574.24646	2.9275002	12.138206
