filename	MS_670	MS_1030	MS_6449	MS_717	MS_894	MS_453	MS_3590	MS_6872	MS_1191	MS_4169	MS_5010	MS_1341	MS_2942	MS_4813	MS_9355	MS_3517	MS_7760	MS_2118	MS_2112	MS_6466	MS_8239	MS_243	MS_1526	MS_1109	MS_2936	MS_5981	MS_5279	MS_4449	MS_7579	MS_9944	MS_13162	MS_8475	MS_5106	MS_8386	MS_8541	MS_877	MS_10867	MS_15189	MS_972	MS_9095	MS_9008	MS_10855	MS_5534	MS_12717	MS_4361	MS_12600	MS_14651	MS_18006	MS_5683	MS_4689	MS_20130	MS_13564	MS_15990	MS_5921	MS_13221	MS_18173	MS_15659	MS_16381	MS_23208	MS_23827	MS_18694	MS_20828	MS_23228	MS_22550	MS_23818	MS_31692	MS_24091	MS_25781	MS_29668	MS_26402	MS_32495	MS_22927	MS_24288	MS_29361	MS_19344	MS_23521	MS_31275	MS_32587	MS_28216	MS_32710	MS_20454	MS_31008	MS_32449	MS_18921	MS_24129	MS_31931	MS_19854	MS_23328	MS_32041	MS_28713	MS_30343	MS_23695	MS_32983	MS_23188	MS_31397	MS_27981	MS_30083	MS_30655	MS_32048	MS_37395
compound	Putrescine-C2:0	Cadaverine-C2:0	Cadaverine-C2:0	Histamine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Putrescine-C4:0	2-aminovaleric acid-C2:0	Histamine-C3:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	Putrescine-C5:0	Putrescine-C5:0	Alanine/Sarcosine-C5:0	Aspartic acid-C2:0	Tyramine-C2:0	Histamine-C4:0	Histamine-C4:0	N-acetylcadaverine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Lysine-C2:0	Glutamic acid-C2:0	Threonine/homoserine-C4:0	Dopamine-C2:0	Histamine-C5:0	Histamine-C5:0	N-acetylcadaverine-C3:0	Cadaverine-C6:0	Leucine-C4:0	Methionine-C3:0	Spermidine-C5:0	Histamine-C6:0	Histamine-C6:0	3-methylhistidine-C2:0	Cadaverine-C7:0	Leucine-C5:0	Spermidine-C4:0	Spermidine-C4:0	Serotonin-C2:0	Methionine-C4:0	Tyrosine-C2:0	Cadaverine-C8:0	Lysine-C5:0	5-methoxytryptamine-C2:0	Phenylalanine-C4:0	Tyramine-C6:0	L-DOPA-C2:0	Histidine-C5:0	Leucine-C7:0	N-acetylcadaverine-C7:0	Cadaverine-C10:0	Arginine-C5:0	Tryptophan-C3:0	Leucine-C9:4	Histamine-C10:0	Methionine-C9:4	Tyramine-C10:1	Tyramine-C10:0	Histamine-C12:0	Putrescine-C14:0	Putrescine-C16:0	Histamine-C15:0	Cadaverine-C16:0	Leucine-C14:0	Histamine-C16:0	Putrescine-C18:0	Valine-C16:0	Cadaverine-C18:0	Leucine-C16:0	Histamine-C18:2	Histamine-C18:1	Valine-C18:2	Spermidine-C16:0	Lysine-C16:0	Methionine-C16:0	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Arginine-C15:0	Tyramine-C18:2	Tyramine-C18:1	Spermidine-C18:2	Lysine-C18:2	N-acetylcadaverine-C18:1	Spermidine-C18:1	Lysine-C18:1	Methionine-C18:2	Phenylalanine-C18:3	Phenylalanine-C18:2	Arginine-C18:1	Serotonin-C18:1	Arginine-C18:0	Tryptophan-C16:0	Tyrosine-C18:2	Tyrosine-C18:1	Tryptophan-C18:2	Tryptophan-C18:1	Serotonin-C20:0
P3_D4_Sample_x3148448	0	1471555.8	20790.926	376782.16	1418549	2956210.8	0	0	0	0	0	0	689110.5	0	0	0	87313.88	0	99848.32	0	251547.98	0	0	0	0	0	47426.414	22428.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4749.6006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50496.055	0	0	0	206329.19	0	0	0	0	0	0	0	0	0	0	0	7644.3267	0	0	0	0	0	22870.152	22465.854	18403.59	0	0
P3_D6_Sample_X3148030	0	0	0	106108.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40461.652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5028.0586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4_A7_Sample_X3148726	0	2525481.2	23551.506	120468.61	0	4731794.5	0	0	0	0	0	0	1275786.1	0	0	0	0	0	0	115032.92	711973.56	0	0	0	0	0	0	0	104973.03	0	0	0	0	2814.9849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2549.4243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68265.47	9966.179	0	0	0	0	0	0	0	0	2149.6956	0	0	0	72993.95	0	0	11293.04	0	0	0
P3_F8_Sample_X3148734	0	0	0	145982.22	0	0	15506.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44785.605	37172.19	0	0	0	0	0	0	0	0	0	0	0	239792.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5495.0005	25826.77	12963.625	0	18636.402	0	0	0	0	0	61114.664	0	29722.629	10119.564	230672.89	0	162960.9	0	0	0	4020.8735	0	19633.562	161191.95	0	0	260688.36	0	4214.604	75218.51	89224.83	0	42578.24	55206.316	17966.79	13439.076	36551.555	22216.248	0
P3_B11_Sample_x3157350	0	1959249.9	121676.2	556836.7	1198231.6	3793145.8	16856.734	0	884406.06	112493.69	0	0	3512727.8	68303.836	1348437.9	0	190204.55	84373.79	277164.66	2399159.5	4421531	0	354971.53	144657.31	52735.07	59179.32	169545.62	44095.176	227456.39	19647.191	0	0	2636.3157	0	0	0	0	0	0	0	0	0	16712.201	0	45988.152	0	0	0	0	14641.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20625.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9448.526	0	0	0	0	0	0	0	0	0	0	215491.62	0	45260.492	0	0	0	0	0	0
P1_C3_Sample_x3152328	0	0	20202.49	0	0	1643247.9	0	0	0	0	0	0	0	0	0	0	53199.35	0	0	0	35581.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3096.5828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7281.2383	36823.4	0	0	0	0	0	0	0	4956.3633	0	0	0	0	0	0	0	0	0	0
P2_D10_Sample_x3149969	0	2049434.9	0	0	0	3446430.8	0	0	651522.56	0	0	0	2527304.5	0	0	0	0	0	0	182829.69	3305531.2	0	0	0	0	0	0	0	0	1548516.4	0	0	0	0	0	0	47068.727	0	0	0	13863.246	0	0	0	0	0	0	0	0	0	0	6500.5547	0	0	8332.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6740.0117	0	0	0	0	0	0	0	0	0	0
P2_C3_Sample_x3149382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39494.535	0	0	0	0	0	0	0	0	1950.7251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6562.8975	0	0	0	0	0	0	0	0	20400.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P1_A8_Sample_x3147880	0	26100000	273252.6	373498.88	3554336	38500000	209595.78	0	1571052.4	0	0	0	1629912.8	0	0	0	74442.805	0	1667500.5	2977508.8	566648.44	0	739943	0	57882.598	36985.17	344033.7	0	857970.2	144079.48	0	0	2921.0356	0	193578.28	0	7854.095	0	0	0	0	0	3601.0137	0	0	0	0	0	0	2458.4004	0	11202.527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P1_H7_Sample_X3148303	0	2233642.2	100612.734	246039.39	0	3479937.5	5037.5615	25901.203	0	0	0	0	6669124	47174.41	0	0	0	55149.848	0	1752925.4	2766240.8	0	303544.8	0	32923.188	58312.996	0	0	357097.84	49848.86	0	0	1198.8295	0	0	0	0	0	0	0	33372.176	0	6884.2607	0	34988.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15742.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
