UBERONBodyPartName	unique_msms_counts	unique_nacyl_lipids	unique_heads	unique_tails
feces	18557	364	39	56
oral cavity	2467	134	26	32
urine	2139	70	23	27
skin	3919	66	20	27
saliva	616	60	30	16
blood	936	42	14	16
vagina	125	24	13	14
anal region	38	16	10	11
nasal cavity	28	13	12	8
brain	2351	12	12	7
milk	22	12	6	11
cerebrospinal fluid	100	5	3	4
