Compound	counts_microbeMASST	head	tail	carbons	unsaturations	even_odd
Tyrosine-C15:0	37	Tyrosine	C15:0	C15	0	odd
Alanine/Sarcosine-C6:0	4	Alanine/Sarcosine	C6:0	C6	0	even
Glutamic acid-C11:0	5	Glutamic acid	C11:0	C11	0	odd
Lysine-C16:0	167	Lysine	C16:0	C16	0	even
Threonine/homoserine-C9:0	9	Threonine/homoserine	C9:0	C9	0	even
Methionine-C17:1	8	Methionine	C17:1	C17	1	odd
Citrulline-C12:0	183	Citrulline	C12:0	C12	0	even
Tyrosine-C16:1	15	Tyrosine	C16:1	C16	1	even
2-aminovaleric acid-C2:0	1	2-aminovaleric acid	C2:0	C2	0	even
Glutamic acid-C4:0	5	Glutamic acid	C4:0	C4	0	even
Valine-C16:0	16	Valine	C16:0	C16	0	even
Serine-C18:1	8	Serine	C18:1	C18	1	even
Cadaverine-C5:0	3	Cadaverine	C5:0	C5	0	odd
Glutamic acid-C6:0	8	Glutamic acid	C6:0	C6	0	even
Serine-C15:0	68	Serine	C15:0	C15	0	odd
Citrulline-C10:0	15	Citrulline	C10:0	C10	0	even
Lysine-C18:2	29	Lysine	C18:2	C18	2	even
Serine-C17:1	8	Serine	C17:1	C17	1	odd
Serine-C12:1	6	Serine	C12:1	C12	1	even
Threonine/homoserine-C15:1	159	Threonine/homoserine	C15:1	C15	1	odd
Asparagine-C15:0	29	Asparagine	C15:0	C15	0	odd
Arginine-C2:0	25	Arginine	C2:0	C2	0	even
Glutamine-C18:2	57	Glutamine	C18:2	C18	2	even
Leucine-C16:1	155	Leucine	C16:1	C16	1	even
Cadaverine-C7:0	5	Cadaverine	C7:0	C7	0	odd
Leucine-C12:0	19	Leucine	C12:0	C12	0	even
Threonine/homoserine-C12:0	11	Threonine/homoserine	C12:0	C12	0	even
Lysine-C11:0	3	Lysine	C11:0	C11	0	odd
2-phenethylamine-C2:0	226	2-phenethylamine	C2:0	C2	0	even
Lysine-C16:1	109	Lysine	C16:1	C16	1	even
Asparagine-C18:2	3	Asparagine	C18:2	C18	2	even
Tyrosine-C4:0	23	Tyrosine	C4:0	C4	0	even
Alanine/Sarcosine-C18:2	53	Alanine/Sarcosine	C18:2	C18	2	even
Glycine-C16:1	22	Glycine	C16:1	C16	1	even
Tyramine-C16:1	83	Tyramine	C16:1	C16	1	even
Alanine/Sarcosine-C18:1	24	Alanine/Sarcosine	C18:1	C18	1	even
Arginine-C17:1	25	Arginine	C17:1	C17	1	odd
Methionine-C15:0	23	Methionine	C15:0	C15	0	odd
Tyrosine-C3:0	11	Tyrosine	C3:0	C3	0	odd
2-phenethylamine-C18:3	12	2-phenethylamine	C18:3	C18	3	even
Tyramine-C18:1	8	Tyramine	C18:1	C18	1	even
2-phenethylamine-C15:0	6	2-phenethylamine	C15:0	C15	0	odd
Glutamine-C18:1	11	Glutamine	C18:1	C18	1	even
Tyrosine-C10:1	100	Tyrosine	C10:1	C10	1	even
Amylamine-C18:0	170	Amylamine	C18:0	C18	0	even
Threonine/homoserine-C2:0	21	Threonine/homoserine	C2:0	C2	0	even
GABA-C18:2	58	GABA	C18:2	C18	2	even
Histidine-C16:0	19	Histidine	C16:0	C16	0	even
Alanine/Sarcosine-C5:0	21	Alanine/Sarcosine	C5:0	C5	0	odd
Phenylalanine-C12:0	380	Phenylalanine	C12:0	C12	0	even
Glutamic acid-C14:0	94	Glutamic acid	C14:0	C14	0	even
Phenylalanine-C18:0	27	Phenylalanine	C18:0	C18	0	even
Cadaverine-C8:0	23	Cadaverine	C8:0	C8	0	even
Glutamine-C14:1	24	Glutamine	C14:1	C14	1	even
Threonine/homoserine-C10:0	28	Threonine/homoserine	C10:0	C10	0	even
Amylamine-C4:0	2	Amylamine	C4:0	C4	0	even
Phenylalanine-C16:1	101	Phenylalanine	C16:1	C16	1	even
2-phenethylamine-C16:1	122	2-phenethylamine	C16:1	C16	1	even
Aminoadipic acid-C12:0	2	Aminoadipic acid	C12:0	C12	0	even
2-aminovaleric acid-C16:1	13	2-aminovaleric acid	C16:1	C16	1	even
Tryptophan-C8:1	4	Tryptophan	C8:1	C8	1	even
2-aminovaleric acid-C18:2	19	2-aminovaleric acid	C18:2	C18	2	even
Lysine-C17:1	42	Lysine	C17:1	C17	1	odd
GABA-C6:0	299	GABA	C6:0	C6	0	even
Tryptophan-C16:1	11	Tryptophan	C16:1	C16	1	even
Arginine-C17:0	25	Arginine	C17:0	C17	0	odd
Glycine-C18:1	2	Glycine	C18:1	C18	1	even
Serine-C18:2	15	Serine	C18:2	C18	2	even
2-phenethylamine-C5:0	7	2-phenethylamine	C5:0	C5	0	odd
Arginine-C5:0	10	Arginine	C5:0	C5	0	odd
Arginine-C16:0	61	Arginine	C16:0	C16	0	even
Valine-C18:1	5	Valine	C18:1	C18	1	even
GABA-C18:1	14	GABA	C18:1	C18	1	even
Glutamine-C10:1	6	Glutamine	C10:1	C10	1	even
Glutamine-C15:1	33	Glutamine	C15:1	C15	1	odd
Alanine/Sarcosine-C17:0	8	Alanine/Sarcosine	C17:0	C17	0	odd
Tyrosine-C14:0	6	Tyrosine	C14:0	C14	0	even
Ornithine-C15:0	9	Ornithine	C15:0	C15	0	odd
Threonine/homoserine-C17:0	50	Threonine/homoserine	C17:0	C17	0	odd
Leucine-C4:0	245	Leucine	C4:0	C4	0	even
Tryptamine-C3:0	5	Tryptamine	C3:0	C3	0	odd
Arginine-C11:0	1	Arginine	C11:0	C11	0	odd
Citrulline-C15:0	8	Citrulline	C15:0	C15	0	odd
2-phenethylamine-C17:1	21	2-phenethylamine	C17:1	C17	1	odd
Lysine-C18:0	3	Lysine	C18:0	C18	0	even
Tyrosine-C5:0	7	Tyrosine	C5:0	C5	0	odd
Amylamine-C3:0	2	Amylamine	C3:0	C3	0	odd
Cadaverine-C16:0	35	Cadaverine	C16:0	C16	0	even
Leucine-C6:0	196	Leucine	C6:0	C6	0	even
Arginine-C16:1	51	Arginine	C16:1	C16	1	even
Phenylalanine-C17:0	8	Phenylalanine	C17:0	C17	0	odd
Tryptophan-C9:0	3	Tryptophan	C9:0	C9	0	even
2-phenethylamine-C20:4	12	2-phenethylamine	C20:4	C20	4	even
Tyrosine-C6:0	31	Tyrosine	C6:0	C6	0	even
Tyrosine-C18:1	8	Tyrosine	C18:1	C18	1	even
Threonine/homoserine-C13:1	6	Threonine/homoserine	C13:1	C13	1	odd
Phenylalanine-C14:1	3	Phenylalanine	C14:1	C14	1	even
2-aminovaleric acid-C10:0	3	2-aminovaleric acid	C10:0	C10	0	even
Methionine-C18:2	12	Methionine	C18:2	C18	2	even
GABA-C5:0	5	GABA	C5:0	C5	0	odd
Serotonin-C20:0	3	Serotonin	C20:0	C20	0	even
Glutamic acid-C16:1	94	Glutamic acid	C16:1	C16	1	even
Tryptophan-C10:0	631	Tryptophan	C10:0	C10	0	even
Glutamic acid-C18:1	26	Glutamic acid	C18:1	C18	1	even
Putrescine-C10:0	3	Putrescine	C10:0	C10	0	even
Threonine/homoserine-C4:0	41	Threonine/homoserine	C4:0	C4	0	even
Tryptophan-C17:0	4	Tryptophan	C17:0	C17	0	odd
Serine-C12:0	8	Serine	C12:0	C12	0	even
2-aminovaleric acid-C5:0	3	2-aminovaleric acid	C5:0	C5	0	odd
Methionine-C16:1	54	Methionine	C16:1	C16	1	even
Serine-C16:1	12	Serine	C16:1	C16	1	even
Methionine-C16:0	23	Methionine	C16:0	C16	0	even
GABA-C16:0	3	GABA	C16:0	C16	0	even
Methionine-C18:1	14	Methionine	C18:1	C18	1	even
2-phenethylamine-C17:0	7	2-phenethylamine	C17:0	C17	0	odd
GABA-C8:0	17	GABA	C8:0	C8	0	even
