Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Tryptophan-C16:0	globalzimpairment_pe	0.064483	0.065919	313	0.328857	0.64082	Tryptophan
Tryptophan-C18:1	globalzimpairment_pe	0.105344	0.081414	313	0.196653	0.634366	Tryptophan
Tryptophan-C18:2	globalzimpairment_pe	0.20014	0.141587	313	0.158496	0.587808	Tryptophan
Tryptophan-C3:0	globalzimpairment_pe	0.155555	0.167436	313	0.353635	0.667235	Tryptophan
Tyramine-C10:0	globalzimpairment_pe	0.092657	0.092733	313	0.318561	0.64082	Tyramine
Tyramine-C10:1	globalzimpairment_pe	-0.01126	0.09216	313	0.903211	0.965418	Tyramine
Tyramine-C18:1	globalzimpairment_pe	0.105686	0.094437	313	0.264039	0.638345	Tyramine
Tyramine-C18:2	globalzimpairment_pe	0.374973	0.188228	313	0.047351	0.450965	Tyramine
Tyramine-C2:0	globalzimpairment_pe	0.211251	0.132305	313	0.111594	0.574265	Tyramine
Tyramine-C6:0	globalzimpairment_pe	-0.00661	0.011237	313	0.556736	0.762653	Tyramine
Tyrosine-C18:1	globalzimpairment_pe	0.14821	0.14722	313	0.314854	0.64082	Tyrosine
Tyrosine-C18:2	globalzimpairment_pe	0.096782	0.087692	313	0.270596	0.638345	Tyrosine
Tyrosine-C2:0	globalzimpairment_pe	-0.00509	0.208301	313	0.980547	0.995987	Tyrosine
Valine-C16:0	globalzimpairment_pe	0.147425	0.090961	313	0.106116	0.574265	Valine
Valine-C18:2	globalzimpairment_pe	0.159753	0.153155	313	0.297724	0.64082	Valine
